['jaise', 'जैसे']
['jiya', 'जिया']
['jiyaa', 'जिया']
['jeeya', 'जिया']
['jogiya', 'जिया']
['jia', 'जिया']
['jaaye', 'जाये']
['jaye', 'जाये']
['jayen', 'जाये']
['jaayen', 'जाये']
['jalaye', 'जाये']
['jhaaye', 'जाये']
['jiske', 'जिसके']
['jisake', 'जिसके']
['jiski', 'जिसके']
['jamana', 'ज़माना']
['jamaana', 'ज़माना']
['jeene', 'जीने']
['jiine', 'जीने']
['jine', 'जीने']
['jeeney', 'जीने']
['jiina', 'जीना']
['jinaa', 'जीना']
['jeenaa', 'जीना']
['jeena', 'जीना']
['jina', 'जीना']
['jiinaa', 'जीना']
['junuun', 'जुनूँ']
['junun', 'जुनूँ']
['junoon', 'जुनूँ']
['jaante', 'जानते']
['jaanate', 'जानते']
['jante', 'जानते']
['jaayega', 'जाएगा']
['jaaega', 'जाएगा']
['jaayegaa', 'जाएगा']
['jayega', 'जाएगा']
['jaaegaa', 'जाएगा']
['jaanyega', 'जाएगा']
['jaaegya', 'जाएगा']
['jayeega', 'जाएगा']
['jidhar', 'जिधर']
['jaayenge', 'जाएँगे']
['jayenge', 'जाएँगे']
['jaaenge', 'जाएँगे']
['jaayege', 'जाएँगे']
['jaayeinge', 'जाएँगे']
['jaata', 'जाता']
['jaataa', 'जाता']
['jata', 'जाता']
['jaathaa', 'जाता']
['jataa', 'जाता']
['jaatha', 'जाता']
['jaate', 'जाता']
['jaate', 'जाते']
['jaatey', 'जाते']
['jate', 'जाते']
['jawaan', 'जवान']
['javaan', 'जवान']
['jawaani', 'जवान']
['jawan', 'जवान']
['javaana', 'जवान']
['jise', 'जिसे']
['jisse', 'जिसे']
['jisey', 'जिसे']
['jisake', 'जिसे']
['jiske', 'जिसे']
['jaayen', 'जाएं']
['jaaen', 'जाएं']
['jayen', 'जाएं']
['jaaein', 'जाएं']
['javaab', 'जवाब']
['jawab', 'जवाब']
['jawaab', 'जवाब']
['jaan', 'जान']
['jaane', 'जान']
['jaana', 'जान']
['jana', 'जान']
['jahaan', 'जान']
['jan', 'जान']
['jane', 'जान']
['jawaan', 'जान']
['jaa', 'जान']
['jaun', 'जान']
['jubaan', 'जान']
['jaano', 'जान']
['jaam', 'जान']
['jaanu', 'जान']
['jaal', 'जान']
['jawan', 'जान']
['jaao', 'जान']
['jahan', 'जान']
['jaanaan', 'जानां']
['jaanaa', 'जानां']
['janaa', 'जानां']
['jaldi', 'जळी']
['juldi', 'जळी']
['jaanaa', 'जाना']
['jaana', 'जाना']
['jana', 'जाना']
['jaanta', 'जाना']
['janaa', 'जाना']
['jalaana', 'जाना']
['jalaa', 'जाना']
['janam', 'जाना']
['jaanam', 'जाना']
['jaagi', 'जागी']
['jaagii', 'जागी']
['jaagee', 'जागी']
['jaage', 'जागी']
['jaaoge', 'जाओगे']
['jaayoge', 'जाओगे']
['jaoge', 'जाओगे']
['jaaogey', 'जाओगे']
['jag', 'जग']
['jug', 'जग']
['jaga', 'जग']
['jale', 'जले']
['jaale', 'जले']
['jisaka', 'जिसका']
['jiska', 'जिसका']
['jisakaa', 'जिसका']
['jiskaa', 'जिसका']
['jisska', 'जिसका']
['jisaki', 'जिसकी']
['jiski', 'जिसकी']
['jisakee', 'जिसकी']
['jisakii', 'जिसकी']
['jisski', 'जिसकी']
['jaisa', 'जैसा']
['jaisaa', 'जैसा']
['jhonke', 'झोंके']
['jhoke', 'झोंके']
['jaage', 'जागे']
['jaagey', 'जागे']
['jage', 'जागे']
['ja', 'जा']
['jaa', 'जा']
['jab', 'जा']
['jag', 'जा']
['jaao', 'जा']
['jara', 'जा']
['jaan', 'जा']
['jiya', 'जा']
['jaau', 'जा']
['jana', 'जा']
['jaha', 'जा']
['jaai', 'जा']
['jaag', 'जा']
['jaae', 'जा']
['jaanam', 'जानम']
['janam', 'जानम']
['janum', 'जानम']
['jaana', 'जानाँ']
['jaanaan', 'जानाँ']
['jaanaa', 'जानाँ']
['jana', 'जानाँ']
['jaan', 'जाँ']
['jan', 'जाँ']
['jaa', 'जाँ']
['jaat', 'जाँ']
['jaltaa', 'जलता']
['jalta', 'जलता']
['jalata', 'जलता']
['jalataa', 'जलता']
['jaaye', 'जायें']
['jaayen', 'जायें']
['jaayein', 'जायें']
['jayein', 'जायें']
['jaye', 'जायें']
['jayen', 'जायें']
['jalti', 'जलती']
['jalati', 'जलती']
['jalatii', 'जलती']
['jalatee', 'जलती']
['jalthi', 'जलती']
['jagah', 'जगह']
['jagaha', 'जगह']
['jageh', 'जगह']
['jagaah', 'जगह']
['julfon', 'ज़ुल्फ़ों']
['jitna', 'जितना']
['jitana', 'जितना']
['jitanaa', 'जितना']
['jitnaa', 'जितना']
['jehi', 'जेही']
['ji', 'जी']
['jee', 'जी']
['jii', 'जी']
['jai', 'जी']
['jay', 'जय']
['jaya', 'जय']
['jigar', 'जिगर']
['jiger', 'जिगर']
['juuta', 'जूता']
['juta', 'जूता']
['jeb', 'जेब']
['jaanavar', 'जानवर']
['janwar', 'जानवर']
['jaanwar', 'जानवर']
['jeeta', 'जीता']
['jita', 'जीता']
['jeetaa', 'जीता']
['jiitaa', 'जीता']
['jitaa', 'जीता']
['jagi', 'जगी']
['jaagi', 'जगी']
['jel', 'जेल']
['jhel', 'जेल']
['jeete', 'जीते']
['jite', 'जीते']
['jiite', 'जीते']
['jithe', 'जीते']
['jahaan', 'जहां']
['jahan', 'जहां']
['jahaa', 'जहां']
['jal', 'जल']
['jala', 'जल']
['jalave', 'जलवे']
['jalwe', 'जलवे']
['jalawe', 'जलवे']
['jalve', 'जलवे']
['jalven', 'जलवे']
['jalwen', 'जलवे']
['javaani', 'जवानी']
['jawani', 'जवानी']
['jawaani', 'जवानी']
['javaanii', 'जवानी']
['javaanee', 'जवानी']
['jawaanee', 'जवानी']
['javani', 'जवानी']
['jawaanii', 'जवानी']
['judaa', 'जुदा']
['jooda', 'जुदा']
['juda', 'जुदा']
['jhuda', 'जुदा']
['jyot', 'ज्योत']
['jaan', 'जां']
['jan', 'जां']
['jaaa', 'जां']
['jurm', 'जुर्म']
['jurma', 'जुर्म']
['jhukaaye', 'झुकाए']
['jhukaye', 'झुकाए']
['jhukaae', 'झुकाए']
['jeeti', 'जीती']
['jiitii', 'जीती']
['jeetee', 'जीती']
['jiti', 'जीती']
['jitne', 'जितने']
['jitane', 'जितने']
['jagaa', 'जगा']
['jaga', 'जगा']
['jinake', 'जिनके']
['jinke', 'जिनके']
['jhinke', 'जिनके']
['jinhen', 'जिन्हें']
['jinhein', 'जिन्हें']
['jamaane', 'ज़माने']
['jamane', 'ज़माने']
['jinaki', 'जिनकी']
['jinki', 'जिनकी']
['jinakii', 'जिनकी']
['jagaanaa', 'जगाना']
['jagaana', 'जगाना']
['jaaye', 'जाएँ']
['jaayein', 'जाएँ']
['jaayen', 'जाएँ']
['jaaen', 'जाएँ']
['jaaein', 'जाएँ']
['jaye', 'जाएँ']
['jayein', 'जाएँ']
['jayen', 'जाएँ']
['janam', 'जनम']
['jhukana', 'झुकाना']
['jhukaanaa', 'झुकाना']
['jhukaana', 'झुकाना']
['jaano', 'जानो']
['jano', 'जानो']
['jaag', 'जाग']
['jag', 'जाग']
['jaaga', 'जाग']
['jaagta', 'जाग']
['jaanib', 'जानिब']
['jangal', 'जंगल']
['jungel', 'जंगल']
['jungle', 'जंगल']
['jungal', 'जंगल']
['jama', 'जमा']
['jamah', 'जमा']
['jamaa', 'जमा']
['jalwaagah', 'जल्वागह']
['jaauun', 'जाऊँ']
['jaaoo', 'जाऊँ']
['jaayuun', 'जाऊँ']
['jaaun', 'जाऊँ']
['jaaoon', 'जाऊँ']
['jaun', 'जाऊँ']
['jaoon', 'जाऊँ']
['jaayun', 'जाऊँ']
['jaaon', 'जाऊँ']
['jaon', 'जाऊँ']
['jaao', 'जाऊँ']
['janaazaa', 'जनाज़ा']
['janaajaa', 'जनाज़ा']
['janaaza', 'जनाज़ा']
['jinhe', 'जिन्हे']
['jod', 'जोड़']
['jaati', 'जाती']
['jaatii', 'जाती']
['jaatee', 'जाती']
['jati', 'जाती']
['jate', 'जाती']
['jhatke', 'जाती']
['jaatey', 'जाती']
['jaate', 'जाती']
['jisne', 'जिसने']
['jisane', 'जिसने']
['jyon', 'ज्यों']
['jog', 'जोग']
['jogi', 'जोग']
['jabse', 'जबसे']
['jabase', 'जबसे']
['jang', 'जंग']
['jung', 'जंग']
['jaanein', 'जानें']
['jaanen', 'जानें']
['jane', 'जानें']
['jaane', 'जानें']
['jyuun', 'ज्यूँ']
['jaye', 'जये']
['jaaye', 'जये']
['jhole', 'झोले']
['jawan', 'जवां']
['jawaan', 'जवां']
['javaan', 'जवां']
['javan', 'जवां']
['jismein', 'जिसमें']
['jisamein', 'जिसमें']
['jisamen', 'जिसमें']
['jisme', 'जिसमें']
['jisame', 'जिसमें']
['jhuthi', 'झूठी']
['jhuuti', 'झूठी']
['joothi', 'झूठी']
['jaake', 'जाके']
['jake', 'जाके']
['jindagani', 'ज़िंदगानी']
['jindegani', 'ज़िंदगानी']
['jalaana', 'जलाना']
['jalana', 'जलाना']
['jalaanaa', 'जलाना']
['jaaye', 'जाय']
['jaay', 'जाय']
['jispe', 'जिसपे']
['jisape', 'जिसपे']
['jeet', 'जीत']
['jit', 'जीत']
['jiit', 'जीत']
['jita', 'जीत']
['jeete', 'जीत']
['jeeta', 'जीत']
['jalane', 'जलने']
['jalne', 'जलने']
['javaan', 'जवाँ']
['jawaan', 'जवाँ']
['javan', 'जवाँ']
['jawaa', 'जवाँ']
['jawan', 'जवाँ']
['jeevan', 'जवाँ']
['jiyarava', 'जियरवा']
['jiyaravaa', 'जियरवा']
['jude', 'जुड़े']
['jiya', 'जीया']
['jiiyaa', 'जीया']
['jiyaa', 'जीया']
['jeeya', 'जीया']
['jaalim', 'ज़ालिम']
['jalim', 'ज़ालिम']
['jalegi', 'जलेगी']
['jhilamil', 'झिलमिल']
['jhilmil', 'झिलमिल']
['jaison', 'जैसों']
['jholi', 'झोली']
['jholii', 'झोली']
['jamuna', 'जमुना']
['jamunaa', 'जमुना']
['jalaaye', 'जलाये']
['jalayee', 'जलाये']
['jalaye', 'जलाये']
['jaaegi', 'जाएगी']
['jaayegi', 'जाएगी']
['jayegi', 'जाएगी']
['jaayegee', 'जाएगी']
['jaaegii', 'जाएगी']
['jaaygi', 'जाएगी']
['jaegi', 'जाएगी']
['jaayengi', 'जाएगी']
['jahar', 'जहर']
['jehar', 'जहर']
['jisako', 'जिसको']
['jisko', 'जिसको']
['jhuka', 'झुका']
['jhukaa', 'झुका']
['jala', 'जला']
['jalaa', 'जला']
['jaala', 'जला']
['jaavo', 'जावो']
['jinse', 'जिनसे']
['jinase', 'जिनसे']
['jaani', 'जानी']
['jaane', 'जानी']
['jaanii', 'जानी']
['jani', 'जानी']
['jhukaayaa', 'झुकाया']
['jhukaaya', 'झुकाया']
['jhukaya', 'झुकाया']
['jaadugar', 'जादूगर']
['jaaduugar', 'जादूगर']
['jadugar', 'जादूगर']
['jaadoogar', 'जादूगर']
['jhuthe', 'झूठे']
['jhute', 'झूठे']
['jagaaye', 'जगाये']
['jagaye', 'जगाये']
['jalate', 'जलते']
['jalte', 'जलते']
['jalaaya', 'जलाया']
['jalaayaa', 'जलाया']
['jalaya', 'जलाया']
['jaagate', 'जागते']
['jaagte', 'जागते']
['jaagtey', 'जागते']
['jaayegi', 'जायेगी']
['jayegi', 'जायेगी']
['jaayegee', 'जायेगी']
['jaayengi', 'जायेगी']
['jaayegii', 'जायेगी']
['jhum', 'झूम']
['jhuum', 'झूम']
['jhumm', 'झूम']
['jannat', 'जन्नत']
['jalaaun', 'जलाऊँ']
['jalaayuun', 'जलाऊँ']
['jalaauun', 'जलाऊँ']
['jalaoon', 'जलाऊँ']
['jalaaoon', 'जलाऊँ']
['jvaala', 'ज्वाला']
['jwaalaa', 'ज्वाला']
['jwaala', 'ज्वाला']
['jvaalaa', 'ज्वाला']
['jwala', 'ज्वाला']
['jaanega', 'जानेगा']
['jan', 'जन']
['jhaankate', 'झाँकते']
['junuun', 'जुनूं']
['janmon', 'जन्मों']
['janamon', 'जन्मों']
['jaagen', 'जागें']
['jaage', 'जागें']
['jhuumatii', 'झूमती']
['jhoomti', 'झूमती']
['jhuumati', 'झूमती']
['jhoomati', 'झूमती']
['jhumati', 'झूमती']
['jumti', 'झूमती']
['jagaaye', 'जगाए']
['jagaye', 'जगाए']
['jagaae', 'जगाए']
['jagamagaatii', 'जगमगाती']
['jagamagaati', 'जगमगाती']
['jagamagati', 'जगमगाती']
['jagmagati', 'जगमगाती']
['jagmagaati', 'जगमगाती']
['javaaniyaan', 'जवानियाँ']
['jawaaniyaan', 'जवानियाँ']
['jawaniya', 'जवानियाँ']
['jawaniyan', 'जवानियाँ']
['jaaga', 'जागा']
['jaagaa', 'जागा']
['jaga', 'जागा']
['jagaa', 'जागा']
['josh', 'जोश']
['jholiyaan', 'झोलियाँ']
['jeben', 'जेबें']
['jhaansa', 'झाँसा']
['jitani', 'जितनी']
['jitni', 'जितनी']
['jitanii', 'जितनी']
['jhonkaa', 'झोंका']
['jhonka', 'झोंका']
['jhoka', 'झोंका']
['jhooka', 'झोंका']
['jhoonka', 'झोंका']
['jhokha', 'झोंका']
['jalaakar', 'जलाकर']
['jaalim', 'जालिम']
['jisase', 'जिससे']
['jisse', 'जिससे']
['jataa', 'जता']
['jata', 'जता']
['jul', 'जुल']
['jhul', 'जुल']
['jhuken', 'झुकें']
['jhukein', 'झुकें']
['jhuk', 'झुक']
['juk', 'झुक']
['jhuume', 'झूमे']
['jhoome', 'झूमे']
['jhume', 'झूमे']
['jhumaka', 'झुमका']
['jhumka', 'झुमका']
['jhumkaa', 'झुमका']
['jhumakaa', 'झुमका']
['jaluun', 'जलूँ']
['jaloon', 'जलूँ']
['jhuule', 'झूले']
['jhule', 'झूले']
['jhoole', 'झूले']
['jule', 'झूले']
['jagne', 'जगने']
['jagane', 'जगने']
['jhukne', 'झुकने']
['jukne', 'झुकने']
['jhukane', 'झुकने']
['jagaane', 'जगाने']
['jagane', 'जगाने']
['jismon', 'जिस्मों']
['jhumake', 'झुमके']
['jhumke', 'झुमके']
['jatan', 'जतन']
['jharonkaa', 'झरोंका']
['jagaaegi', 'जगाएगी']
['jagaayegee', 'जगाएगी']
['jazbaat', 'जज़बात']
['jazabaat', 'जज़बात']
['juum', 'जूम']
['jinako', 'जिनको']
['jinko', 'जिनको']
['jaati', 'जाति']
['jati', 'जाति']
['jaaneman', 'जानेमन']
['janeman', 'जानेमन']
['jaanemann', 'जानेमन']
['jhim', 'झिम']
['judne', 'जुड़ने']
['judane', 'जुड़ने']
['jaaoonga', 'जाऊँगा']
['jaaonga', 'जाऊँगा']
['jaayuunga', 'जाऊँगा']
['jaauunga', 'जाऊँगा']
['jaunga', 'जाऊँगा']
['jaauungaa', 'जाऊँगा']
['jaaunga', 'जाऊँगा']
['jaayunga', 'जाऊँगा']
['jaaungaa', 'जाऊँगा']
['jaaounga', 'जाऊँगा']
['jaavunga', 'जाऊँगा']
['jaoonga', 'जाऊँगा']
['jaaungi', 'जाऊँगी']
['jaayuungi', 'जाऊँगी']
['jaauungi', 'जाऊँगी']
['jaaoongi', 'जाऊँगी']
['jaaongi', 'जाऊँगी']
['jaauungii', 'जाऊँगी']
['jaaoongee', 'जाऊँगी']
['jaoongi', 'जाऊँगी']
['jodun', 'जोड़ूँ']
['joduun', 'जोड़ूँ']
['jodoon', 'जोड़ूँ']
['jhenpatin', 'झेंपतीं']
['jiyara', 'जियरा']
['jiyaraa', 'जियरा']
['julam', 'जुलम']
['jalaaen', 'जलाए']
['jalaaye', 'जलाए']
['jalaae', 'जलाए']
['jalaye', 'जलाए']
['jhalaye', 'जलाए']
['juhi', 'जूही']
['juuhi', 'जूही']
['jug', 'जुग']
['jhingala', 'झिंगला']
['jhalak', 'झाला']
['jhaala', 'झाला']
['jhaalaa', 'झाला']
['jor', 'जोर']
['jhoolo', 'झूलो']
['jhuulo', 'झूलो']
['japade', 'जपदे']
['jaal', 'जाल']
['jubaan', 'ज़ुबान']
['jahaan', 'जहान']
['jahan', 'जहान']
['jhutha', 'झूठा']
['jootha', 'झूठा']
['janeman', 'जनेमन']
['jhula', 'झूला']
['jhuula', 'झूला']
['jhoola', 'झूला']
['jhuulaa', 'झूला']
['jhoolaa', 'झूला']
['jula', 'झूला']
['jhulaa', 'झूला']
['jaagata', 'जागता']
['jaagta', 'जागता']
['jaagataa', 'जागता']
['jagta', 'जागता']
['jaanata', 'जानता']
['jaanataa', 'जानता']
['janta', 'जानता']
['jaanta', 'जानता']
['jaaogi', 'जाओगी']
['jaogi', 'जाओगी']
['jaaogii', 'जाओगी']
['jaaunga', 'जाऊंगा']
['jaauungaa', 'जाऊंगा']
['jaaungaa', 'जाऊंगा']
['jaaoongaa', 'जाऊंगा']
['jaaoonga', 'जाऊंगा']
['jaayuunga', 'जाऊंगा']
['jaaonga', 'जाऊंगा']
['jaoonga', 'जाऊंगा']
['jaayunga', 'जाऊंगा']
['jhuumane', 'झूमने']
['jhumne', 'झूमने']
['jhoomne', 'झूमने']
['jhoomane', 'झूमने']
['jalan', 'जलन']
['jaagti', 'जागती']
['jaagati', 'जागती']
['jaagatee', 'जागती']
['jagti', 'जागती']
['jagati', 'जागती']
['judaai', 'जुदाई']
['judhaayi', 'जुदाई']
['judaaii', 'जुदाई']
['judaayi', 'जुदाई']
['judai', 'जुदाई']
['judadi', 'जुदाई']
['jamke', 'जमके']
['jamake', 'जमके']
['jazbaat', 'जज़्बात']
['jogi', 'जोगी']
['jogii', 'जोगी']
['jogee', 'जोगी']
['jaldii', 'जल्दी']
['jaldi', 'जल्दी']
['jhelane', 'झेलने']
['jaaun', 'जाउँ']
['jaayegaa', 'जायेगा']
['jayega', 'जायेगा']
['jaayega', 'जायेगा']
['jaaegaa', 'जायेगा']
['jat', 'जाट']
['jhuumo', 'झूमो']
['jhoomo', 'झूमो']
['jubaani', 'जुबानी']
['janmi', 'जन्मी']
['jhukaaiye', 'झुकाइये']
['jeeye', 'जिये']
['jiye', 'जिये']
['jodi', 'जोड़ी']
['joodi', 'जोड़ी']
['jodii', 'जोड़ी']
['jyaada', 'ज्यादा']
['jyaadaa', 'ज्यादा']
['jyada', 'ज्यादा']
['janamon', 'जनमों']
['janmon', 'जनमों']
['jhulayaa', 'झुलाया']
['jhulaaya', 'झुलाया']
['jaayengey', 'जायेंगे']
['jaayenge', 'जायेंगे']
['jayenge', 'जायेंगे']
['jayange', 'जायेंगे']
['jharoke', 'झरोके']
['jaanegi', 'जानेगी']
['jaayegi', 'जानेगी']
['jogan', 'जोगन']
['jhakora', 'झकोरा']
['jayengi', 'जायेंगी']
['jaayengi', 'जायेंगी']
['jaayegee', 'जायेंगी']
['jaayegi', 'जायेंगी']
['jalii', 'जली']
['jali', 'जली']
['jaai', 'जाई']
['jaaii', 'जाई']
['jaayi', 'जाई']
['jai', 'जाई']
['jismon', 'जिसमों']
['jazbon', 'जज़बों']
['jazabon', 'जज़बों']
['jaante', 'जानती']
['jaanti', 'जानती']
['jaanatii', 'जानती']
['jaanati', 'जानती']
['jaanu', 'जानूं']
['jaanun', 'जानूं']
['jaanuun', 'जानूं']
['jaano', 'जानूं']
['jhuki', 'झुकी']
['jhukii', 'झुकी']
['jhoomata', 'झूमता']
['jhuumata', 'झूमता']
['jhumta', 'झूमता']
['jumta', 'झूमता']
['jhuumataa', 'झूमता']
['jhumata', 'झूमता']
['jhoomta', 'झूमता']
['jitega', 'जीतेगा']
['jitegaa', 'जीतेगा']
['jeetega', 'जीतेगा']
['jayega', 'जयेगा']
['juuti', 'जूती']
['jawaano', 'जवानों']
['javaanon', 'जवानों']
['jawaanon', 'जवानों']
['jad', 'जड़']
['jaakar', 'जाकर']
['jakar', 'जाकर']
['jaago', 'जागो']
['jagaati', 'जगाती']
['jagati', 'जगाती']
['jagaata', 'जगाता']
['jagata', 'जगाता']
['jagaataa', 'जगाता']
['jhankaar', 'झंकार']
['jankar', 'झंकार']
['jakhmon', 'ज़ख़्मों']
['justazu', 'जुस्तज़ू']
['justajoo', 'जुस्तज़ू']
['jiyo', 'जियो']
['jeeyo', 'जियो']
['jio', 'जियो']
['jam', 'जम']
['judaaye', 'जुदाए']
['judaae', 'जुदाए']
['judaye', 'जुदाए']
['jhonken', 'झोंकें']
['jhukate', 'झुकते']
['jhukte', 'झुकते']
['jhoolon', 'झूलों']
['jhuulon', 'झूलों']
['jhuloon', 'झूलों']
['julo', 'झूलों']
['jhulon', 'झूलों']
['jhulaane', 'झुलाने']
['janm', 'जन्म']
['jhukati', 'झुकती']
['jhukti', 'झुकती']
['jhukatii', 'झुकती']
['jhoomen', 'झूमें']
['jhuumen', 'झूमें']
['jhumein', 'झूमें']
['jhuthi', 'झूटी']
['jagaai', 'जगाई']
['jagaaii', 'जगाई']
['jhadiyaan', 'झड़ियां']
['jalenge', 'जलेंगे']
['jhuki', 'झुकि']
['jaayuungi', 'जाऊंगी']
['jaaoongi', 'जाऊंगी']
['jaaungi', 'जाऊंगी']
['jaoongi', 'जाऊंगी']
['jaaungii', 'जाऊंगी']
['jaauungii', 'जाऊंगी']
['jaayungi', 'जाऊंगी']
['jaauungi', 'जाऊंगी']
['jaaongi', 'जाऊंगी']
['jaungee', 'जाऊंगी']
['jhula', 'झुला']
['jhulaa', 'झुला']
['janani', 'जननी']
['jayiyo', 'जइयो']
['jidaai', 'जिदाई']
['jhuuleho', 'झूलेहो']
['jhulaaye', 'झुलाये']
['janakadulaari', 'जनकदुलारी']
['jalaavo', 'जलावो']
['jaannati', 'जान्णती']
['jalaake', 'जलाके']
['jalawon', 'जलवों']
['jalavon', 'जलवों']
['jalvon', 'जलवों']
['jalwon', 'जलवों']
['jhule', 'झूल']
['jhul', 'झूल']
['jhuul', 'झूल']
['jalati', 'जलाती']
['jalaati', 'जलाती']
['jalaatee', 'जलाती']
['jalaatii', 'जलाती']
['jiye', 'जियें']
['jeeyein', 'जियें']
['jiyein', 'जियें']
['jiyen', 'जियें']
['jeeyen', 'जियें']
['junuun', 'जुनून']
['junun', 'जुनून']
['jawaani', 'जवानि']
['javaani', 'जवानि']
['jawani', 'जवानि']
['jubaan', 'जुबाँ']
['jubaann', 'जुबाँ']
['jinka', 'जिनका']
['jinaka', 'जिनका']
['jinakaa', 'जिनका']
['jeele', 'जीले']
['jiile', 'जीले']
['jile', 'जीले']
['jiivar', 'जीवर']
['jhapake', 'झपके']
['jyoti', 'ज्योति']
['jaanewaale', 'जानेवाले']
['jaanewale', 'जानेवाले']
['janewale', 'जानेवाले']
['jaanevaale', 'जानेवाले']
['jaayaa', 'जाया']
['jaya', 'जाया']
['jaaya', 'जाया']
['jagadambike', 'जगदम्बिके']
['jagamaga', 'जगमगा']
['jagmaga', 'जगमगा']
['jagamagaa', 'जगमगा']
['jabheen', 'जबीं']
['jabin', 'जबीं']
['jabiin', 'जबीं']
['jalanaa', 'जलना']
['jalana', 'जलना']
['jalnaa', 'जलना']
['jalna', 'जलना']
['jie', 'जिए']
['jiye', 'जिए']
['jaadugari', 'जादूगरी']
['jaddoogari', 'जादूगरी']
['jaadoogari', 'जादूगरी']
['jadugiri', 'जादूगरी']
['jaaduugari', 'जादूगरी']
['janon', 'जानों']
['jaanon', 'जानों']
['jaano', 'जानों']
['jaayegaa', 'आजायेगा']
['japti', 'जपती']
['jhapti', 'जपती']
['japati', 'जपती']
['janata', 'जनता']
['jhaank', 'झाँक']
['jhaakh', 'झाँक']
['jaageer', 'जागीर']
['jaagiir', 'जागीर']
['jagir', 'जागीर']
['jaagir', 'जागीर']
['jaagon', 'जागों']
['juaari', 'जुआरी']
['jaanch', 'जाँच']
['jhanjhar', 'झाँझर']
['jhaanjhar', 'झाँझर']
['jaanakar', 'जानकर']
['jaankar', 'जानकर']
['jhaanko', 'झाँको']
['jalanevaalon', 'जलनेवालों']
['joi', 'जोइ']
['jaat', 'जात']
['jaata', 'जात']
['jhamele', 'झमेले']
['jhumele', 'झमेले']
['jami', 'जमी']
['jataana', 'जताना']
['jatana', 'जताना']
['jataanaa', 'जताना']
['jaayungi', 'जाउँगी']
['jaaungi', 'जाउँगी']
['jaungi', 'जाउँगी']
['joda', 'जोड़ा']
['jodaa', 'जोड़ा']
['jodha', 'जोड़ा']
['jalaayen', 'जलायें']
['jhagde', 'झगड़े']
['jaykaar', 'जयकार']
['jayakaar', 'जयकार']
['jaanu', 'जानू']
['janu', 'जानू']
['jaanuu', 'जानू']
['juldi', 'जुल्दी']
['jannato', 'जन्नाटो']
['justaju', 'जूसतजू']
['jindagi', 'जिंदगी']
['jindagee', 'जिंदगी']
['jaapaani', 'जापानी']
['japani', 'जापानी']
['jind', 'जिंद']
['jhut', 'झुत']
['jaave', 'जावे']
['jaawe', 'जावे']
['jamaana', 'जमाना']
['jamaanaa', 'जमाना']
['jharoko', 'झरोको']
['jahan', 'जहा']
['jaha', 'जहा']
['jahaan', 'जहा']
['jaduki', 'जादुकी']
['janejana', 'जानेजाना']
['jaanejaanaa', 'जानेजाना']
['jalane', 'जलाने']
['jalaane', 'जलाने']
['jaande', 'जांदे']
['jande', 'जंदे']
['jhumar', 'झूमर']
['jhuumar', 'झूमर']
