['bhadakaatii', 'भड़काती']
['baran', 'बरन']
['bayan', 'बयन']
['badhanaa', 'बढ़ाना']
['badhana', 'बढ़ाना']
['badhaanaa', 'बढ़ाना']
['badhaana', 'बढ़ाना']
['badana', 'बढ़ाना']
['badhaayaa', 'बढ़ाया']
['badhaakar', 'बढ़ाकर']
['basta', 'बसता']
['basataa', 'बसता']
['basata', 'बसता']
['basthaa', 'बसता']
['balaayein', 'बलाएँ']
['balaayen', 'बलाएँ']
['basaanii', 'बसानी']
['boonden', 'बूंदें']
['badalte', 'बदलते']
['badalate', 'बदलते']
['baiyyan', 'बैयाँ']
['baiyyaa', 'बैयाँ']
['baiyaan', 'बैयाँ']
['bewafaai', 'बेवाफ़ाई']
['bhanvaron', 'भंवरों']
['bhanwaron', 'भंवरों']
['banaayega', 'बनायेगा']
['banaayegaa', 'बनायेगा']
['bebaaq', 'बेबाक़']
['bichhaadun', 'बिछादूँ']
['bichhadana', 'बिछड़ना']
['bichhadnaa', 'बिछड़ना']
['bichhadna', 'बिछड़ना']
['bichadna', 'बिछड़ना']
['bichhadanaa', 'बिछड़ना']
['bulandi', 'बुलन्दी']
['bhulaayenge', 'भुलायेंगे']
['birahan', 'बिरहन']
['birhan', 'बिरहन']
['balata', 'बलता']
['bolon', 'बोलों']
['badhaaye', 'बढ़ाए']
['bulliyaan', 'बुल्लियां']
['billo', 'बिल्लो']
['bullaan', 'बुल्लां']
['bai', 'बै']
['billiyaan', 'बिल्लियां']
['bharna', 'भरना']
['bhaaiyon', 'भाइयों']
['bhaayiyon', 'भाइयों']
['bhaago', 'भागो']
['bahes', 'बहस']
['bahiyaan', 'बहियाँ']
['bakkad', 'बक्कड़']
['bambe', 'बम्बे']
['bahenge', 'बहेंगे']
['bhulaun', 'भुलाऊँ']
['bhulaaoon', 'भुलाऊँ']
['bhulaauun', 'भुलाऊँ']
['bhulaayuun', 'भुलाऊँ']
['bhulaaun', 'भुलाऊँ']
['baawafa', 'बावफ़ा']
['betaabiyon', 'बेताबियों']
['betabiyon', 'बेताबियों']
['bhoolegi', 'भूलेगी']
['bhuulegii', 'भूलेगी']
['bhulegi', 'भूलेगी']
['banjar', 'बंजर']
['bedaag', 'बेदाग़']
['bahaav', 'बहाव']
['battuur', 'बत्तूर']
['bru', 'ब्रु']
['botan', 'बोतन']
['bi', 'बि']
['bud', 'बुद']
['budi', 'बुदि']
['bhatakaya', 'भटकाया']
['barasaane', 'बरसाने']
['barsaane', 'बरसाने']
['boleen', 'बोलीं']
['bolin', 'बोलीं']
['bechainiyaan', 'बेचैनियाँ']
['bechaniyaan', 'बेचैनियाँ']
['baya', 'बया']
['bedaad', 'बेदाद']
['barah', 'बारह']
['baarah', 'बारह']
['baniye', 'बनिए']
['banie', 'बनिए']
['bhaagate', 'भागते']
['bhaaji', 'भाजी']
['basate', 'बसते']
['bainkon', 'बैंकों']
['bachenge', 'बचेंगे']
['badi', 'बड़ि']
['baazuu', 'बाज़ू']
['baazu', 'बाज़ू']
['baisaakh', 'बैसाख']
['baandhi', 'बांधी']
['bandhaa', 'बन्धा']
['bekarariyaa', 'बेक़रारियाँ']
['beqaraariyaan', 'बेक़रारियाँ']
['baadshaahon', 'बाद्शाहों']
['bulaake', 'बुलाके']
['bajaake', 'बजाके']
['bujhaaii', 'बुझाई']
['bujhaai', 'बुझाई']
['bujhaayi', 'बुझाई']
['badarava', 'बदरव']
['bhule', 'भुले']
['badarva', 'बदर्वा']
['bajaaya', 'बजाया']
['bajaya', 'बजाया']
['bajaayaa', 'बजाया']
['bhuraji', 'भुरजी']
['bataashe', 'बताशे']
['batashe', 'बताशे']
['baaksar', 'बाक्सर']
['bhaaga', 'भागा']
['bhaagaa', 'भागा']
['bhaga', 'भागा']
['baappaa', 'बाप्पा']
['baappa', 'बाप्पा']
['batalaaega', 'बतलाएगा']
['burma', 'बर्मा']
['bichhadke', 'बिछड़के']
['bichhadake', 'बिछड़के']
['bansi', 'बंशी']
['banshi', 'बंशी']
['barjori', 'बरजोरी']
['barajori', 'बरजोरी']
['barajorii', 'बरजोरी']
['braj', 'ब्रज']
['basaane', 'बसाने']
['basane', 'बसाने']
['bholaapan', 'भोलापन']
['bholapan', 'भोलापन']
['benishaan', 'बेनिशाँ']
['bilaur', 'बिलौर']
['belaag', 'बेलाग']
['baarishon', 'बारिशों']
['barisho', 'बारिशों']
['baarisho', 'बारिशों']
['bareeshon', 'बारिशों']
['baari', 'बारी']
['bhaari', 'बारी']
['bandish', 'बन्दिश']
['baaton', 'बातोन']
['baang', 'बाँग']
['banaaye', 'बनाएँ']
['banaayen', 'बनाएँ']
['barasenge', 'बरसेंगे']
['barsenge', 'बरसेंगे']
['bare', 'बरे']
['bhare', 'बरे']
['bujhaaungi', 'बुझाऊँगी']
['bhulaaungi', 'भुलाऊँगी']
['besaram', 'बेसरम']
['bekadar', 'बेकदर']
['barasaton', 'बरसातों']
['barasaaton', 'बरसातों']
['barsaato', 'बरसातों']
['barsaaton', 'बरसातों']
['begaani', 'बेगानी']
['boluungii', 'बोलूंगी']
['boloongi', 'बोलूंगी']
['boluungi', 'बोलूंगी']
['baandh', 'बाँढ']
['bulaao', 'बुलाओ']
['bulaayo', 'बुलाओ']
['bulao', 'बुलाओ']
['bhigote', 'भिगोते']
['barbaadiyon', 'बरबादियोँ']
['besamajh', 'बेसमझ']
['baaqpan', 'बाकपन']
['bulaaoge', 'बुलाओगे']
['banun', 'बनूँ']
['banoon', 'बनूँ']
['banuun', 'बनूँ']
['banoo', 'बनूँ']
['babua', 'बबुआ']
['babuwa', 'बबुआ']
['bologe', 'बोलोगे']
['bahimaanaa', 'बहिमाना']
['beetegaa', 'बीतेगा']
['bitegaa', 'बीतेगा']
['bikharaayiye', 'बिखराइये']
['bitaate', 'बिताते']
['bitate', 'बिताते']
['bainyaan', 'बैंयाँ']
['baiyaan', 'बैंयाँ']
['baangala', 'बांगला']
['baangaali', 'बांगाली']
['barabadi', 'बरबदी']
['batiya', 'बतिया']
['batiyaan', 'बतिया']
['batiyaa', 'बतिया']
['bhopaal', 'भोपाल']
['bolane', 'बोलने']
['bataauun', 'बताऊं']
['bataaun', 'बताऊं']
['burzi', 'बुर्ज़ी']
['bujhenge', 'बुझेंगे']
['bhunjege', 'बुझेंगे']
['babbar', 'बब्बर']
['bandar', 'बंदर']
['bil', 'बिल']
['bill', 'बिल']
['bhaalu', 'भालू']
['bhaaluu', 'भालू']
['bhaagne', 'भागने']
['bhaagane', 'भागने']
['bajao', 'बजाओ']
['bajaao', 'बजाओ']
['bum', 'बम']
['bam', 'बम']
['bajaayega', 'बजायेगा']
['bajaayegaa', 'बजायेगा']
['bemaut', 'बेमौत']
['bevafaaon', 'बेवफ़ाओं']
['bikharne', 'बिखरने']
['bikharane', 'बिखरने']
['badaulat', 'बदौलत']
['bhaayen', 'भायें']
['bhukhon', 'भूखों']
['bhuukhon', 'भूखों']
['bazaari', 'बज़ारी']
['bekaari', 'बेकारी']
['banwaaye', 'बनवाये']
['banawaaye', 'बनवाये']
['bhagwan', 'भगवन']
['balawaan', 'बलवान']
['balwaan', 'बलवान']
['balavaan', 'बलवान']
['bigaada', 'बिगाड़ा']
['badkamma', 'बद्कम्मा']
['badakamma', 'बदकम्मा']
['bolegi', 'बोलेगी']
['baigaam', 'बैगाम']
['baiyaan', 'बैयां']
['baiyyaan', 'बैयां']
['bahalaate', 'बहलाते']
['behlate', 'बहलाते']
['banon', 'बनों']
['bekal', 'बेकल']
['bisaraaye', 'बिसराए']
['bisaraae', 'बिसराए']
['bachan', 'बचन']
['bulandiyon', 'बुलन्दियों']
['bhagaao', 'भगाओ']
['bangla', 'बंग्ला']
['baru', 'बरू']
['banni', 'बन्नी']
['baandha', 'बाँधा']
['baandhaa', 'बाँधा']
['banda', 'बाँधा']
['bandha', 'बाँधा']
['birhah', 'बिर्हा']
['bavander', 'बवंडर']
['bhuuluungi', 'भूलूँगी']
['bengal', 'बंगाल']
['bangaal', 'बंगाल']
['bijliyaan', 'बिजलियां']
['bijaliyaan', 'बिजलियां']
['badliyaan', 'बदलियां']
['badaliyaan', 'बदलियां']
['bhaayega', 'भाएगा']
['bikne', 'बिकने']
['bigaad', 'बिगाड़']
['bataai', 'बताई']
['bataayi', 'बताई']
['bataali', 'बताई']
['batayi', 'बताई']
['banavaai', 'बनवाई']
['buton', 'बुतों']
['babuule', 'बबूले']
['baazaari', 'बाज़ारी']
['bhikhaariyon', 'भिखारियों']
['bhoolenge', 'भूलेंगे']
['bhuulenge', 'भूलेंगे']
['bhulenge', 'भूलेंगे']
['bahaanon', 'बहानों']
['bikati', 'बिकती']
['bikti', 'बिकती']
['baankapan', 'बाँकपन']
['bankpan', 'बाँकपन']
['bechati', 'बेचती']
['banava', 'बनवा']
['banavaa', 'बनवा']
['banawaa', 'बनवा']
['bekadara', 'बेकदरा']
['bekhabara', 'बेखबरा']
['bolega', 'बोलेगा']
['bhaayegi', 'भायेगी']
['bachcho', 'बच्चो']
['beeviji', 'बीवीजी']
['bajaata', 'बजाता']
['bajaataa', 'बजाता']
['bharoge', 'भरोगे']
['badhaate', 'बढ़ाते']
['bataayenge', 'बतायेंगे']
['bhulaauun', 'भुलाऊं']
['bhoolungi', 'भूलूंगी']
['bulaayega', 'बुलायेगा']
['bulaayegaa', 'बुलायेगा']
['bujhega', 'बुझेगा']
['bujhegaa', 'बुझेगा']
['baashinda', 'बाशिन्दा']
['baare', 'बारे']
['baaret', 'बारे']
['bhatke', 'भटके']
['bheeje', 'भीजे']
['bhulega', 'भुलेगा']
['banayi', 'बनयी']
['biravaa', 'बिरवा']
['birawaa', 'बिरवा']
['baliya', 'बलिया']
['balakhai', 'बलखाई']
['barsaaye', 'बरसाये']
['barasaaye', 'बरसाये']
['banglo', 'बँगलो']
['baithungi', 'बैठूँगी']
['baithoongi', 'बैठूँगी']
['bachataa', 'बचता']
['barfili', 'बर्फ़ीली']
['barfilee', 'बर्फ़ीली']
['bahaniya', 'बहनिया']
['bajaayega', 'बजाएगा']
['bajaaega', 'बजाएगा']
['bahina', 'बहिना']
['baithegi', 'बैठेगी']
['bulaauunga', 'बुलाऊँगा']
['badhaatii', 'बढ़ाती']
['badhaati', 'बढ़ाती']
['badati', 'बढ़ाती']
['barasane', 'बरसने']
['barasne', 'बरसने']
['balidaan', 'बलिदान']
['besharmi', 'बेशर्मी']
['bhaalon', 'भालों']
['bevakoof', 'बेवकूफ़']
['bigadata', 'बिगड़ता']
['bigadataa', 'बिगड़ता']
['bahalaayenge', 'बहलाएंगे']
['baas', 'बास']
['bhediye', 'भेड़िये']
['banavaasiyo', 'बनवासियो']
['bahegaa', 'बहेगा']
['bahega', 'बहेगा']
['batalaaye', 'बतलाये']
['batlaaye', 'बतलाये']
['bharamaane', 'भरमाने']
['buzurgon', 'बुज़ुर्गों']
['baratan', 'बरतन']
['bhoj', 'भोज']
['bharungi', 'भरूँगी']
['bharuungi', 'भरूँगी']
['byaah', 'ब्याह']
['biyaah', 'ब्याह']
['bekaraariyaan', 'बेकरारियाँ']
['bhoologe', 'भूलोगे']
['bhuuloge', 'भूलोगे']
['bachuun', 'बचूं']
['badaluun', 'बदलूं']
['bimaa', 'बीमा']
['bhigoya', 'भिगोया']
['badaliyon', 'बदलियों']
['badliyon', 'बदलियों']
['bhaat', 'भात']
['bhat', 'भात']
['beri', 'बेरी']
['beqal', 'बेक़ल']
['bigadega', 'बिगड़ेगा']
['bulaayen', 'बुलाएँ']
['bulaaen', 'बुलाएँ']
['bachaayen', 'बचायें']
['basaayen', 'बसाएं']
['basaaen', 'बसाएं']
['basaaein', 'बसाएं']
['bichhaake', 'बिछाके']
['bhogyam', 'भोग्यम']
['bakhaane', 'बखाने']
['biraj', 'बिरज']
['bisar', 'बिसर']
['batalaaye', 'बतलाए']
['batlaaye', 'बतलाए']
['bataaiyo', 'बताइयो']
['banaauun', 'बनाऊं']
['bolate', 'बोलते']
['bolte', 'बोलते']
['bejaan', 'बेजान']
['baliye', 'बलिये']
['bahakaanaa', 'बहकाना']
['bitaaye', 'बिताये']
['bitayen', 'बिताये']
['baniyon', 'बनियों']
['bakataa', 'बकता']
['baalak', 'बालक']
['balak', 'बालक']
['bhiker', 'भिकेर']
['bahaai', 'बहाई']
['bilapat', 'बिलपत']
['bajaayenge', 'बजाएंगे']
['bajaaenge', 'बजाएंगे']
['bharamaakar', 'भरमाकर']
['banaayenge', 'बनायेंगे']
['bhaata', 'भाता']
['bhaataa', 'भाता']
['balkhayein', 'बलखायें']
['baithenge', 'बैठेंगे']
['beshaare', 'बेसहारे']
['besahaare', 'बेसहारे']
['banaaungi', 'बनाऊँगी']
['banaayuungi', 'बनाऊँगी']
['bhatakaane', 'भटकाने']
['bhigoye', 'भिगोये']
['buundan', 'बूंदन']
['barkaa', 'बर्का']
['bulaayenge', 'बुलायेंगे']
['baanvri', 'बांवरी']
['baanwari', 'बांवरी']
['banwari', 'बांवरी']
['bayan', 'बयां']
['bayaan', 'बयां']
['baddoor', 'बद्दूर']
['baar', 'बर']
['bar', 'बर']
['bebhaav', 'बेभाव']
['bechaa', 'बेचा']
['becha', 'बेचा']
['battiyaan', 'बत्तियाँ']
['battii', 'बत्ती']
['batti', 'बत्ती']
['bigad', 'बिगड']
['balihaar', 'बलिहार']
['baagad', 'बागड़']
['bamabam', 'बमबम']
['baansee', 'बाँसी']
['baahon', 'बांहों']
['besaakh', 'बेसाख']
['bhaado', 'भादो']
['binti', 'बिन्ती']
['bele', 'बेले']
['bikheraa', 'बिखेरा']
['bikhera', 'बिखेरा']
['baithi', 'बैठीं']
['baazu', 'बाज़ु']
['besamaan', 'बेसमान']
['basanti', 'बसंति']
['bulbul', 'बुल्बुल']
['bahalaaye', 'बहलाये']
['bachaakar', 'बचाकर']
['bhedi', 'भेदी']
['biyaawaan', 'बीयावाँ']
['batalaaun', 'बतलाऊँ']
['batlaoon', 'बतलाऊँ']
['batalaayuun', 'बतलाऊँ']
['batalaauun', 'बतलाऊँ']
['batalaaoon', 'बतलाऊँ']
['badnaamiyaan', 'बदनामियाँ']
['belon', 'बेलों']
['bahaali', 'बहाली']
['bhadakaataa', 'भड़काता']
['bekhyaal', 'बेख्याल']
['bekhayaal', 'बेख्याल']
['badahavaas', 'बदहवास']
['badagumaan', 'बदगुमान']
['bhaangadaa', 'भांगड़ा']
['bhaangada', 'भांगड़ा']
['bekhudi', 'बेखूदी']
['basaayegaa', 'बसायेगा']
['bujhaayegaa', 'बुझायेगा']
['bithhayegaa', 'बिठायेगा']
['bithaayegaa', 'बिठायेगा']
['bahaayegaa', 'बहायेगा']
['batalaade', 'बतलादे']
['batlade', 'बतलादे']
['bolta', 'बोलता']
['bolata', 'बोलता']
['boj', 'बोझ']
['basoon', 'बसूँ']
['bore', 'बोर']
['bor', 'बोर']
['beqadar', 'बेक़दर']
['bichhadkar', 'बिछड़कर']
['bichhadakar', 'बिछड़कर']
['bhatkaye', 'भटकाये']
['baso', 'बसो']
['bahakegaa', 'बहकेगा']
['bahakega', 'बहकेगा']
['behkega', 'बहकेगा']
['baante', 'बांटे']
['barsaaya', 'बरसाया']
['barsaya', 'बरसाया']
['barasaaya', 'बरसाया']
['bolenge', 'बोलेंगे']
['biki', 'बिकी']
['bandhenge', 'बंधेंगे']
['baandhegaa', 'बांधेगा']
['behakti', 'बहकती']
['bahakati', 'बहकती']
['banta', 'बंटा']
['badhaai', 'बढ़ाई']
['badhaayi', 'बढ़ाई']
['banunga', 'बनूँगा']
['boliyaan', 'बोलियां']
['balidano', 'बलिदानों']
['bachaini', 'बचैनी']
['bad', 'बड़']
['bithakar', 'बिठाकर']
['bithaakar', 'बिठाकर']
['badhegi', 'बढ़ेगी']
['badegi', 'बढ़ेगी']
['baalkon', 'बालकों']
['bahegi', 'बहेगी']
['bahu', 'बहू']
['bachchu', 'बच्चू']
['betaar', 'बेतार']
['bichhaayii', 'बिछायी']
['bedaam', 'बेदाम']
['boombura', 'बुम्बूरा']
['begunaah', 'बेगुनाह']
['barahan', 'बरहन']
['bharpoor', 'भरपूर']
['benuur', 'बेनूर']
['benur', 'बेनूर']
['beimaan', 'बेइमां']
['baho', 'बहो']
['bujhaaoge', 'बुझाओगे']
['byaahe', 'ब्याहे']
['beeran', 'बीरन']
['badhat', 'बढ़त']
['bataaon', 'बाताओ']
['bahaadoor', 'बहादुर']
['bahaadur', 'बहादुर']
['bejod', 'बेजोड़']
['beekaaneri', 'बीकानेरी']
['beetiin', 'बीतीं']
['bhatakegi', 'भटकेगी']
['bolabaalaa', 'बोलबाला']
['bolabaala', 'बोलबाला']
['bhaaven', 'भावें']
['bandhushch', 'बंधुश्च']
['buddhyaatmanaa', 'बुद्ध्यात्मना']
['boor', 'बूर']
['behlayega', 'बहलाएगा']
['bahalaaegaa', 'बहलाएगा']
['bandhuon', 'बन्धुओं']
['bandhane', 'बंधने']
['bandhne', 'बंधने']
['baajne', 'बाज्ने']
['bhini', 'भिनि']
['boliyan', 'बोलियन']
['barso', 'बर्सो']
['baiya', 'बईया']
['baabal', 'बाबल']
['bageeche', 'बगीचे']
['bajaakar', 'बजाकर']
['bagiyaan', 'बगियाँ']
