['dehke', 'दहके']
['dilaa', 'दिला']
['deejiye', 'दीजिए']
['dijie', 'दीजिए']
['dijiye', 'दीजिए']
['deejie', 'दीजिए']
['diijie', 'दीजिए']
['duja', 'दूजा']
['dujaa', 'दूजा']
['duuja', 'दूजा']
['duujaa', 'दूजा']
['dooja', 'दूजा']
['dujha', 'दूजा']
['doojaan', 'दूजा']
['duji', 'दूजी']
['dooji', 'दूजी']
['duuji', 'दूजी']
['doojee', 'दूजी']
['dulhan', 'दुल्हन']
['dilrubaa', 'दिलरुबा']
['dilaruba', 'दिलरुबा']
['dilruba', 'दिलरुबा']
['dilarubaa', 'दिलरुबा']
['dilrooba', 'दिलरुबा']
['darmiyaan', 'दर्मियां']
['daramiyaan', 'दर्मियां']
['dooje', 'दूजे']
['duje', 'दूजे']
['duuje', 'दूजे']
['dujhe', 'दूजे']
['dujeke', 'दूजे']
['dua', 'दुआ']
['duaa', 'दुआ']
['dilakash', 'दिलकश']
['dilkash', 'दिलकश']
['dig', 'दिग']
['deti', 'देती']
['detee', 'देती']
['detii', 'देती']
['des', 'देस']
['desh', 'देस']
['dastuur', 'दस्तूर']
['dastur', 'दस्तूर']
['dastoor', 'दस्तूर']
['duungi', 'दूंगी']
['doongi', 'दूंगी']
['dungi', 'दूंगी']
['dikha', 'दिखा']
['dikhaa', 'दिखा']
['diladaar', 'दिलदार']
['dildaar', 'दिलदार']
['dildar', 'दिलदार']
['diladar', 'दिलदार']
['dildara', 'दिलदार']
['dusron', 'दूसरों']
['doosaron', 'दूसरों']
['dariya', 'दरिया']
['darya', 'दरिया']
['dariyaa', 'दरिया']
['dareeyaa', 'दरिया']
['dariyaan', 'दरिया']
['dariyan', 'दरिया']
['davaa', 'दवा']
['dawa', 'दवा']
['dawaan', 'दवा']
['dava', 'दवा']
['dawaa', 'दवा']
['dhadakanon', 'धड़कनों']
['dhadkanon', 'धड़कनों']
['daalaa', 'डाला']
['daala', 'डाला']
['dala', 'डाला']
['dalaa', 'डाला']
['daulat', 'दौलत']
['doulat', 'दौलत']
['doonga', 'दूंगा']
['duungaa', 'दूंगा']
['dunga', 'दूंगा']
['duunga', 'दूंगा']
['doongaa', 'दूंगा']
['dekhkar', 'देखकर']
['dekhakar', 'देखकर']
['daag', 'दाग़']
['dag', 'दाग़']
['diye', 'दिये']
['dauraan', 'दौराँ']
['dilawaalon', 'दिलवालो']
['dilwaalon', 'दिलवालो']
['dushman', 'दुश्मन']
['dusman', 'दुश्मन']
['dushaman', 'दुश्मन']
['daag', 'दाग']
['dost', 'दोस्त']
['dosti', 'दोस्ती']
['dostii', 'दोस्ती']
['deewar', 'दीवार']
['deewaar', 'दीवार']
['divaar', 'दीवार']
['diwaar', 'दीवार']
['deevaar', 'दीवार']
['diivaar', 'दीवार']
['deevar', 'दीवार']
['dewaar', 'दीवार']
['divar', 'दीवार']
['dik', 'दिक']
['dhun', 'धुन']
['dubaana', 'डुबाना']
['duunga', 'दूँगा']
['dunga', 'दूँगा']
['doonga', 'दूँगा']
['dungaa', 'दूँगा']
['duungaa', 'दूँगा']
['doongaa', 'दूँगा']
['dhin', 'धिन']
['din', 'धिन']
['dhinna', 'धिन्ना']
['duubi', 'डूबी']
['dubhi', 'डूबी']
['dubi', 'डूबी']
['dhubi', 'डूबी']
['duubii', 'डूबी']
['daata', 'दाता']
['daataa', 'दाता']
['data', 'दाता']
['daal', 'दाल']
['dehlaa', 'दहला']
['dehla', 'दहला']
['dahala', 'दहला']
['di', 'दी']
['de', 'दी']
['dii', 'दी']
['deewane', 'दीवाने']
['divaane', 'दीवाने']
['deevaane', 'दीवाने']
['diivaane', 'दीवाने']
['deewaane', 'दीवाने']
['dewane', 'दीवाने']
['dewaane', 'दीवाने']
['diwaane', 'दीवाने']
['diwane', 'दीवाने']
['divane', 'दीवाने']
['diwaaney', 'दीवाने']
['dhadkna', 'धड़कना']
['dhadakna', 'धड़कना']
['dhadkana', 'धड़कना']
['dikhlaaye', 'दिखलाय']
['dikhlaye', 'दिखलाय']
['dekhoo', 'देखूँ']
['dekhun', 'देखूँ']
['dekhuun', 'देखूँ']
['dekhon', 'देखूँ']
['dum', 'दुम']
['dhum', 'दुम']
['dholna', 'ढोलना']
['dholana', 'ढोलना']
['dolna', 'ढोलना']
['dolna', 'डोलना']
['dolana', 'डोलना']
['dholna', 'डोलना']
['doli', 'डोली']
['dolii', 'डोली']
['dholki', 'डोली']
['dekhenge', 'देखेंगे']
['dekhengey', 'देखेंगे']
['dekheinge', 'देखेंगे']
['daastaan', 'दास्तां']
['daasataa', 'दास्तां']
['dastaan', 'दास्तां']
['daastaa', 'दास्तां']
['dastan', 'दास्तां']
['daastan', 'दास्तां']
['deepak', 'दीपक']
['diipak', 'दीपक']
['dipak', 'दीपक']
['dipaka', 'दीपक']
['dagamagaayi', 'डगमगायी']
['darapan', 'दरपन']
['darpan', 'दरपन']
['dooba', 'डूबा']
['duba', 'डूबा']
['duubaa', 'डूबा']
['doobaa', 'डूबा']
['duuba', 'डूबा']
['dhuba', 'डूबा']
['dinon', 'दिनों']
['dino', 'दिनों']
['dinoh', 'दिनों']
['dooriyaan', 'दूरियाँ']
['duriyaan', 'दूरियाँ']
['dooriyann', 'दूरियाँ']
['dooriyan', 'दूरियाँ']
['duuriyaan', 'दूरियाँ']
['duriyan', 'दूरियाँ']
['dooriya', 'दूरियाँ']
['dikhalaata', 'दिखलाता']
['dikhalaataa', 'दिखलाता']
['dikhalata', 'दिखलाता']
['dekhi', 'देखी']
['dekhii', 'देखी']
['daya', 'दया']
['dayaa', 'दया']
['dhaar', 'धार']
['dhar', 'धार']
['daali', 'डाली']
['daalii', 'डाली']
['dali', 'डाली']
['daaali', 'डाली']
['dol', 'डोल']
['darpan', 'दर्पन']
['daal', 'डाल']
['dalu', 'डाल']
['dal', 'डाल']
['daala', 'डाल']
['daaleen', 'डालीं']
['dole', 'डोले']
['dhole', 'डोले']
['dolle', 'डोले']
['doobe', 'डूबे']
['duube', 'डूबे']
['dube', 'डूबे']
['dubey', 'डूबे']
['duhaai', 'दुहाई']
['duhai', 'दुहाई']
['duhaayi', 'दुहाई']
['duhaaii', 'दुहाई']
['duhaiyi', 'दुहाई']
['daada', 'दादा']
['dada', 'दादा']
['daalo', 'डालो']
['dalo', 'डालो']
['dare', 'डरे']
['darre', 'डरे']
['dukhiyaa', 'दुखिया']
['dukhiya', 'दुखिया']
['dhadakanen', 'धड़कनें']
['dukhaane', 'दुखाने']
['duniyaan', 'दुनियाँ']
['duniya', 'दुनियाँ']
['duniyaa', 'दुनियाँ']
['deedaa', 'दीदा']
['didaa', 'दीदा']
['dikhalaayenge', 'दिखलाएंगे']
['dikhlayenge', 'दिखलाएंगे']
['dilon', 'दिलों']
['dilo', 'दिलों']
['dilion', 'दिलों']
['dekar', 'देकर']
['dardmando', 'दर्दमन्दों']
['dhaam', 'धाम']
['dekhane', 'देखने']
['dekhne', 'देखने']
['dekhney', 'देखने']
['dikhaaye', 'दिखाये']
['dikhaye', 'दिखाये']
['dikaaye', 'दिखाये']
['daraaye', 'डराये']
['daaro', 'डारो']
['dilli', 'दिल्ली']
['dilavaalon', 'दिलवालों']
['dilwaalon', 'दिलवालों']
['dilawaalon', 'दिलवालों']
['dilwalon', 'दिलवालों']
['dilawaalo', 'दिलवालों']
['dekhana', 'देखना']
['dekhnaaa', 'देखना']
['dekhna', 'देखना']
['dekhne', 'देखना']
['dekhanaa', 'देखना']
['dehkna', 'देखना']
['dusra', 'दूसरा']
['doosra', 'दूसरा']
['dusaraa', 'दूसरा']
['dusara', 'दूसरा']
['duusara', 'दूसरा']
['doosara', 'दूसरा']
['duusaraa', 'दूसरा']
['doosaraa', 'दूसरा']
['deewaangi', 'दीवानगी']
['deewangi', 'दीवानगी']
['deevaanagi', 'दीवानगी']
['deewaanagee', 'दीवानगी']
['deevaangi', 'दीवानगी']
['divaanagi', 'दीवानगी']
['diwangi', 'दीवानगी']
['deewaanagi', 'दीवानगी']
['diwaangi', 'दीवानगी']
['deewangee', 'दीवानगी']
['diwaanagi', 'दीवानगी']
['diwaanagee', 'दीवानगी']
['diwanagi', 'दीवानगी']
['deewanagi', 'दीवानगी']
['diivaanagii', 'दीवानगी']
['dravid', 'द्रविड़']
['dikhaaoongaa', 'दिखाऊँगा']
['dikhaaoonga', 'दिखाऊँगा']
['daan', 'दान']
['dikhala', 'दिखला']
['dikhalaa', 'दिखला']
['dikhla', 'दिखला']
['dikhlaa', 'दिखला']
['diivaanon', 'दीवानों']
['diwaanon', 'दीवानों']
['deewano', 'दीवानों']
['deeevanoin', 'दीवानों']
['deevaanon', 'दीवानों']
['deewanon', 'दीवानों']
['divaano', 'दीवानों']
['divaanon', 'दीवानों']
['dewaano', 'दीवानों']
['deewaano', 'दीवानों']
['deewaanon', 'दीवानों']
['dewaanon', 'दीवानों']
['duun', 'दूं']
['dun', 'दूं']
['darti', 'डरती']
['darati', 'डरती']
['darrti', 'डरती']
['dikhaae', 'दिखाए']
['dikhaaye', 'दिखाए']
['dikhaye', 'दिखाए']
['dekhatii', 'देखती']
['dekhti', 'देखती']
['dekhati', 'देखती']
['dekti', 'देखती']
['diiwaanii', 'दीवानी']
['diivaani', 'दीवानी']
['deewaani', 'दीवानी']
['divaani', 'दीवानी']
['deevani', 'दीवानी']
['diwaani', 'दीवानी']
['deewani', 'दीवानी']
['diwani', 'दीवानी']
['deevaani', 'दीवानी']
['diivaanii', 'दीवानी']
['divaanii', 'दीवानी']
['diwaanee', 'दीवानी']
['deevaanii', 'दीवानी']
['deeewani', 'दीवानी']
['divanee', 'दीवानी']
['deewane', 'दीवानी']
['dosh', 'दोष']
['das', 'दस']
['dasa', 'दस']
['dus', 'दस']
['dikhaaya', 'दिखाया']
['dikhaya', 'दिखाया']
['dikhaayaa', 'दिखाया']
['dhikaya', 'दिखाया']
['dikhalaaoon', 'दिखलाऊँ']
['dikhlaau', 'दिखलाऊँ']
['dukhiyon', 'दुखियों']
['duuri', 'दूरी']
['doori', 'दूरी']
['duri', 'दूरी']
['duurii', 'दूरी']
['duuriyon', 'दूरियों']
['dooriyon', 'दूरियों']
['duriyon', 'दूरियों']
['doorion', 'दूरियों']
['dhaare', 'धारे']
['dikhalaake', 'दिखलाके']
['dikhlaake', 'दिखलाके']
['dega', 'देगा']
['degaa', 'देगा']
['dhoye', 'धोये']
['daastaan', 'दास्ताँ']
['dastan', 'दास्ताँ']
['dastaan', 'दास्ताँ']
['daasataan', 'दास्ताँ']
['daastan', 'दास्ताँ']
['dina', 'दिना']
['dilajaani', 'दिलजानी']
['diljani', 'दिलजानी']
['duuriyaan', 'दूरियां']
['dooriyaan', 'दूरियां']
['dooriyan', 'दूरियां']
['daley', 'डाले']
['daale', 'डाले']
['dale', 'डाले']
['daaley', 'डाले']
['divaaren', 'दीवारें']
['diwaare', 'दीवारें']
['deewaaren', 'दीवारें']
['dheewaare', 'दीवारें']
['deevaaren', 'दीवारें']
['deewaare', 'दीवारें']
['deewarein', 'दीवारें']
['divaarein', 'दीवारें']
['diivaarein', 'दीवारें']
['diwaarein', 'दीवारें']
['deevare', 'दीवारें']
['dhokaa', 'धोका']
['dhoka', 'धोका']
['dekhiye', 'देखिये']
['divaanaapan', 'दीवानापन']
['deewanapan', 'दीवानापन']
['diivaanaapan', 'दीवानापन']
['dewaanapan', 'दीवानापन']
['diwaanaapan', 'दीवानापन']
['deevaanaapan', 'दीवानापन']
['deewaanapan', 'दीवानापन']
['duub', 'डूब']
['dub', 'डूब']
['duba', 'डूब']
['dhub', 'डूब']
['duniya', 'दुनिय']
['doobati', 'डूबती']
['duubati', 'डूबती']
['duubatii', 'डूबती']
['doobti', 'डूबती']
['duubti', 'डूबती']
['dobaara', 'दोबारा']
['dobaaraa', 'दोबारा']
['dobara', 'दोबारा']
['diwaana', 'दिवाना']
['divaanaa', 'दिवाना']
['divaana', 'दिवाना']
['dvaar', 'द्वार']
['dwar', 'द्वार']
['dwaar', 'द्वार']
['dvar', 'द्वार']
['dikhaava', 'दिखावा']
['daava', 'दावा']
['daavaa', 'दावा']
['daawaa', 'दावा']
['daawa', 'दावा']
['deewaaron', 'दीवारों']
['deewaron', 'दीवारों']
['divaaron', 'दीवारों']
['deevaaron', 'दीवारों']
['diwaaron', 'दीवारों']
['darna', 'डरना']
['darana', 'डरना']
['darnaa', 'डरना']
['darrna', 'डरना']
['dobaara', 'दोबार']
['dillagi', 'दिल्लगी']
['dillagee', 'दिल्लगी']
['dillagii', 'दिल्लगी']
['divaali', 'दीवाली']
['diwaalee', 'दीवाली']
['deewaali', 'दीवाली']
['deewali', 'दीवाली']
['diwali', 'दीवाली']
['diivaalii', 'दीवाली']
['deevaali', 'दीवाली']
['diwaali', 'दीवाली']
['daane', 'दाने']
['daanv', 'दांव']
['daav', 'दांव']
['deve', 'देवे']
['da', 'दा']
['daa', 'दा']
['dhyaani', 'ध्यानी']
['divaani', 'दिवानी']
['diwaani', 'दिवानी']
['divaanii', 'दिवानी']
['diwani', 'दिवानी']
['dor', 'डोर']
['dhor', 'डोर']
['door', 'डोर']
['dauda', 'दौड़ा']
['dhaage', 'धागे']
['dhage', 'धागे']
['dikhalaaya', 'दिखलाया']
['dikhalaayaa', 'दिखलाया']
['dikhlaya', 'दिखलाया']
['dekhun', 'देखूं']
['dekhuun', 'देखूं']
['deedaar', 'दीदार']
['diidaar', 'दीदार']
['deedar', 'दीदार']
['didaar', 'दीदार']
['diidaara', 'दीदार']
['didar', 'दीदार']
['dilabarajaani', 'दिलबरजानी']
['daur', 'दौर']
['dekhakar', 'देख्कर']
['darawaaja', 'दरवाज़ा']
['daravaaza', 'दरवाज़ा']
['darwaaza', 'दरवाज़ा']
['darawaajaa', 'दरवाज़ा']
['darwaaja', 'दरवाज़ा']
['darwaza', 'दरवाज़ा']
['daastaan', 'दास्तान']
['dastaan', 'दास्तान']
['daastan', 'दास्तान']
['daasataan', 'दास्तान']
['dabaa', 'दबा']
['daba', 'दबा']
['daruun', 'डरूँ']
['darun', 'डरूँ']
['daani', 'दानी']
['dilwaala', 'दिलवाला']
['dilavaalaa', 'दिलवाला']
['dilwala', 'दिलवाला']
['dilavaala', 'दिलवाला']
['dilawaala', 'दिलवाला']
['dilawaalaa', 'दिलवाला']
['deen', 'दीन']
['diin', 'दीन']
['din', 'दीन']
['dukhi', 'दुखी']
['doge', 'दोगे']
['dhoghe', 'दोगे']
['doogey', 'दोगे']
['dohge', 'दोगे']
['doghe', 'दोगे']
['die', 'दिए']
['daa', 'डा']
['da', 'डा']
['dilavaali', 'दिलवाली']
['dilwaali', 'दिलवाली']
['dilwali', 'दिलवाली']
['desi', 'देसी']
['dukaan', 'दुकान']
['dukan', 'दुकान']
['duniyaadaari', 'दुनियादारी']
['daudo', 'दौड़ो']
['dishaaon', 'दिशाओं']
['dishaao', 'दिशाओं']
['dilaaye', 'दिलाये']
['dilaye', 'दिलाये']
['deshavaasiyon', 'देशवासियों']
['daam', 'दाम']
['dharmaraaj', 'धर्मराज']
['dabaakar', 'दबाकर']
['den', 'देन']
['dhara', 'धारा']
['dhaara', 'धारा']
['dhaaraa', 'धारा']
['dori', 'डोरी']
['dorii', 'डोरी']
['dewee', 'देवी']
['devi', 'देवी']
['devii', 'देवी']
['di', 'दि']
['duaaen', 'दुआएँ']
['duaaye', 'दुआएँ']
['duaen', 'दुआएँ']
['duaaein', 'दुआएँ']
['duaayen', 'दुआएँ']
['duayein', 'दुआएँ']
['duayen', 'दुआएँ']
['dushamni', 'दुश्मनी']
['dushmani', 'दुश्मनी']
['dikhti', 'दिखती']
['dikhati', 'दिखती']
['dono', 'दोनो']
['dekhe', 'देखें']
['dekhein', 'देखें']
['dekhen', 'देखें']
['dola', 'डोला']
['dolaa', 'डोला']
['dhola', 'डोला']
['dulha', 'दूल्हा']
['dulhaa', 'दूल्हा']
['doolha', 'दूल्हा']
['doolhaa', 'दूल्हा']
['duulhaa', 'दूल्हा']
['duulha', 'दूल्हा']
['dwaare', 'द्वारे']
['dvaare', 'द्वारे']
['dware', 'द्वारे']
['duarey', 'द्वारे']
['dubaaraa', 'दुबारा']
['dobaara', 'दुबारा']
['dubara', 'दुबारा']
['dubaara', 'दुबारा']
['dhaaye', 'ढाये']
['daaka', 'डाक']
['dak', 'डाक']
['daak', 'डाक']
['dagamag', 'डगमग']
['dagmag', 'डगमग']
['daadaraa', 'दादरा']
['dekhega', 'देखेगा']
['dekhegaa', 'देखेगा']
['dekega', 'देखेगा']
['damke', 'दमके']
['damake', 'दमके']
['daraj', 'दराज़']
['daraaz', 'दराज़']
['daude', 'दौड़े']
['duungi', 'दूँगी']
['dungi', 'दूँगी']
['duungii', 'दूँगी']
['doongi', 'दूँगी']
['doungi', 'दूँगी']
['divaano', 'दीवानो']
['deewaano', 'दीवानो']
['deewano', 'दीवानो']
['diivaano', 'दीवानो']
['dikhaana', 'दिखाना']
['dikhaanaa', 'दिखाना']
['dikhana', 'दिखाना']
['darri', 'डरी']
['dari', 'डरी']
['dulhaniya', 'दुल्हानिया']
['deviyo', 'देवीयों']
['dhire', 'धीरे']
['dardo', 'दर्दों']
['daalungi', 'डालूंगी']
['dar', 'दर']
['darr', 'दर']
['daravaaja', 'दरवाजा']
['dabe', 'दबे']
['dikhaao', 'दिखाओ']
['dikhao', 'दिखाओ']
['darava', 'दरवा']
['deen', 'दीं']
['diin', 'दीं']
['din', 'दीं']
['dhong', 'ढोंग']
['dal', 'दल']
['daaru', 'दारू']
['daso', 'दसो']
['dhulaataa', 'धुलाता']
['dushvaar', 'दुश्वार']
['dushwar', 'दुश्वार']
['dushwaar', 'दुश्वार']
['dusaar', 'दुश्वार']
['dagamagaate', 'डगमगाते']
['dahaka', 'दहका']
['dahakaa', 'दहका']
['dehka', 'दहका']
['dhyaan', 'ध्यान']
['dhyan', 'ध्यान']
['dabaaye', 'दबाए']
['dabaae', 'दबाए']
['dab', 'दब']
['daanton', 'दाँतों']
['daaton', 'दाँतों']
['dikhaane', 'दिखाने']
['dikhane', 'दिखाने']
['darmiyaan', 'दरमियां']
['daramiyaan', 'दरमियां']
['daras', 'दरस']
['dhina', 'धिना']
['dahez', 'दहेज़']
['daroga', 'दरोगा']
['darogaa', 'दरोगा']
['durfishaani', 'दुर्फ़िशानी']
['deke', 'देके']
['degi', 'देगी']
['dengi', 'देगी']
['degee', 'देगी']
['degii', 'देगी']
['duwaare', 'दुवारे']
['daar', 'डार']
['dilawaale', 'दिलवाले']
['dilwaale', 'दिलवाले']
['dilavaale', 'दिलवाले']
['dilwale', 'दिलवाले']
['dilawaalon', 'दिलवाले']
['dilvaale', 'दिलवाले']
['dabaaoon', 'दबाऊँ']
['dabaauun', 'दबाऊँ']
['daregaa', 'डरेगा']
['darega', 'डरेगा']
['dekhojii', 'देखोजी']
['dekhojee', 'देखोजी']
['dekhoji', 'देखोजी']
['dhalake', 'ढालके']
['daaminii', 'दामिनी']
['daamini', 'दामिनी']
['damini', 'दामिनी']
['daagon', 'दाग़ों']
['dinha', 'दिन्ह']
['dikhalaayake', 'दिखलायके']
['divas', 'दिवस']
['divasa', 'दिवस']
['diwas', 'दिवस']
['duboy', 'डुबोय']
['dhola', 'ढोला']
['dhera', 'ढेरा']
['deraa', 'ढेरा']
['dera', 'ढेरा']
['dhundha', 'ढूँढा']
['doston', 'दोस्तों']
['dosto', 'दोस्तों']
['dosato', 'दोस्तों']
['dosaton', 'दोस्तों']
['darwazoon', 'दरवाज़ों']
['darawazon', 'दरवाज़ों']
['darvazon', 'दरवाज़ों']
['darwaazon', 'दरवाज़ों']
['daldal', 'दलदल']
['dhundhli', 'धुंदली']
['dukaanon', 'दुकानों']
['dukaano', 'दुकानों']
['dushmanon', 'दुश्मनों']
['dushmano', 'दुश्मनों']
['dusmano', 'दुश्मनों']
['duaayen', 'दुवाएँ']
['duwaayen', 'दुवाएँ']
['dulahaniya', 'दुलहनीया']
['dilaataa', 'दिलाता']
['darata', 'डरता']
['darta', 'डरता']
['darrta', 'डरता']
['darataa', 'डरता']
['dartaa', 'डरता']
['diya', 'दीया']
['deeya', 'दीया']
['diyaa', 'दीया']
['duniya', 'दीया']
['dubo', 'डुबो']
['devataaon', 'देवताओं']
['devataao', 'देवताओं']
['durga', 'दुर्गा']
['durgaa', 'दुर्गा']
['dason', 'दसों']
['dev', 'देव']
['devo', 'देव']
['deva', 'देव']
['daakuon', 'डाकुओं']
['dikhayi', 'दिखाई']
['dikhai', 'दिखाई']
['dikhaayi', 'दिखाई']
['dikhaai', 'दिखाई']
['dikhaye', 'दिखाई']
['dikhaaii', 'दिखाई']
['dilayegi', 'दिलायेगी']
['dilaayegee', 'दिलायेगी']
['dhul', 'धुल']
['doshi', 'दोशी']
['dilavar', 'दिलवर']
['dera', 'डेरा']
['deraa', 'डेरा']
['dolen', 'डोलें']
['dolein', 'डोलें']
['doobe', 'दूबे']
['doonde', 'ढूँढे']
['dhunde', 'ढूँढे']
['dunde', 'ढूँढे']
['dikhaate', 'दिखाते']
['dikhate', 'दिखाते']
['dere', 'डेरे']
['dhere', 'डेरे']
['darasan', 'दरसन']
['diijo', 'दीजो']
['dijo', 'दीजो']
['deejo', 'दीजो']
['dir', 'दिर']
['dadir', 'दिर']
['doobate', 'डूबते']
['duubate', 'डूबते']
['dubate', 'डूबते']
['doobte', 'डूबते']
['dulhaniya', 'दुल्हनिया']
['dulhaniyaa', 'दुल्हनिया']
['dulhania', 'दुल्हनिया']
['dulhaniyan', 'दुल्हनिया']
['dhadakaao', 'धड़काओ']
['dikhaayi', 'दिखायी']
['dikhaayii', 'दिखायी']
['dekhat', 'देखत']
['dilaki', 'दिलकी']
['dilakii', 'दिलकी']
['dilase', 'दिलसे']
['dupatte', 'दुपट्टे']
['dilkashi', 'दिलकशी']
['dilakashi', 'दिलकशी']
['dilkashii', 'दिलकशी']
['dhaaga', 'धागा']
['dhaga', 'धागा']
['dhaagaa', 'धागा']
['dhagaa', 'धागा']
['duusare', 'दूसरे']
['dusre', 'दूसरे']
['dusare', 'दूसरे']
['doosre', 'दूसरे']
['doosare', 'दूसरे']
['dikhata', 'दिखता']
['dikhataa', 'दिखता']
['dikhta', 'दिखता']
['diwaane', 'दिवाने']
['divaane', 'दिवाने']
['daman', 'दमन']
['dhaanp', 'धाँप']
['dulaara', 'दुलारा']
['dimaago', 'दिमाग़ों']
['du', 'डू']
['daayara', 'दायरा']
['daiyra', 'दायरा']
['dayera', 'दायरा']
['deni', 'देनी']
['dekhake', 'देखके']
['dekhke', 'देखके']
['dupatta', 'दुपट्टा']
['dupattaa', 'दुपट्टा']
['darmiyaan', 'दरमियाँ']
['darmiya', 'दरमियाँ']
['daramiyaan', 'दरमियाँ']
['darmiyan', 'दरमियाँ']
['darr', 'दर्र']
['dishaoo', 'दिशाऊ']
['dohrayega', 'दोहराएगा']
['dagmagaati', 'डगमगाती']
['dagamagaati', 'डगमगाती']
['duwaan', 'दुवान']
['dukhon', 'दुखों']
['dukho', 'दुखों']
['darad', 'दारद']
['dhunwaan', 'धुनवान']
['diyon', 'दियों']
['dikhalaati', 'दिखलाती']
['dikhalaatii', 'दिखलाती']
['dikhalaatee', 'दिखलाती']
['dusaraali', 'दूसाराली']
['daayare', 'दायरे']
['daayre', 'दायरे']
['dikhe', 'दिखे']
['deewaare', 'दीवारे']
['dilme', 'दिल्मे']
['dabi', 'दबी']
['dabii', 'दबी']
['dabee', 'दबी']
['damase', 'दमसे']
['donoki', 'दोनोकी']
['dhuni', 'धुनि']
['duwa', 'दुवा']
['duva', 'दुवा']
['duaa', 'दुवा']
['duriya', 'दूरिया']
['dooriyan', 'दूरिया']
