['sulgeh', 'सुलगे']
['sojaa', 'सोजा']
['saanson', 'साँसों']
['sasoon', 'साँसों']
['saansoin', 'साँसों']
['sanson', 'साँसों']
['saason', 'साँसों']
['saanso', 'साँसों']
['saasoon', 'साँसों']
['sanso', 'साँसों']
['sansoon', 'साँसों']
['sason', 'साँसों']
['saja', 'सजा']
['sajaa', 'सजा']
['shola', 'शोला']
['sholaa', 'शोला']
['shoola', 'शोला']
['suno', 'सुनो']
['suuno', 'सुनो']
['sun', 'सुन']
['suun', 'सुन']
['suno', 'सुन']
['suna', 'सुन']
['sataane', 'सताने']
['satane', 'सताने']
['socha', 'सोचा']
['sochaa', 'सोचा']
['soocha', 'सोचा']
['samajhoge', 'समझोगे']
['samjhoge', 'समझोगे']
['sajan', 'सजन']
['sajani', 'सजन']
['saajan', 'सजन']
['sajna', 'सजन']
['sakoge', 'सकोगे']
['sulag', 'सुलग']
['saaheel', 'साहिल']
['saahil', 'साहिल']
['sahil', 'साहिल']
['saheel', 'साहिल']
['saza', 'सज़ा']
['sazaa', 'सज़ा']
['sangam', 'संगम']
['sitam', 'सितम']
['sitamb', 'सितम']
['situm', 'सितम']
['sahe', 'सहे']
['suhaani', 'सुहाने']
['suhaane', 'सुहाने']
['suhane', 'सुहाने']
['shukriya', 'शुक्रिया']
['shukriyaa', 'शुक्रिया']
['sargam', 'सरगम']
['saragam', 'सरगम']
['sargaam', 'सरगम']
['saragama', 'सरगम']
['sune', 'सूने']
['suune', 'सूने']
['soone', 'सूने']
['saaraa', 'सारा']
['saara', 'सारा']
['sara', 'सारा']
['saraaaa', 'सारा']
['sahara', 'सहारा']
['sahaaraa', 'सहारा']
['sahaara', 'सहारा']
['sehara', 'सहारा']
['suriilaa', 'सुरीला']
['sureela', 'सुरीला']
['surila', 'सुरीला']
['sharaabkhane', 'शराबख़ाने']
['saadagi', 'सादगी']
['saadgi', 'सादगी']
['saadagii', 'सादगी']
['sannaate', 'सन्नाटे']
['sannate', 'सन्नाटे']
['sataaya', 'सताया']
['sataya', 'सताया']
['sataayaa', 'सताया']
['saaqi', 'साक़ी']
['saaqii', 'साक़ी']
['saqi', 'साक़ी']
['saagar', 'साग़र']
['sagar', 'साग़र']
['sunake', 'सुनके']
['sunke', 'सुनके']
['sannaata', 'सन्नाटा']
['shaayad', 'शायद']
['shayad', 'शायद']
['sambhaale', 'सम्भाले']
['sambaale', 'सम्भाले']
['sambhale', 'सम्भाले']
['sunaauun', 'सुनाऊँ']
['sunaaoo', 'सुनाऊँ']
['sunaayuun', 'सुनाऊँ']
['sunaau', 'सुनाऊँ']
['sunaaun', 'सुनाऊँ']
['sunao', 'सुनाऊँ']
['sunaaoon', 'सुनाऊँ']
['sunaoon', 'सुनाऊँ']
['sunaao', 'सुनाऊँ']
['saharaa', 'सहरा']
['sahara', 'सहरा']
['sehra', 'सहरा']
['sahraa', 'सहरा']
['seharaa', 'सहरा']
['sehraa', 'सहरा']
['sahra', 'सहरा']
['samajhuun', 'समझूँ']
['samajhun', 'समझूँ']
['samajhoon', 'समझूँ']
['sansaar', 'संसार']
['sansar', 'संसार']
['sakta', 'सकता']
['sakata', 'सकता']
['sakataa', 'सकता']
['saqta', 'सकता']
['sabko', 'सबको']
['sabako', 'सबको']
['sabhko', 'सबको']
['sach', 'सच']
['such', 'सच']
['sacha', 'सच']
['saansen', 'साँसें']
['saansein', 'साँसें']
['saasen', 'साँसें']
['saanse', 'साँसें']
['saasein', 'साँसें']
['sansein', 'साँसें']
['saase', 'साँसें']
['sansen', 'साँसें']
['santosh', 'संतोष']
['sej', 'सेज']
['sez', 'सेज']
['shej', 'सेज']
['saji', 'सजी']
['sajii', 'सजी']
['sona', 'सोना']
['sonaa', 'सोना']
['sajata', 'सजता']
['sajta', 'सजता']
['sharmaana', 'शर्माना']
['sharmaanaa', 'शर्माना']
['saajan', 'साजन']
['sajan', 'साजन']
['sajna', 'साजन']
['sajaan', 'साजन']
['saajana', 'साजन']
['shaastari', 'शास्तरी']
['sundari', 'सुन्दरी']
['sundarii', 'सुन्दरी']
['savaal', 'सवाल']
['sawaal', 'सवाल']
['sawal', 'सवाल']
['sohini', 'सोहिनी']
['svarg', 'स्वर्ग']
['swarg', 'स्वर्ग']
['svarga', 'स्वर्ग']
['swarga', 'स्वर्ग']
['sardi', 'सर्दी']
['sardii', 'सर्दी']
['sabab', 'सबब']
['sukhon', 'सुखों']
['shrimati', 'श्रीमती']
['shaadi', 'शादी']
['saalagirah', 'सालगिरह']
['sawalon', 'सवालों']
['savaalon', 'सवालों']
['sawaalon', 'सवालों']
['savalon', 'सवालों']
['satati', 'सताती']
['sataati', 'सताती']
['sataatee', 'सताती']
['satavati', 'सताती']
['satavti', 'सताती']
['sikhaaya', 'सिखाया']
['sikhaya', 'सिखाया']
['sikhaayaa', 'सिखाया']
['sikaya', 'सिखाया']
['soorat', 'सूरत']
['surat', 'सूरत']
['suurat', 'सूरत']
['suurata', 'सूरत']
['surath', 'सूरत']
['sharmaaye', 'शरमाये']
['sharamaaye', 'शरमाये']
['sharmaye', 'शरमाये']
['sitaaron', 'सितारों']
['sitaron', 'सितारों']
['sitaaro', 'सितारों']
['sitaro', 'सितारों']
['shair', 'शायर']
['shaayar', 'शायर']
['shayar', 'शायर']
['sheron', 'शेरों']
['shero', 'शेरों']
['saaye', 'साये']
['saye', 'साये']
['saanyi', 'साये']
['suna', 'सुना']
['sunaa', 'सुना']
['shyam', 'श्याम']
['shyaam', 'श्याम']
['shaam', 'श्याम']
['soche', 'सोचे']
['samajhaane', 'समझाने']
['samjhane', 'समझाने']
['saanchi', 'साँची']
['saiyaan', 'सैयाँ']
['saiyyan', 'सैयाँ']
['saiyya', 'सैयाँ']
['saiyyaa', 'सैयाँ']
['sajaniya', 'सजनिया']
['sajaniyaa', 'सजनिया']
['sajanniya', 'सजनिया']
['sitaaraa', 'सितारा']
['sitaara', 'सितारा']
['sitara', 'सितारा']
['sakaa', 'सका']
['saka', 'सका']
['sainya', 'सैंया']
['sainyaa', 'सैंया']
['sanwariya', 'संवरिया']
['sanwariyaa', 'संवरिया']
['sawariya', 'संवरिया']
['sanvariya', 'संवरिया']
['sandes', 'संदेस']
['sukun', 'सुकूँ']
['sukuun', 'सुकूँ']
['sukoon', 'सुकूँ']
['soya', 'सोया']
['soyaa', 'सोया']
['son', 'सों']
['shon', 'सों']
['saanvariya', 'साँवरिया']
['saanvariyaa', 'साँवरिया']
['sanwariya', 'साँवरिया']
['saanwariya', 'साँवरिया']
['savariya', 'साँवरिया']
['saanwariyaan', 'साँवरिया']
['saawariya', 'साँवरिया']
['saavariyaa', 'साँवरिया']
['saawareeyaa', 'साँवरिया']
['saawareeyaan', 'साँवरिया']
['sakhiyaan', 'सखियाँ']
['saans', 'सांस']
['saas', 'सांस']
['sahal', 'सहल']
['sunana', 'सुनाना']
['sunaana', 'सुनाना']
['sunaanaa', 'सुनाना']
['siya', 'सिया']
['siyaa', 'सिया']
['sataaye', 'सताये']
['sataye', 'सताये']
['saaye', 'साए']
['saae', 'साए']
['saye', 'साए']
['saki', 'सकी']
['sakii', 'सकी']
['sataana', 'सताना']
['sataanaa', 'सताना']
['satana', 'सताना']
['sunaaye', 'सुनाये']
['sunaye', 'सुनाये']
['sake', 'सके']
['shikava', 'शिकवा']
['shikvaa', 'शिकवा']
['shikawa', 'शिकवा']
['shikavaa', 'शिकवा']
['shikawaa', 'शिकवा']
['shikwa', 'शिकवा']
['shikva', 'शिकवा']
['shikwaa', 'शिकवा']
['santaan', 'संतान']
['salaamat', 'सलामत']
['salamat', 'सलामत']
['salaamata', 'सलामत']
['sabke', 'सबके']
['sabake', 'सबके']
['sabhke', 'सबके']
['socho', 'सोचो']
['sochon', 'सोचो']
['saaz', 'साज़']
['saaza', 'साज़']
['saz', 'साज़']
['shahzaadon', 'शहज़ादों']
['saudaa', 'सादा']
['saadha', 'सादा']
['saada', 'सादा']
['saadaa', 'सादा']
['sada', 'सादा']
['sadha', 'सादा']
['saara', 'सार']
['sotaa', 'सोता']
['sota', 'सोता']
['soota', 'सोता']
['savere', 'सवेरे']
['sawere', 'सवेरे']
['saverey', 'सवेरे']
['surat', 'सुरत']
['sochataa', 'सोचता']
['sochta', 'सोचता']
['sochata', 'सोचता']
['sochtaa', 'सोचता']
['sochtha', 'सोचता']
['sahaare', 'सहारे']
['sehare', 'सहारे']
['sahare', 'सहारे']
['sahaaree', 'सहारे']
['sah', 'सह']
['seh', 'सह']
['sote', 'सोते']
['sahar', 'सहर']
['saher', 'सहर']
['sehar', 'सहर']
['seher', 'सहर']
['shabaab', 'शबाब']
['shaama', 'शामा']
['surama', 'सुरमा']
['suramaa', 'सुरमा']
['surma', 'सुरमा']
['subahaan', 'सुबहान']
['saradaar', 'सरदार']
['samajhaao', 'समझाओ']
['samjhao', 'समझाओ']
['samjaao', 'समझाओ']
['samajhaayo', 'समझाओ']
['samjhaao', 'समझाओ']
['sunaaya', 'सुनाया']
['sunaya', 'सुनाया']
['sunaayaa', 'सुनाया']
['sindh', 'सिंध']
['sakate', 'सकते']
['sakte', 'सकते']
['soe', 'सोए']
['sabaki', 'सबकी']
['sabakii', 'सबकी']
['sabki', 'सबकी']
['sabhki', 'सबकी']
['shera', 'शेरा']
['sheraa', 'शेरा']
['sune', 'सुने']
['suney', 'सुने']
['suune', 'सुने']
['samajhaayaa', 'समझाया']
['samjhayaaa', 'समझाया']
['samjhaaya', 'समझाया']
['samajhaaya', 'समझाया']
['samajhaya', 'समझाया']
['sakti', 'सकती']
['sakati', 'सकती']
['sakatii', 'सकती']
['sunaae', 'सुनाए']
['sunaaye', 'सुनाए']
['sunaye', 'सुनाए']
['samajho', 'समझो']
['samjho', 'समझो']
['samjha', 'समझो']
['saadho', 'साधो']
['shokhiyaan', 'शोखियां']
['shokhiyan', 'शोखियां']
['sharaare', 'शरारे']
['sharmaaya', 'शर्माया']
['sharmaayaa', 'शर्माया']
['sajaaya', 'सजाया']
['sajaayaa', 'सजाया']
['sajayaaa', 'सजाया']
['sajaya', 'सजाया']
['samaay', 'समाय']
['samaaya', 'समाय']
['samaaye', 'समाय']
['singaar', 'सिंगार']
['singar', 'सिंगार']
['singhaar', 'सिंगार']
['shingaar', 'सिंगार']
['sata', 'सता']
['sataa', 'सता']
['sohana', 'सोहना']
['sohna', 'सोहना']
['samajhaana', 'समझाना']
['samajaana', 'समझाना']
['samjhaana', 'समझाना']
['samjhana', 'समझाना']
['samajhaanaa', 'समझाना']
['samajhana', 'समझाना']
['samjaana', 'समझाना']
['saaje', 'साजे']
['san', 'सन']
['shaamil', 'शामिल']
['shamil', 'शामिल']
['sher', 'शेर']
['sochuun', 'सोचूँ']
['sochun', 'सोचूँ']
['sochoon', 'सोचूँ']
['sochoo', 'सोचूँ']
['sajne', 'सजने']
['sajane', 'सजने']
['shokhiyon', 'शोखियों']
['sangeet', 'संगीत']
['sangit', 'संगीत']
['sangiit', 'संगीत']
['sataaye', 'सताए']
['sataae', 'सताए']
['sataye', 'सताए']
['sohani', 'सोहणी']
['sohni', 'सोहणी']
['sukhan', 'सुखन']
['sakenge', 'सकेंगे']
['sakege', 'सकेंगे']
['sunuungi', 'सुनूँगी']
['sunoongee', 'सुनूँगी']
['saheli', 'सहेली']
['sahelii', 'सहेली']
['sahelee', 'सहेली']
['samay', 'समय']
['suroor', 'सुरूर']
['surur', 'सुरूर']
['suruur', 'सुरूर']
['sochie', 'सोचिए']
['safeena', 'सफ़ीना']
['safina', 'सफ़ीना']
['shaah', 'शाह']
['sukuun', 'सुकून']
['sukun', 'सुकून']
['sooni', 'सूनी']
['suuni', 'सूनी']
['suni', 'सूनी']
['subahen', 'सुबहें']
['subhein', 'सुबहें']
['subahein', 'सुबहें']
['suhaagan', 'सुहागन']
['suhagan', 'सुहागन']
['suhaagana', 'सुहागन']
['salauna', 'सलौना']
['salonaa', 'सलौना']
['sharmaae', 'शर्माए']
['sikhalaae', 'सिखलाए']
['sambhaal', 'सम्भाल']
['sambhali', 'सम्भाल']
['seencha', 'सींचा']
['siinchaa', 'सींचा']
['sincha', 'सींचा']
['sinchaa', 'सींचा']
['sochenge', 'सोचेंगे']
['sunaata', 'सुनाता']
['sunata', 'सुनाता']
['sikhi', 'सीखी']
['sanvalaaye', 'संवलाये']
['saani', 'सानी']
['satyam', 'सत्यम']
['sundaram', 'सुंदरम']
['samane', 'समने']
['shin', 'शिन']
['shinaaki', 'शिनाकी']
['sulaayuun', 'सुलाऊं']
['sulaauun', 'सुलाऊं']
['sahuun', 'सहूं']
['sahoon', 'सहूं']
['samajhte', 'समझते']
['samjhte', 'समझते']
['samajhate', 'समझते']
['samajtey', 'समझते']
['sataaunga', 'सताऊंगा']
['saje', 'सजे']
['solah', 'सोलह']
['sundarata', 'सुन्दरता']
['sundarataa', 'सुन्दरता']
['sundarta', 'सुन्दरता']
['seedha', 'सीधा']
['siidhaa', 'सीधा']
['sidha', 'सीधा']
['sidhaa', 'सीधा']
['sajega', 'सजेगा']
['sikh', 'सीख']
['siikh', 'सीख']
['seek', 'सीख']
['sambhaalungaa', 'सम्भालूँगा']
['sambhaloonga', 'सम्भालूँगा']
['sambhaaluunga', 'सम्भालूँगा']
['saveraa', 'सवेरा']
['savera', 'सवेरा']
['sawera', 'सवेरा']
['saweraa', 'सवेरा']
['saamaan', 'सामान']
['saman', 'सामान']
['samaan', 'समाँ']
['samaa', 'समाँ']
['suu', 'सू']
['su', 'सू']
['sau', 'सू']
['soo', 'सू']
['sou', 'सू']
['sanvaara', 'सँवारा']
['sanwaara', 'सँवारा']
['sanwaaraa', 'सँवारा']
['sanvaaraa', 'सँवारा']
['samaa', 'समां']
['samaan', 'समां']
['sambhalke', 'सम्भलके']
['sochke', 'सोचके']
['sochake', 'सोचके']
['saanvaranaa', 'साँवरना']
['sunega', 'सुनेगा']
['sunegaa', 'सुनेगा']
['siich', 'सीस']
['sees', 'सीस']
['sis', 'सीस']
['sohe', 'सोहे']
['saanvare', 'साँवरे']
['saanwre', 'साँवरे']
['saanware', 'साँवरे']
['sanvre', 'साँवरे']
['saradi', 'सरदी']
['sardi', 'सरदी']
['sasti', 'सस्ती']
['sil', 'सिल']
['supaari', 'सुपारी']
['sambhaalega', 'सम्भालेगा']
['sakhiyaan', 'सखियां']
['sangraam', 'संग्राम']
['sambhaalo', 'सम्भालो']
['sambhalo', 'सम्भालो']
['seva', 'सेवा']
['sevaa', 'सेवा']
['sulajhaane', 'सुलझाने']
['sulazaane', 'सुलझाने']
['suljhane', 'सुलझाने']
['sattaavan', 'सत्तावन']
['samajhakar', 'समझकर']
['samajhkar', 'समझकर']
['sipaahi', 'सिपाही']
['sipaahii', 'सिपाही']
['sipahi', 'सिपाही']
['seepahi', 'सिपाही']
['sipaahiyon', 'सिपाहियों']
['siti', 'सीटी']
['simate', 'सिमटे']
['samaan', 'समान']
['sita', 'सीता']
['seetaa', 'सीता']
['siitaa', 'सीता']
['seeta', 'सीता']
['saty', 'सत्य']
['satya', 'सत्य']
['santaan', 'सन्तान']
['sochatee', 'सोचती']
['sochati', 'सोचती']
['sochti', 'सोचती']
['sahoo', 'सहूँ']
['sahoon', 'सहूँ']
['sahun', 'सहूँ']
['sahuun', 'सहूँ']
['sadma', 'सदमा']
['sunahara', 'सुनहरा']
['sunehara', 'सुनहरा']
['sunaharaa', 'सुनहरा']
['sunehra', 'सुनहरा']
['sunhera', 'सुनहरा']
['suneharaa', 'सुनहरा']
['saat', 'सात']
['saath', 'सात']
['sachcha', 'सच्चा']
['sacchha', 'सच्चा']
['sachchaa', 'सच्चा']
['saccha', 'सच्चा']
['sundar', 'सुंदर']
['sunder', 'सुंदर']
['sila', 'सिला']
['silaa', 'सिला']
['sehrey', 'सहरे']
['sehre', 'सहरे']
['sharmaate', 'शर्माते']
['sharamaate', 'शर्माते']
['sadake', 'सदके']
['sadke', 'सदके']
['sautaniya', 'सौतनिया']
['sautaniyaa', 'सौतनिया']
['saanjh', 'साँझ']
['sanj', 'साँझ']
['sanjh', 'साँझ']
['saanj', 'साँझ']
['sunahare', 'सुनहरे']
['sunhare', 'सुनहरे']
['sunehre', 'सुनहरे']
['sunhere', 'सुनहरे']
['suhaani', 'सुहानी']
['suhaanii', 'सुहानी']
['suhaanee', 'सुहानी']
['suhani', 'सुहानी']
['sunakar', 'सुनकर']
['sunkar', 'सुनकर']
['sanvaar', 'सँवार']
['sanwar', 'सँवार']
['sanwaar', 'सँवार']
['sulajhe', 'सुलझे']
['sunate', 'सुनते']
['sunte', 'सुनते']
['sulajhaaon', 'सुलझाऊँ']
['sulajhaaun', 'सुलझाऊँ']
['suljhavoon', 'सुलझाऊँ']
['suraj', 'सुरज']
['sune', 'सुनें']
['sunen', 'सुनें']
['sunein', 'सुनें']
['satta', 'सत्त']
['sabka', 'सबका']
['sabakaa', 'सबका']
['sabaka', 'सबका']
['sotii', 'सोती']
['soti', 'सोती']
['sotee', 'सोती']
['saaj', 'साज']
['saaz', 'साज']
['saanch', 'साँच']
['saach', 'साँच']
['sansaar', 'सँसार']
['seenon', 'सीनों']
['siinon', 'सीनों']
['seenoo', 'सीनों']
['seeno', 'सीनों']
['sinon', 'सीनों']
['shaane', 'शाने']
['sulagati', 'सुलगती']
['sulagti', 'सुलगती']
['sulagatee', 'सुलगती']
['sunane', 'सुनने']
['sunney', 'सुनने']
['sunne', 'सुनने']
['sair', 'सैर']
['sapate', 'सपाटे']
['sapaate', 'सपाटे']
['sikhaana', 'सिखाना']
['sikhaanaa', 'सिखाना']
['sikhana', 'सिखाना']
['shole', 'शोले']
['samjhi', 'समझी']
['samajhi', 'समझी']
['samajhii', 'समझी']
['silasila', 'सिलसिला']
['silsilaa', 'सिलसिला']
['silasilaa', 'सिलसिला']
['silsila', 'सिलसिला']
['sambhalane', 'सम्भलने']
['suniye', 'सुनिये']
['saiyaad', 'सैयाद']
['saaiyad', 'सैयाद']
['sholo', 'शोलो']
['sanvaaro', 'सँवारो']
['sajanava', 'सजनवा']
['sajanawaa', 'सजनवा']
['sajanawaan', 'सजनवा']
['sajanavaa', 'सजनवा']
['sajanawa', 'सजनवा']
['sajanvaa', 'सजनवा']
['sajanwa', 'सजनवा']
['samundar', 'समन्दर']
['samandar', 'समन्दर']
['sailab', 'सैलाब']
['sailaab', 'सैलाब']
['sard', 'सर्द']
['satayen', 'सताएँ']
['sataaen', 'सताएँ']
['sataayen', 'सताएँ']
['sataayein', 'सताएँ']
['sunta', 'सुनता']
['sunata', 'सुनता']
['sunataa', 'सुनता']
['samajhata', 'समझता']
['samajhataa', 'समझता']
['samjaata', 'समझता']
['soche', 'सोचें']
['sochen', 'सोचें']
['sochein', 'सोचें']
['sakega', 'सकेगा']
['sakegaa', 'सकेगा']
['sawaar', 'सवार']
['sawar', 'सवार']
['savaar', 'सवार']
['sanwaar', 'सवार']
['savar', 'सवार']
['sehana', 'सहना']
['sahanaa', 'सहना']
['sahana', 'सहना']
['sahenaa', 'सहना']
['sehna', 'सहना']
['sehnaa', 'सहना']
['sahnaa', 'सहना']
['sanvaar', 'संवार']
['sanwar', 'संवार']
['satyaagrah', 'सत्याग्रह']
['samudr', 'समुद्र']
['sochate', 'सोचते']
['sochte', 'सोचते']
['svaami', 'स्वामी']
['swaami', 'स्वामी']
['swami', 'स्वामी']
['samajhaayuun', 'समझाऊँ']
['samajhaaoon', 'समझाऊँ']
['samajhaaun', 'समझाऊँ']
['samajaaun', 'समझाऊँ']
['samjhaaoon', 'समझाऊँ']
['samjhaaun', 'समझाऊँ']
['samjhaoon', 'समझाऊँ']
['samajhaun', 'समझाऊँ']
['samjaoon', 'समझाऊँ']
['samjaon', 'समझाऊँ']
['shariq', 'शरीक़']
['sirf', 'सिर्फ़']
['sahane', 'सहने']
['sehne', 'सहने']
['sanvaare', 'सँवारे']
['sanware', 'सँवारे']
['sanwaare', 'सँवारे']
['soun', 'सोऊँ']
['sooun', 'सोऊँ']
['souun', 'सोऊँ']
['suron', 'सुरों']
['saaton', 'सातों']
['saato', 'सातों']
['saadhu', 'साधू']
['suratiya', 'सुरतिया']
['suratiyaa', 'सुरतिया']
['sayaana', 'सयाना']
