['pighale', 'पिघले']
['priitam', 'प्रीतम']
['prem', 'प्रीतम']
['pareetam', 'प्रीतम']
['paaoge', 'पाओगे']
['paoge', 'पाओगे']
['paayoge', 'पाओगे']
['paale', 'पाले']
['praani', 'प्रानी']
['paauun', 'पाऊँ']
['paaun', 'पाऊँ']
['paayuun', 'पाऊँ']
['paaoon', 'पाऊँ']
['paun', 'पाऊँ']
['paayun', 'पाऊँ']
['paoon', 'पाऊँ']
['pao', 'पाऊँ']
['paaon', 'पाऊँ']
['paaoo', 'पाऊँ']
['piya', 'पीया']
['peeya', 'पीया']
['piyaa', 'पीया']
['piiyaa', 'पीया']
['papiha', 'पपीहा']
['papihaa', 'पपीहा']
['papeeha', 'पपीहा']
['papiihaa', 'पपीहा']
['papiiha', 'पपीहा']
['papeehaa', 'पपीहा']
['praanon', 'प्रानों']
['paraae', 'पराए']
['paraaye', 'पराए']
['pipal', 'पीपल']
['peepal', 'पीपल']
['piipal', 'पीपल']
['parabat', 'परबत']
['parbat', 'परबत']
['paate', 'पाटे']
['pukaar', 'पुकार']
['pukar', 'पुकार']
['pukaara', 'पुकार']
['pavaniya', 'पवनिया']
['pawaniya', 'पवनिया']
['pine', 'पीने']
['piine', 'पीने']
['peene', 'पीने']
['pare', 'परे']
['pad', 'पड़']
['purani', 'पुरानी']
['puraani', 'पुरानी']
['puraanee', 'पुरानी']
['puraanii', 'पुरानी']
['poorani', 'पुरानी']
['puraane', 'पुराने']
['purane', 'पुराने']
['padenge', 'पड़ेंगे']
['padhenge', 'पड़ेंगे']
['pehachaan', 'पहचान']
['pehchaan', 'पहचान']
['pahachaan', 'पहचान']
['pahechaan', 'पहचान']
['pehchan', 'पहचान']
['pehchhaan', 'पहचान']
['pahchaan', 'पहचान']
['pehchhan', 'पहचान']
['pehechaan', 'पहचान']
['pahachaana', 'पहचान']
['pehechan', 'पहचान']
['ponch', 'पोंछ']
['ponchh', 'पोंछ']
['prabhu', 'प्रभू']
['prabhuu', 'प्रभू']
['param', 'परम']
['prarthna', 'प्रार्थना']
['praarthana', 'प्रार्थना']
['praarthanaa', 'प्रार्थना']
['pehchaane', 'पहचाने']
['pahachaane', 'पहचाने']
['pehachaane', 'पहचाने']
['pahchane', 'पहचाने']
['pehchane', 'पहचाने']
['pahechaane', 'पहचाने']
['pahchaanane', 'पहचानने']
['pahachaanane', 'पहचानने']
['pahuncha', 'पहुँचा']
['pahunchaa', 'पहुँचा']
['pattaa', 'पत्ता']
['patta', 'पत्ता']
['palken', 'पलकें']
['palake', 'पलकें']
['palke', 'पलकें']
['palakein', 'पलकें']
['palaken', 'पलकें']
['palkein', 'पलकें']
['palkain', 'पलकें']
['palakee', 'पलकें']
['palkhein', 'पलकें']
['pakad', 'पकड़']
['paati', 'पाती']
['paatee', 'पाती']
['paimaanaa', 'पैमाना']
['paimaana', 'पैमाना']
['paymaana', 'पैमाना']
['phul', 'फूल']
['pichakaari', 'पिचकारी']
['pichkaari', 'पिचकारी']
['pichakaarii', 'पिचकारी']
['pila', 'पीला']
['peela', 'पीला']
['pilaa', 'पीला']
['pichakari', 'पिचकरी']
['painyyaa', 'पैंय्या']
['peekar', 'पीकर']
['piikar', 'पीकर']
['pikar', 'पीकर']
['padati', 'पड़ती']
['padatii', 'पड़ती']
['parti', 'पड़ती']
['padti', 'पड़ती']
['pardesi', 'परदेसी']
['paradesi', 'परदेसी']
['paradesee', 'परदेसी']
['paradesii', 'परदेसी']
['paana', 'पाना']
['paanaa', 'पाना']
['pana', 'पाना']
['paayega', 'पाएगा']
['paaegaa', 'पाएगा']
['payega', 'पाएगा']
['punjaab', 'पंजाब']
['panjaab', 'पंजाब']
['phuutegi', 'फूटेगी']
['pind', 'पिंड']
['puujaa', 'पूजा']
['pooja', 'पूजा']
['poojaa', 'पूजा']
['puja', 'पूजा']
['puuja', 'पूजा']
['pujaa', 'पूजा']
['phisal', 'फिसल']
['pisel', 'फिसल']
['paapi', 'पापी']
['paapii', 'पापी']
['paapee', 'पापी']
['pahachaanoon', 'पहचानूँ']
['pahachaanuun', 'पहचानूँ']
['pehchaanu', 'पहचानूँ']
['pari', 'परी']
['paree', 'परी']
['parii', 'परी']
['pulis', 'पुलिस']
['paanchava', 'पाँचवा']
['phiruun', 'फिरूँ']
['phirun', 'फिरूँ']
['pairon', 'फिरूँ']
['paigaam', 'पैग़ाम']
['paighaam', 'पैग़ाम']
['pagali', 'पगली']
['pagalii', 'पगली']
['pagalee', 'पगली']
['pagli', 'पगली']
['paheli', 'पहेली']
['pahelii', 'पहेली']
['peheli', 'पहेली']
['pheli', 'पहेली']
['pag', 'पग']
['pagh', 'पग']
['paga', 'पग']
['pa', 'प']
['pi', 'प']
['pe', 'प']
['p', 'प']
['paravaah', 'परवाह']
['parwah', 'परवाह']
['parwaah', 'परवाह']
['parvaah', 'परवाह']
['pasand', 'पसन्द']
['paane', 'पाने']
['pechon', 'पेचों']
['panaahon', 'पनाहो']
['panaaho', 'पनाहो']
['panahon', 'पनाहो']
['pali', 'पली']
['palee', 'पली']
['pancham', 'पंचम']
['pinjare', 'पिंजरे']
['pinjre', 'पिंजरे']
['paalataa', 'पालता']
['pap', 'पप']
['paase', 'पासे']
['palat', 'पलट']
['pench', 'पेंच']
['pandit', 'पंडित']
['pyaali', 'प्याली']
['pyaalii', 'प्याली']
['pahchaana', 'पह्चाना']
['phirate', 'फिरते']
['phirte', 'फिरते']
['pashemaan', 'पशेमान']
['paaon', 'पाओं']
['paao', 'पाओं']
['padosan', 'पड़ोसन']
['pagalaa', 'पगला']
['pagla', 'पगला']
['pagala', 'पगला']
['pattharon', 'पत्थरों']
['pahanungi', 'पहनूँगी']
['parvaana', 'पर्वाना']
['parvana', 'पर्वाना']
['paravaa', 'परवा']
['parwa', 'परवा']
['parawa', 'परवा']
['paadaraa', 'पादरा']
['paaunga', 'पाऊंगा']
['paungaa', 'पाऊंगा']
['paayuunga', 'पाऊंगा']
['pahara', 'पहरा']
['paharaa', 'पहरा']
['pahraa', 'पहरा']
['pehra', 'पहरा']
['pahera', 'पहरा']
['paheraa', 'पहरा']
['pehara', 'पहरा']
['pasli', 'पसली']
['pet', 'पेट']
['poore', 'पूरे']
['puure', 'पूरे']
['pure', 'पूरे']
['phira', 'फिरा']
['phiraa', 'फिरा']
['pikchar', 'पिक्चर']
['pasand', 'पसंद']
['poochha', 'पूछा']
['puchha', 'पूछा']
['poocha', 'पूछा']
['puuchha', 'पूछा']
['puccha', 'पूछा']
['poochhaa', 'पूछा']
['pooccha', 'पूछा']
['pocha', 'पूछा']
['puchhaa', 'पूछा']
['pucha', 'पूछा']
['puuchhaa', 'पूछा']
['pochaa', 'पूछा']
['poochaa', 'पूछा']
['paapan', 'पापन']
['peer', 'पीर']
['piir', 'पीर']
['pir', 'पीर']
['peerh', 'पीर']
['paravaanon', 'परवानों']
['parwaano', 'परवानों']
['parvaanon', 'परवानों']
['paravaano', 'परवानों']
['pahuncheinge', 'पहुँचेंगे']
['prabhu', 'प्रभु']
['prabhuu', 'प्रभु']
['paalanahaar', 'पालनहार']
['pehna', 'पहना']
['pahana', 'पहना']
['pahanaa', 'पहना']
['pahena', 'पहना']
['pehana', 'पहना']
['pyaala', 'प्याला']
['payala', 'प्याला']
['payaalaa', 'प्याला']
['pyaalaa', 'प्याला']
['pyala', 'प्याला']
['pasaare', 'पसारे']
['pasarey', 'पसारे']
['phirata', 'फिरता']
['phirataa', 'फिरता']
['phirta', 'फिरता']
['phirti', 'फिरती']
['phiratii', 'फिरती']
['phirati', 'फिरती']
['phirthi', 'फिरती']
['padii', 'पड़ी']
['padi', 'पड़ी']
['padhi', 'पड़ी']
['paakar', 'पाकर']
['paakara', 'पाकर']
['pul', 'पुल']
['piyoge', 'पियोगे']
['pahunchaaegaa', 'पहुँचाएगा']
['pahunchayega', 'पहुँचाएगा']
['panjaabi', 'पंजाबी']
['punjabi', 'पंजाबी']
['paise', 'पैसे']
['paao', 'पाओ']
['potti', 'पोट्टी']
['pataana', 'पटाना']
['paan', 'पान']
['paana', 'पान']
['phenko', 'फेंको']
['premiyon', 'प्रेमियों']
['premiyo', 'प्रेमियों']
['poorab', 'पूरब']
['purab', 'पूरब']
['puurab', 'पूरब']
['pashchim', 'पश्चिम']
['paschim', 'पश्चिम']
['pichha', 'पीछा']
['peecha', 'पीछा']
['peechha', 'पीछा']
['pichhaa', 'पीछा']
['piichhaa', 'पीछा']
['peechhaa', 'पीछा']
['priti', 'प्रीति']
['paanvon', 'पांवों']
['paida', 'पैदा']
['paidaa', 'पैदा']
['pakado', 'पकड़ो']
['pakdo', 'पकड़ो']
['pakadoo', 'पकड़ो']
['pakada', 'पकड़ा']
['pakadaa', 'पकड़ा']
['pakda', 'पकड़ा']
['ped', 'पेड़']
['paalan', 'पालन']
['pati', 'पति']
['patni', 'पत्नी']
['prahaar', 'प्रहार']
['purakhon', 'पुरखों']
['pita', 'पिता']
['pitaah', 'पिता']
['pitaa', 'पिता']
['parameshvar', 'परमेश्वर']
['paataa', 'पाता']
['paata', 'पाता']
['pusatak', 'पुसतक']
['padate', 'पड़ते']
['padte', 'पड़ते']
['padegi', 'पड़ेगी']
['phero', 'फेरो']
['pareshaan', 'परेशां']
['pareshan', 'परेशां']
['puchho', 'पूचो']
['puucho', 'पूचो']
['poochho', 'पूचो']
['pareshaan', 'परेशान']
['pareshan', 'परेशान']
['paaye', 'पायें']
['paayen', 'पायें']
['paayein', 'पायें']
['paaravaanon', 'पारवानों']
['pukaaruun', 'पुकारूँ']
['pukaroon', 'पुकारूँ']
['pukarun', 'पुकारूँ']
['pukaarun', 'पुकारूँ']
['phute', 'फूटे']
['patta', 'पत्त']
['pech', 'पेच']
['paanch', 'पांच']
['paanch', 'पाँच']
['panch', 'पाँच']
['paraaya', 'पराया']
['paraya', 'पराया']
['paraayaa', 'पराया']
['pahunch', 'पहुँच']
['phenka', 'फेंका']
['phenkaa', 'फेंका']
['premi', 'प्रेमी']
['premii', 'प्रेमी']
['praemee', 'प्रेमी']
['paayaliya', 'पायलिया']
['payaliyaa', 'पायलिया']
['paayaliyaa', 'पायलिया']
['payaliya', 'पायलिया']
['pehno', 'पहनो']
['pahano', 'पहनो']
['puradard', 'पुरदर्द']
['pehale', 'पेहले']
['pehali', 'पेहली']
['poochta', 'पूछता']
['puuchhataa', 'पूछता']
['poochhata', 'पूछता']
['puuchhata', 'पूछता']
['puchhata', 'पूछता']
['paimaanon', 'पैमानों']
['pukaaro', 'पुकारो']
['pukaro', 'पुकारो']
['pahachaanati', 'पहचानती']
['pehchaanti', 'पहचानती']
['poochhe', 'पूछे']
['puchhe', 'पूछे']
['puuchhe', 'पूछे']
['pooche', 'पूछे']
['puchche', 'पूछे']
['puche', 'पूछे']
['pariyon', 'परियों']
['pariyo', 'परियों']
['paayenge', 'पायेंगे']
['payenge', 'पायेंगे']
['praant', 'प्रांत']
['pagadi', 'पगड़ी']
['pagdi', 'पगड़ी']
['paseene', 'पसीने']
['pasine', 'पसीने']
['palate', 'पलते']
['palte', 'पलते']
['poori', 'पूरी']
['purii', 'पूरी']
['puri', 'पूरी']
['puuri', 'पूरी']
['pooree', 'पूरी']
['puree', 'पूरी']
['parindon', 'परिन्दों']
['prakash', 'प्रकश']
['pahaad', 'पहाड़']
['piye', 'पिये']
['pahachaana', 'पहचाना']
['pahchaanaa', 'पहचाना']
['pahachaanaa', 'पहचाना']
['pehechana', 'पहचाना']
['pehchaana', 'पहचाना']
['pehchana', 'पहचाना']
['pechchana', 'पहचाना']
['paayenge', 'पाएंगे']
['paaenge', 'पाएंगे']
['payengey', 'पाएंगे']
['payenge', 'पाएंगे']
['pareshaan', 'परेशाँ']
['pareshan', 'परेशाँ']
['pahunche', 'पहुंचे']
['peng', 'पेंग']
['praanon', 'प्राणों']
['praan', 'प्राण']
['paran', 'प्राण']
['pukaarata', 'पुकारता']
['pukaarataa', 'पुकारता']
['pukarta', 'पुकारता']
['pujaaran', 'पुजारन']
['parason', 'परसों']
['parso', 'परसों']
['parson', 'परसों']
['paave', 'पावे']
['paavey', 'पावे']
['pakade', 'पकड़े']
['pakde', 'पकड़े']
['pate', 'पते']
['patey', 'पते']
['palade', 'पलड़े']
['palde', 'पलड़े']
['pandrah', 'पन्द्रह']
['paradesawa', 'परदेसवा']
['paradesava', 'परदेसवा']
['phenk', 'फेंक']
['palatake', 'पलटके']
['pardaa', 'पर्दा']
['parda', 'पर्दा']
['paradaa', 'पर्दा']
['phulawa', 'फुलवा']
['phulwa', 'फुलवा']
['phulava', 'फुलवा']
['phulavaa', 'फुलवा']
['phulawaari', 'फुलवारी']
['phulwaari', 'फुलवारी']
['phulavaari', 'फुलवारी']
['pulvari', 'फुलवारी']
['phulwari', 'फुलवारी']
['parawaate', 'परवाते']
['paal', 'पाल']
['paduun', 'पड़ूं']
['padun', 'पड़ूं']
['paanv', 'पांव']
['paav', 'पांव']
['paanw', 'पांव']
['phiruun', 'फिरूं']
['phirun', 'फिरूं']
['peeli', 'पीली']
['pili', 'पीली']
['peele', 'पीले']
['piile', 'पीले']
['pehle', 'पीले']
['pile', 'पीले']
['peehu', 'पीहू']
['peehoo', 'पीहू']
['piihu', 'पीहू']
['pihu', 'पीहू']
['pooji', 'पूजी']
['para', 'परा']
['paraa', 'परा']
['postar', 'पोस्टर']
['pahane', 'पहने']
['pahene', 'पहने']
['pehne', 'पहने']
['pehane', 'पहने']
['pahne', 'पहने']
['patalun', 'पतलून']
['pariyal', 'परियल']
['pakadana', 'पकड़ना']
['pakadanaa', 'पकड़ना']
['pakadna', 'पकड़ना']
['pukaarti', 'पुकारती']
['pukaarati', 'पुकारती']
['pukaaratii', 'पुकारती']
['puravayya', 'पुरवय्या']
['paahan', 'पाहन']
['parvaane', 'पर्वाने']
['phitkari', 'फिट्करी']
['pahunch', 'पहुंच']
['piidaa', 'पीड़ा']
['pidaa', 'पीड़ा']
['peeda', 'पीड़ा']
['pida', 'पीड़ा']
['paavanataa', 'पावनता']
['premapaheli', 'प्रेमपहेली']
['pam', 'पम']
['pum', 'पम']
['pahunchegi', 'पहुँचेगी']
['parasthish', 'परस्तिश']
['parastish', 'परस्तिश']
['pighalti', 'पिघलती']
['pighalati', 'पिघलती']
['pairon', 'पैरों']
['peiron', 'पैरों']
['pairo', 'पैरों']
['pardesiya', 'परदेसिया']
['paradesiya', 'परदेसिया']
['paradesiyaa', 'परदेसिया']
['pardesiyaa', 'परदेसिया']
['paai', 'पायी']
['paayi', 'पायी']
['paayee', 'पायी']
['payi', 'पायी']
['paayii', 'पायी']
['pie', 'पिए']
['piye', 'पिए']
['prabhaat', 'प्रभात']
['prakash', 'प्रकाश']
['prakaash', 'प्रकाश']
['pankhadiyaan', 'पंखड़ियाँ']
['preeyatama', 'प्रीयतमा']
['priyatamaa', 'प्रीयतमा']
['parchhaaiyaan', 'परछाईयाँ']
['parchaaiyaan', 'परछाईयाँ']
['pahonchega', 'पहुंचेगा']
['purushottam', 'पुरुषोत्तम']
['pyaaron', 'प्यारों']
['pyaaro', 'प्यारों']
['paharodaaron', 'पहरोदारों']
['pahan', 'पहन']
['pehen', 'पहन']
['pehan', 'पहन']
['pehn', 'पहन']
['pichhale', 'पिछले']
['pichlee', 'पिछले']
['panje', 'पंजे']
['peethti', 'पीटती']
['pachhataaye', 'पछताये']
['pachtaaye', 'पछताये']
['pachhtaye', 'पछताये']
['pechtaye', 'पछताये']
['pachhtaaye', 'पछताये']
['padosi', 'पड़ोसी']
['padosee', 'पड़ोसी']
['padosii', 'पड़ोसी']
['pitaaji', 'पिताजी']
['padegii', 'पड़ेंगी']
['padengii', 'पड़ेंगी']
['padengee', 'पड़ेंगी']
['paraai', 'पराई']
['paraayi', 'पराई']
['parai', 'पराई']
['parayi', 'पराई']
['paraaii', 'पराई']
['paarai', 'पराई']
['pahachaanegi', 'पहचानेगी']
['pair', 'पैर']
['patange', 'पतंगे']
['paharon', 'पहरों']
['pehron', 'पहरों']
['pirona', 'पिरोना']
['pardanasheen', 'पर्दानशीं']
['pardaanashin', 'पर्दानशीं']
['payaam', 'पयाम']
['payaama', 'पयाम']
['payam', 'पयाम']
['paiyam', 'पयाम']
['piyaa', 'पिय']
['piya', 'पिय']
['phisalta', 'फिसलता']
['patvaar', 'पतवार']
['patavaar', 'पतवार']
['patawaar', 'पतवार']
['patwaar', 'पतवार']
['pahunche', 'पहुँचे']
['pardon', 'पर्दों']
['patanga', 'पतंगा']
['patangaa', 'पतंगा']
['panihaari', 'पनिहारी']
['papihara', 'पपिहरा']
['papeeharaa', 'पपिहरा']
['papeehara', 'पपिहरा']
['phuhaar', 'फुहार']
['puhaar', 'फुहार']
['pahar', 'पहर']
['paher', 'पहर']
['pehar', 'पहर']
['paara', 'पारा']
['piyu', 'पीयू']
['pahachaanate', 'पहचानते']
['pahchaante', 'पहचानते']
['pahachaante', 'पहचानते']
['padega', 'पड़ेगा']
['padegaa', 'पड़ेगा']
['parega', 'पड़ेगा']
['patang', 'पतंग']
['poochhte', 'पूछते']
['puuchhate', 'पूछते']
['poochhate', 'पूछते']
['pan', 'पं']
['payenge', 'पाएँगे']
['paayenge', 'पाएँगे']
['punjaabi', 'पुंजाबी']
['pyaale', 'प्याले']
['pyale', 'प्याले']
['piragi', 'पीरगी']
['palon', 'पलों']
['palo', 'पलों']
['phuaare', 'फुआरे']
['pike', 'पीके']
['peeke', 'पीके']
['piike', 'पीके']
['public', 'पब्लिक']
['pohonchaave', 'पोहॉंछावे']
['parbaton', 'परबातों']
['patango', 'पतंगो']
['parinde', 'परिंदे']
['padh', 'पढ़']
['pehchaanana', 'पहचानना']
['pahachaanana', 'पहचानना']
['palakome', 'पलकोमे']
['pechida', 'पेचीदा']
