['ahsaas', 'एहसास']
['aayegee', 'आयेगी']
['aayegii', 'आयेगी']
['aayengi', 'आयेगी']
['afsaane', 'अफ़्साने']
['afasaane', 'अफ़्साने']
['aashikaanaa', 'आशिकाना']
['aashikaana', 'आशिकाना']
['aramaanon', 'अरमानोन']
['andar', 'अन्दर']
['andaz', 'अन्दर']
['adhar', 'अधर']
['angana', 'अनगना']
['ari', 'अरी']
['arii', 'अरी']
['angana', 'अंगना']
['angna', 'अंगना']
['anganaa', 'अंगना']
['aangna', 'अंगना']
['aajama', 'आजमा']
['aajamaa', 'आजमा']
['aapasa', 'आपसा']
['aaegi', 'आएगी']
['aaegii', 'आएगी']
['ayegi', 'आएगी']
['aegi', 'आएगी']
['a', 'अ']
['aaha', 'आहा']
['aahaa', 'आहा']
['aha', 'आहा']
['aha', 'अहा']
['aaha', 'अहा']
['ahaa', 'अहा']
['afsana', 'अफ़सान']
['ahal', 'अहल']
['ahel', 'अहल']
['aazaad', 'आज़ाद']
['aazad', 'आज़ाद']
['azaad', 'आज़ाद']
['azad', 'आज़ाद']
['aabaadi', 'आबादी']
['aaoonga', 'आऊँगा']
['aaunga', 'आऊँगा']
['aaonga', 'आऊँगा']
['aaungaa', 'आऊँगा']
['aavunga', 'आऊँगा']
['aauungaa', 'आऊँगा']
['apnaaya', 'अपनाया']
['apanaaya', 'अपनाया']
['apanaayaa', 'अपनाया']
['aaine', 'आइने']
['aarati', 'आरती']
['aaratii', 'आरती']
['aarti', 'आरती']
['amarit', 'अमरित']
['aayen', 'आयें']
['aayein', 'आयें']
['ameer', 'अमीर']
['amir', 'अमीर']
['anyaay', 'अन्याय']
['anyaaya', 'अन्याय']
['aamane', 'आमने']
['aamne', 'आमने']
['achchha', 'अच्छा']
['achchhaa', 'अच्छा']
['acchha', 'अच्छा']
['achcha', 'अच्छा']
['anjaana', 'अंजाना']
['anjana', 'अंजाना']
['anjaanaa', 'अंजाना']
['aapadiya', 'आपड़िया']
['anjaana', 'अन्जाना']
['anjaanaa', 'अन्जाना']
['anajaanaa', 'अन्जाना']
['anjana', 'अन्जाना']
['aazma', 'आज़मा']
['aazama', 'आज़मा']
['aazamaa', 'आज़मा']
['aazman', 'आज़मा']
['aazmaa', 'आज़मा']
['aaunga', 'आऊंगा']
['aaungaa', 'आऊंगा']
['aauungaa', 'आऊंगा']
['anajaana', 'अनजाना']
['anjaana', 'अनजाना']
['anjaanaa', 'अनजाना']
['angon', 'अंगों']
['adhoori', 'अधूरी']
['adhuuri', 'अधूरी']
['adhuurii', 'अधूरी']
['adhuri', 'अधूरी']
['adhoore', 'अधूरे']
['adhure', 'अधूरे']
['adhuure', 'अधूरे']
['aais', 'आइस']
['aramaan', 'अर्मां']
['armaan', 'अर्मां']
['andheraa', 'अन्धेरा']
['andhera', 'अन्धेरा']
['aasamaan', 'आसमान']
['aasmaan', 'आसमान']
['aasman', 'आसमान']
['asmaan', 'आसमान']
['aasmaa', 'आसमान']
['asman', 'आसमान']
['adaaon', 'अदाओं']
['adaon', 'अदाओं']
['adaao', 'अदाओं']
['adaawon', 'अदाओं']
['afasaano', 'अफ़सानो']
['anaathon', 'अनाथों']
['anjaam', 'अन्जाम']
['anjam', 'अन्जाम']
['anjaani', 'अन्जानी']
['anjani', 'अन्जानी']
['anajaani', 'अन्जानी']
['anjaanii', 'अन्जानी']
['akele', 'अकेले']
['anaar', 'अनार']
['anaara', 'अनार']
['apun', 'अपुन']
['appun', 'अपुन']
['aapas', 'आपस']
['ambua', 'अम्बुआ']
['ambuaa', 'अम्बुआ']
['ambuwa', 'अम्बुआ']
['ankhiyaan', 'अंखियां']
['aabaru', 'आबरू']
['aabaruu', 'आबरू']
['afasar', 'अफ़सर']
['aadarshon', 'आदर्शों']
['anhoni', 'अनहोनी']
['anahoni', 'अनहोनी']
['agan', 'अगन']
['aggan', 'अगन']
['ajoobe', 'अजूबे']
['aazmaayenge', 'आज़मायेंगे']
['andhere', 'अंधेरे']
['andherey', 'अंधेरे']
['anjuman', 'अंजुमन']
['aasaan', 'आसाँ']
['aangna', 'आँगना']
['aanganaa', 'आँगना']
['akhiyaan', 'अखियाँ']
['akhian', 'अखियाँ']
['ankhiya', 'अखियाँ']
['ankhiyaan', 'अखियाँ']
['akhiyan', 'अखियाँ']
['ankhiyan', 'अखियाँ']
['akhiya', 'अखियाँ']
['aakhiyaan', 'अखियाँ']
['albela', 'अलबेला']
['alabela', 'अलबेला']
['alabelaa', 'अलबेला']
['alebela', 'अलबेला']
['angooti', 'अंगूठी']
['angoothi', 'अंगूठी']
['anguuthi', 'अंगूठी']
['anguthi', 'अंगूठी']
['afasaanon', 'अफ़सानों']
['aazmaaya', 'आज़माया']
['aazamaaya', 'आज़माया']
['anjaane', 'अन्जानें']
['amaavas', 'अमावस']
['aasara', 'आसरा']
['aasaraa', 'आसरा']
['aasra', 'आसरा']
['asraa', 'आसरा']
['asara', 'आसरा']
['aasraa', 'आसरा']
['alam', 'अलम']
['aalam', 'अलम']
['ankhiyan', 'अँखियन']
['amiri', 'अमीरी']
['ameeri', 'अमीरी']
['andhera', 'अंधेरा']
['andheraa', 'अंधेरा']
['ankhiyaan', 'अँखियां']
['aahaton', 'आहटों']
['asali', 'असली']
['asli', 'असली']
['aasmaan', 'आस्मान']
['aasman', 'आस्मान']
['apsara', 'अप्सरा']
['aansuon', 'आंसुओं']
['ahinsa', 'अहिंसा']
['angreji', 'अंग्रेजी']
['adhikaar', 'अधिकार']
['ameeron', 'अमीरों']
['amiron', 'अमीरों']
['amiiron', 'अमीरों']
['akhtiyaar', 'अख्तियार']
['allahad', 'अल्लहड़']
['achara', 'अचरा']
['acharaa', 'अचरा']
['arapan', 'अरपन']
['asqon', 'अस्क़ों']
['anokhi', 'अनोखी']
['ali', 'अली']
['aawan', 'आवन']
['aavan', 'आवन']
['akade', 'अकड़े']
['amma', 'अम्मा']
['ammaa', 'अम्मा']
['aape', 'आपे']
['ahasaan', 'अहसान']
['aan', 'आँ']
['abe', 'अबे']
['aazaadiyon', 'आज़ादियों']
['akela', 'अकेल']
['arre', 'अर्रे']
['atal', 'अटल']
['ati', 'अति']
['anajaanaapan', 'अनजानापन']
['ankhiyon', 'अंखियों']
['anjaan', 'अंजान']
['anjan', 'अंजान']
['anajaan', 'अंजान']
['anjaane', 'अंजान']
['ankhiyaan', 'अंखियाँ']
['aankhiyaan', 'अंखियाँ']
['anjaanon', 'अन्जानों']
['akhabaar', 'अखबार']
['afala', 'अफ़ला']
['afalaatoon', 'अफ़लातून']
['ankhiyon', 'अँखियों']
['ankhiyun', 'अँखियों']
['ankhiyo', 'अँखियों']
['aaitbaar', 'आइतबार']
['aaitabaar', 'आइतबार']
['aaungi', 'आऊँगी']
['aayungi', 'आऊँगी']
['aaoongi', 'आऊँगी']
['aaongi', 'आऊँगी']
['aungi', 'आऊँगी']
['aauungii', 'आऊँगी']
['aauungi', 'आऊँगी']
['adaayen', 'अदाएं']
['adaen', 'अदाएं']
['adaaen', 'अदाएं']
['adayen', 'अदाएं']
['ang', 'अँग']
['ambike', 'अम्बिके']
['atyaachaaron', 'अत्याचारों']
['awataar', 'अवतार']
['avataar', 'अवतार']
['avtaar', 'अवतार']
['angaar', 'अंगार']
['ansuan', 'अँसुअन']
['aaengi', 'आएंगी']
['anajaan', 'अनजान']
['anjaan', 'अनजान']
['anajan', 'अनजान']
['anmol', 'अनमोल']
['anamol', 'अनमोल']
['aji', 'अजि']
['ajaan', 'अजान']
['ashru', 'अश्रु']
['amrit', 'अम्रित']
['anjaane', 'अंजाने']
['anajaane', 'अंजाने']
['angaaron', 'अंगारों']
['angaaro', 'अंगारों']
['angaron', 'अंगारों']
['achchhi', 'अच्छी']
['achchhii', 'अच्छी']
['acchhi', 'अच्छी']
['ajahun', 'अजहुं']
['aamadani', 'आमदनी']
['akal', 'अकल']
['aaogi', 'आओगी']
['aaogii', 'आओगी']
['angan', 'आंगन']
['anjane', 'अन्जाने']
['anjaane', 'अन्जाने']
['anajaane', 'अन्जाने']
['abhinandan', 'अभिनन्दन']
['andheron', 'अँधेरों']
['aashaaon', 'आशाओं']
['aashaon', 'आशाओं']
['angdaaiyaan', 'अंगड़ाइयाँ']
['angadaeeyaan', 'अंगड़ाइयाँ']
['angadaayiyaan', 'अंगड़ाइयाँ']
['angadaaiyaan', 'अंगड़ाइयाँ']
['albeli', 'अलबेली']
['alabeli', 'अलबेली']
['alabelee', 'अलबेली']
['alabelii', 'अलबेली']
['aastaane', 'आस्ताने']
['aakhiri', 'आखिरी']
['andhon', 'अन्धों']
['andhe', 'अन्धे']
['aj', 'अज']
['aathon', 'आठों']
['adhura', 'अधूरा']
['adhoora', 'अधूरा']
['adhuura', 'अधूरा']
['adhooraa', 'अधूरा']
['adhuraa', 'अधूरा']
['adhuuraa', 'अधूरा']
['arz', 'अर्ज़']
['araz', 'अर्ज़']
['anjaani', 'अंजानी']
['adaayein', 'अदायें']
['adaayen', 'अदायें']
['adaaye', 'अदायें']
['an', 'आन']
['aasma', 'आस्मा']
['aapni', 'आपनी']
['apni', 'आपनी']
['aamber', 'आमबर']
['ambar', 'आमबर']
['aab', 'आब']
['ab', 'आब']
['aave', 'आवे']
['aawe', 'आवे']
['ai', 'आई']
['ayi', 'आई']
['ay', 'आई']
['ain', 'आईं']
['aain', 'आईं']
['aayi', 'आईं']
['ayi', 'आईं']
['aaya', 'आईं']
['aayo', 'आयो']
['aoni', 'आओनी']
['armaan', 'अर्मा']
['armaa', 'अर्मा']
['akhe', 'आखे']
['andheri', 'अंधेरी']
['anderi', 'अंधेरी']
['andheree', 'अंधेरी']
['arajoone', 'आरजूने']
['ashiki', 'आशिकी']
['aach', 'आच']
['am', 'आम']
['aam', 'आम']
['adaaye', 'अदाए']
['ayega', 'आएगा']
['aaegaa', 'आएगा']
['aaega', 'आएगा']
['aega', 'आएगा']
['andekhi', 'अनदेखी']
['ansuni', 'अनसुनी']
['aaysi', 'आयासी']
['aayaasi', 'आयासी']
['alung', 'अलुंग']
['andha', 'अँधा']
['aaiya', 'आइया']
['akhaan', 'अखान']
['akh', 'अख']
['ajj', 'अज्ज']
['akhiya', 'अखिया']
['akhiyan', 'अखिया']
['armaano', 'अरमानो']
['aramaanon', 'अरमानो']
['armaanon', 'अरमानो']
['andesa', 'अंदेसा']
['andesha', 'अंदेसा']
['aalim', 'आलिम']
['appa', 'अप्पा']
['atak', 'अटक']
['apane', 'अप्ने']
['aanewaali', 'आनेवालि']
['akhiyan', 'अखियन']
['aakhiyan', 'अखियन']
['akhiyon', 'अखियन']
['ankhiyon', 'अखियन']
['amaanat', 'अमानत']
['amanat', 'अमानत']
['ansuni', 'अनसूनी']
['andheri', 'अन्धेरी']
['anguur', 'अंगूर']
['angoor', 'अंगूर']
['aagosh', 'आगोश']
['anjaani', 'अनजानी']
['anajaani', 'अनजानी']
['anjani', 'अनजानी']
['andhe', 'अंधे']
['aagaah', 'आगाह']
['araj', 'अरज']
['anbar', 'अंबर']
['alwida', 'अलविदा']
['alavida', 'अलविदा']
['alawida', 'अलविदा']
['alvida', 'अलविदा']
['aasaar', 'आसार']
['adab', 'अदब']
['aakaal', 'आकाल']
['aankhen', 'आँखेन']
['aansoon', 'आँसूं']
['aansuun', 'आँसूं']
['ankhiyaan', 'अँखियाँ']
['ankhiyan', 'अँखियाँ']
['aankhiyaan', 'अँखियाँ']
['ar', 'अर']
['ara', 'अर']
['anaarakali', 'अनारकली']
['akabar', 'अकबर']
['akbar', 'अकबर']
['aadaten', 'आदतें']
['aaten', 'आतें']
['aasmaan', 'आस्माँ']
['aasman', 'आस्माँ']
['anamoli', 'अनमोली']
['anjaane', 'अनजाने']
['anajaane', 'अनजाने']
['anjane', 'अनजाने']
['anjaani', 'अनजाने']
['akad', 'अकड़']
['abhimaani', 'अभिमानी']
['abhimaanii', 'अभिमानी']
['andha', 'अंधा']
['andhaa', 'अंधा']
['ajooba', 'अजूबा']
['aajoba', 'अजूबा']
['ajoobaa', 'अजूबा']
['anokha', 'अनोखा']
['anokhaa', 'अनोखा']
['abse', 'अबसे']
['ayenge', 'आएंगे']
['aaenge', 'आएंगे']
['apni', 'अप्नि']
['apradhi', 'अप्रधि']
['alakaapuri', 'अलकापुरी']
['aparaadh', 'अपराध']
['apraadh', 'अपराध']
['apanaapan', 'अपनापन']
['apnaapan', 'अपनापन']
['adhin', 'अधीन']
['ataki', 'अटकी']
['anjum', 'अन्जुम']
['aandhiyon', 'आँधियों']
['aandhiyo', 'आँधियों']
['aha', 'अह']
['ah', 'अह']
['angiyaa', 'अंगिया']
['angiya', 'अंगिया']
['aaoge', 'आओगे']
['aoge', 'आओगे']
['aandhiyaan', 'आंधियाँ']
['aayengi', 'आएँगी']
['aayegi', 'आएँगी']
['aman', 'अमन']
['ashk', 'अश्क']
['ask', 'अश्क']
['akadti', 'अकड़ती']
['akadati', 'अकड़ती']
['akadatii', 'अकड़ती']
['achchhaa', 'अच्चा']
['achchaa', 'अच्चा']
['achcha', 'अच्चा']
['aankhe', 'आँखे']
['aashiyaane', 'आशियाने']
['aau', 'आऊ']
['andheron', 'अंधेरों']
['andhero', 'अंधेरों']
['aadaab', 'आदाब']
['aadab', 'आदाब']
['amn', 'अम्न']
['ataa', 'अता']
['ata', 'अता']
['aks', 'अक्स']
['albeli', 'अल्बेली']
['abhaagan', 'अभागन']
['abhagan', 'अभागन']
['abhaagana', 'अभागन']
['apamaan', 'अपमान']
['abhaage', 'अभागे']
['angadaeeyaan', 'अँगड़ाइयाँ']
['angadaaiyaan', 'अँगड़ाइयाँ']
['angadaayiyaan', 'अँगड़ाइयाँ']
['ahad', 'अहद']
['aazamaai', 'आज़माई']
['andhiyaara', 'अँधियारा']
['andiyara', 'अँधियारा']
['andhiyaaraa', 'अँधियारा']
['antim', 'अंतिम']
['al', 'अल']
['ali', 'आलि']
['anbujh', 'अन्बुझ']
['aitbaar', 'ऐत्बार']
['armaan', 'अर्मान']
['andaaz', 'अँदाज़']
['angadaai', 'अँगड़ाई']
['angdaai', 'अँगड़ाई']
['angadaayi', 'अँगड़ाई']
['angdaayi', 'अँगड़ाई']
['angdayi', 'अँगड़ाई']
['ajal', 'अजल']
['aya', 'अया']
['aarzu', 'आर्ज़ू']
['aarzuu', 'आर्ज़ू']
['arzoo', 'आर्ज़ू']
['alvida', 'अल्विदा']
['alvidaa', 'अल्विदा']
['aare', 'आरे']
['atariyaa', 'अटरिया']
['atariya', 'अटरिया']
['atareeyaa', 'अटरिया']
['anguuthaa', 'अंगूठा']
['abaru', 'अबरू']
['allaa', 'अल्ला']
['alla', 'अल्ला']
['allah', 'अल्ला']
['allaah', 'अल्ला']
['aazamaanaa', 'आज़माना']
['aazamaana', 'आज़माना']
['aazmaana', 'आज़माना']
['ankahi', 'अन्कही']
['agla', 'अगला']
['andher', 'अंधेर']
['aai', 'ऐसी']
['any', 'अन्य']
['aajamaaye', 'आजमाये']
['aashiyaan', 'आशियां']
['aaraadhana', 'आराधना']
['aradhana', 'आराधना']
['aatma', 'आत्मा']
['aatmaa', 'आत्मा']
['atma', 'आत्मा']
['asuan', 'असुअन']
['anchhaale', 'अंछाले']
['akl', 'अक्ल']
['akal', 'अक्ल']
['ansuvan', 'अँसुवन']
