['roop', 'रूप']
['raasataa', 'रास्ता']
['rastaa', 'रास्ता']
['ruk', 'रुक']
['rukk', 'रुक']
['rukja', 'रुक']
['rukh', 'रुक']
['ruke', 'रुक']
['ruka', 'रुक']
['rooge', 'रोओगे']
['roooge', 'रोओगे']
['rowoge', 'रोओगे']
['rahaguzar', 'रहगुज़र']
['rehguzar', 'रहगुज़र']
['rehaguzar', 'रहगुज़र']
['roti', 'रोटी']
['rotii', 'रोटी']
['rukiye', 'रुकिए']
['rakhna', 'रखना']
['rakhana', 'रखना']
['rakna', 'रखना']
['ri', 'री']
['re', 'री']
['rii', 'री']
['rastaa', 'रस्ता']
['rasta', 'रस्ता']
['roshani', 'रोशनी']
['roshni', 'रोशनी']
['roshini', 'रोशनी']
['rangon', 'रंगों']
['rango', 'रंगों']
['roshan', 'रोशन']
['raadhika', 'राधिका']
['radhika', 'राधिका']
['ras', 'रस']
['raakhat', 'राखत']
['reshami', 'रेशमी']
['reshmi', 'रेशमी']
['reshamii', 'रेशमी']
['raatein', 'रातें']
['raaten', 'रातें']
['raate', 'रातें']
['raas', 'रास']
['raam', 'राम']
['ram', 'राम']
['rama', 'राम']
['raama', 'राम']
['ruuth', 'रूठ']
['ruth', 'रूठ']
['ruutha', 'रूठा']
['rutha', 'रूठा']
['ruuthaa', 'रूठा']
['ruthaa', 'रूठा']
['rahoon', 'रहूँ']
['rahuun', 'रहूँ']
['rahoo', 'रहूँ']
['rahun', 'रहूँ']
['rahon', 'रहूँ']
['reet', 'रीत']
['rit', 'रीत']
['riit', 'रीत']
['rasm', 'रस्म']
['resham', 'रेशम']
['raaste', 'रास्ते']
['raste', 'रास्ते']
['raasate', 'रास्ते']
['raasten', 'रास्ते']
['rastey', 'रास्ते']
['rakhaa', 'रखा']
['rakha', 'रखा']
['rahenge', 'रहेंगे']
['rehenge', 'रहेंगे']
['raheinge', 'रहेंगे']
['ro', 'रो']
['raaton', 'रातों']
['raato', 'रातों']
['raatoon', 'रातों']
['raton', 'रातों']
['ratoon', 'रातों']
['rahana', 'रहना']
['rehna', 'रहना']
['rahnaa', 'रहना']
['rehana', 'रहना']
['rahanaa', 'रहना']
['rahena', 'रहना']
['rehnaa', 'रहना']
['rehanaa', 'रहना']
['rehena', 'रहना']
['rahna', 'रहना']
['rahegi', 'रहेगी']
['rahegee', 'रहेगी']
['rahegii', 'रहेगी']
['rahengi', 'रहेगी']
['razi', 'रज़ि']
['rahiye', 'रहिए']
['rona', 'रोना']
['ronaa', 'रोना']
['rab', 'रब']
['raba', 'रब']
['rabb', 'रब']
['rabh', 'रब']
['ret', 'रेत']
['reeth', 'रेत']
['raet', 'रेत']
['rahele', 'रहेले']
['roko', 'रोको']
['rachaaya', 'रचाया']
['rachaayaa', 'रचाया']
['rimajhim', 'रिमझिम']
['rimjhim', 'रिमझिम']
['rimjim', 'रिमझिम']
['rahin', 'रहीं']
['raheen', 'रहीं']
['rahiin', 'रहीं']
['rangoli', 'रंगोली']
['raatari', 'रातरी']
['rog', 'रोग']
['rooga', 'रोग']
['rogi', 'रोग']
['raaja', 'राजा']
['raja', 'राजा']
['raajaa', 'राजा']
['raza', 'राजा']
['rukata', 'रुकता']
['rukataa', 'रुकता']
['rukta', 'रुकता']
['rukhtha', 'रुकता']
['ruuthi', 'रूठी']
['roti', 'रूठी']
['ruthi', 'रूठी']
['rakhane', 'रखने']
['rakhne', 'रखने']
['rahoge', 'रहोगे']
['rangath', 'रंगत']
['rangat', 'रंगत']
['rahate', 'रहतें']
['radha', 'राधा']
['raadha', 'राधा']
['raadhaa', 'राधा']
['ranga', 'रंगा']
['raama', 'रामा']
['rama', 'रामा']
['raamaa', 'रामा']
['rasiya', 'रसिया']
['rasiyaa', 'रसिया']
['raahen', 'राहें']
['raahein', 'राहें']
['raahe', 'राहें']
['rahe', 'राहें']
['rahein', 'राहें']
['rahen', 'राहें']
['rok', 'रोक']
['rokle', 'रोक']
['rokh', 'रोक']
['rook', 'रोक']
['retii', 'रेती']
['reti', 'रेती']
['raag', 'राग']
['rag', 'राग']
['rulaana', 'रुलाना']
['rulana', 'रुलाना']
['raaz', 'राज']
['raaj', 'राज']
['raja', 'राज']
['raj', 'राज']
['raaja', 'राज']
['rota', 'रोता']
['rotaa', 'रोता']
['rotha', 'रोता']
['rehti', 'रहती']
['rahti', 'रहती']
['rahati', 'रहती']
['rehati', 'रहती']
['rehethi', 'रहती']
['rahatii', 'रहती']
['raheti', 'रहती']
['rehthi', 'रहती']
['reheti', 'रहती']
['rahmaan', 'रहमान']
['rehman', 'रहमान']
['rahamaan', 'रहमान']
['rangeen', 'रंगीन']
['rangin', 'रंगीन']
['rangiin', 'रंगीन']
['roye', 'रोये']
['rulaaya', 'रुलाया']
['rulaya', 'रुलाया']
['rusavaai', 'रुसवाई']
['rusawaai', 'रुसवाई']
['rusavaayi', 'रुसवाई']
['rusavaaii', 'रुसवाई']
['rusvaai', 'रुसवाई']
['ruswaai', 'रुसवाई']
['rusavaaee', 'रुसवाई']
['ruswai', 'रुसवाई']
['rahataa', 'रहता']
['rehta', 'रहता']
['rahata', 'रहता']
['rehata', 'रहता']
['rahta', 'रहता']
['raheta', 'रहता']
['rehtha', 'रहता']
['rahtaa', 'रहता']
['roj', 'रोज']
['roz', 'रोज']
['rang', 'रनग']
['raqeeb', 'रक़ीब']
['rulaaoongaa', 'रुलाऊँगा']
['ruke', 'रुके']
['raakhi', 'राखी']
['roke', 'रोके']
['rokhey', 'रोके']
['rokey', 'रोके']
['ruu', 'रू']
['ru', 'रू']
['rou', 'रू']
['rasili', 'रसीली']
['raseeli', 'रसीली']
['rokaa', 'रोका']
['roka', 'रोका']
['rokha', 'रोका']
['rulaa', 'रुला']
['rula', 'रुला']
['rut', 'रुत']
['rutt', 'रुत']
['ruth', 'रुत']
['ruut', 'रुत']
['rrut', 'रुत']
['ruta', 'रुत']
['rahuungi', 'रहूँगी']
['rahoongi', 'रहूँगी']
['rahungi', 'रहूँगी']
['rahuungii', 'रहूँगी']
['rahoongee', 'रहूँगी']
['rahhungi', 'रहूँगी']
['rahungee', 'रहूँगी']
['ruum', 'रूम']
['rulaao', 'रुलाओ']
['rone', 'रोने']
['roone', 'रोने']
['rulaaye', 'रुलाए']
['rulaae', 'रुलाए']
['rulaye', 'रुलाए']
['raaje', 'राजे']
['rustam', 'रुस्तम']
['ra', 'र']
['r', 'र']
['re', 'र']
['raho', 'रहों']
['rahon', 'रहों']
['rang', 'रन्ग']
['rokie', 'रोकिए']
['roenge', 'रोएँगे']
['royeinge', 'रोएँगे']
['rusuvaai', 'रुसुवाई']
['rim', 'रिम']
['rhim', 'रिम']
['rap', 'रप']
['rangi', 'रंगी']
['roya', 'रोया']
['royaa', 'रोया']
['rukati', 'रुकती']
['rukti', 'रुकती']
['rukatee', 'रुकती']
['romba', 'रोम्बा']
['rambaa', 'रम्बा']
['ramba', 'रम्बा']
['raajadulaara', 'राजदुलारा']
['raajadulaaraa', 'राजदुलारा']
['rokega', 'रोकेगा']
['rokegaa', 'रोकेगा']
['ruki', 'रुकी']
['rukii', 'रुकी']
['ruukii', 'रुकी']
['rukee', 'रुकी']
['rogi', 'रोगी']
['rogii', 'रोगी']
['rogee', 'रोगी']
['rahiyegaa', 'रहियेगा']
['raheeyegaa', 'रहियेगा']
['ratiyaan', 'रतियां']
['rasmon', 'रस्मों']
['rasmo', 'रस्मों']
['rasamon', 'रस्मों']
['rekha', 'रेखा']
['rekhaa', 'रेखा']
['ragini', 'रगिनी']
['rukein', 'रुकें']
['ruken', 'रुकें']
['ruke', 'रुकें']
['rishta', 'रिश्ता']
['rishtaa', 'रिश्ता']
['rangon', 'रँगों']
['rijhaane', 'रिझाने']
['rupahale', 'रुपहले']
['res', 'रेस']
['rupaiyaa', 'रुपैया']
['rupaiya', 'रुपैया']
['rupaiyya', 'रुपैया']
['rupaiyyaa', 'रुपैय्या']
['rasamein', 'रसमें']
['rasamen', 'रसमें']
['rasme', 'रसमें']
['rasmein', 'रसमें']
['roohon', 'रूहों']
['ruhon', 'रूहों']
['ruuhon', 'रूहों']
['raamu', 'रामू']
['roosi', 'रूसी']
['rusi', 'रूसी']
['raagani', 'रागनी']
['raagini', 'रागनी']
['ragini', 'रागनी']
['ragani', 'रागनी']
['ru', 'रु']
['raftaar', 'रफ़्तार']
['rakhane', 'रख्ने']
['rachaate', 'रचाते']
['rishwat', 'रिश्वत']
['rishvat', 'रिश्वत']
['rakhe', 'रखे']
['raamoji', 'रामोजी']
['rakhiyo', 'रखियो']
['rusava', 'रुसवा']
['rusavaa', 'रुसवा']
['ruswa', 'रुसवा']
['rusawaa', 'रुसवा']
['ruswaa', 'रुसवा']
['rokein', 'रोकें']
['roke', 'रोकें']
['rukenge', 'रुकेंगे']
['rapat', 'रपट']
['roti', 'रोती']
['rotii', 'रोती']
['rotee', 'रोती']
['roothi', 'रोती']
['rangiilii', 'रंगीली']
['rangili', 'रंगीली']
['rangeeli', 'रंगीली']
['rangilee', 'रंगीली']
['rangeli', 'रंगीली']
['roshanadaan', 'रोशनदान']
['rajani', 'रजनी']
['rajanii', 'रजनी']
['rajni', 'रजनी']
['rahega', 'रहेगा']
['rahegaa', 'रहेगा']
['raajadulaari', 'राजदुलारी']
['raghuwar', 'रघुवर']
['raakh', 'राख']
['rasadaar', 'रसदार']
['rangamahal', 'रन्गमहल']
['roy', 'रोय']
['ruthe', 'रूठे']
['ruuthe', 'रूठे']
['ruthhe', 'रूठे']
['roote', 'रूठे']
['rumaal', 'रुमाल']
['rumal', 'रुमाल']
['ratan', 'रतन']
['royen', 'रोयें']
['royein', 'रोयें']
['roye', 'रोयें']
['rel', 'रेल']
['rokee', 'रोकी']
['roki', 'रोकी']
['raazi', 'राज़ी']
['rukte', 'रुकते']
['rukate', 'रुकते']
['rangeelon', 'रंगीलों']
['racha', 'रचा']
['rachaa', 'रचा']
['ratiya', 'रतिया']
['ratiyaa', 'रतिया']
['ratiyaan', 'रतिया']
['ram', 'रम']
['rama', 'रम']
['razaamand', 'रज़ामंद']
['razamand', 'रज़ामंद']
['roton', 'रोतों']
['raksha', 'रक्षा']
['rakshaa', 'रक्षा']
['ruswaai', 'रुस्वाई']
['rusvaai', 'रुस्वाई']
['ruswaayi', 'रुस्वाई']
['rusvaayi', 'रुस्वाई']
['rulaave', 'रुलावे']
['rachaaun', 'रचाऊँ']
['rachaayuun', 'रचाऊँ']
['raaho', 'राहो']
['rasool', 'रसूल']
['raatri', 'रात्रि']
['rasvanti', 'रसवंती']
['rasavanti', 'रसवंती']
['raghuveer', 'रघुवीर']
['raghupati', 'रघुपति']
['raavan', 'रावन']
['raawan', 'रावन']
['rawan', 'रावन']
['rakhte', 'रखते']
['raavan', 'रावण']
['rawan', 'रावण']
['raawan', 'रावण']
['ruton', 'रुतों']
['rutton', 'रुतों']
['raseelaa', 'रसीला']
['rasila', 'रसीला']
['rasilaa', 'रसीला']
['raseela', 'रसीला']
['royen', 'रोएँ']
['roye', 'रोएँ']
['roen', 'रोएँ']
['rama', 'रमा']
['relaa', 'रेला']
['rela', 'रेला']
['roenge', 'रोएंगे']
['royenge', 'रोएंगे']
['raksaan', 'रक्साँ']
['reshmi', 'रेश्मी']
['rawaani', 'रवानी']
['ravaani', 'रवानी']
['rawaanee', 'रवानी']
['rawani', 'रवानी']
['ravaanii', 'रवानी']
['ravani', 'रवानी']
['rangato', 'रनगातो']
['rangaton', 'रनगातो']
['rehgujar', 'रहगुजर']
['rehguzar', 'रहगुजर']
['ragon', 'रागों']
['raaston', 'रास्तों']
['raasto', 'रास्तों']
['raasato', 'रास्तों']
['raasaton', 'रास्तों']
['raanjhan', 'रांझाँ']
['raanjha', 'रांझा']
['raanjhaa', 'रांझा']
['ranjha', 'रांझा']
['rukhaana', 'रुखाना']
['range', 'रंगे']
['rahu', 'राहु']
['rahun', 'राहु']
['raahu', 'राहु']
['raatbhar', 'रातभर']
['ramaye', 'रमाय']
['ramaaye', 'रमाय']
['raate', 'राते']
['ranj', 'रंज']
['rus', 'रूस']
['ruus', 'रूस']
['rangini', 'रंगिनी']
['raanjhe', 'रांझे']
['raanze', 'रांझे']
['rud', 'रुड']
['rawaan', 'रवाँ']
['ravaan', 'रवाँ']
['real', 'रियल']
['rahimpuri', 'रहिमपुरी']
['ruku', 'रुकु']
['rej', 'रेज']
['rubaru', 'रूबरू']
['raataan', 'रातान']
['raahat', 'राहत']
['rahat', 'राहत']
['raat', 'राहत']
['raahtein', 'राहतें']
['raahaten', 'राहतें']
['ratiyaan', 'रतियाँ']
['rateiyan', 'रतियाँ']
['ratiyan', 'रतियाँ']
['rahiman', 'रहिमान']
['rank', 'रंक']
['ranka', 'रंक']
['runk', 'रंक']
['rehmat', 'रहमत']
['rahamat', 'रहमत']
['ravaani', 'रवानि']
['rangila', 'रंगीला']
['rangilaa', 'रंगीला']
['rangeela', 'रंगीला']
['rangiilaa', 'रंगीला']
['rachana', 'रचना']
['rachanaa', 'रचना']
['rachna', 'रचना']
['raakho', 'राखो']
['rupaiyya', 'रुपैय्य']
['ravaayaten', 'रवायतें']
['rikhshaavaala', 'रिक्शावाला']
['rikhshaala', 'रिक्शाला']
['rishten', 'रिशतें']
['rotiyaan', 'रोटीयां']
['ruudaad', 'रूदाद']
['rudaad', 'रूदाद']
['roodaad', 'रूदाद']
['rahunga', 'रहूँगा']
['rahoonga', 'रहूँगा']
['rahoongaa', 'रहूँगा']
['rahonga', 'रहूँगा']
['rahuunga', 'रहूँगा']
['rishtedari', 'रिश्तेदारी']
['rishtedaari', 'रिश्तेदारी']
['rishate', 'रिशते']
['rishte', 'रिशते']
['rusuva', 'रुसुवा']
['raanjha', 'राँझा']
['raanjhaa', 'राँझा']
['ranjha', 'राँझा']
['ruka', 'रुका']
['rukaa', 'रुका']
['rooka', 'रुका']
['rokna', 'रोकना']
['ruupa', 'रूपा']
['roopaa', 'रूपा']
['roopa', 'रूपा']
['ruuthana', 'रूठना']
['ragen', 'रगें']
['raana', 'राना']
['rokungi', 'रोकूंगी']
['rupye', 'रुपये']
['rupaye', 'रुपये']
['rashk', 'रश्क']
['raajaaon', 'राजाओं']
['ranj', 'रन्ज']
['rukana', 'रुकना']
['rukanaa', 'रुकना']
['rukna', 'रुकना']
['ruknaa', 'रुकना']
['rukega', 'रुकेगा']
['rukegaa', 'रुकेगा']
['rangarasiyaa', 'रंगरसिया']
['rangrasia', 'रंगरसिया']
['rulaaegi', 'रुलाएगी']
['rulaayegi', 'रुलाएगी']
['rulayegi', 'रुलाएगी']
['rasile', 'रसीले']
['raseele', 'रसीले']
['ramar', 'रमर']
['raaju', 'राजु']
['ruswaaiyon', 'रुसवाइयों']
['rusavaaiyon', 'रुसवाइयों']
['rusawaaeeyon', 'रुसवाइयों']
['roen', 'रोएं']
['rulaaen', 'रुलाएं']
['rakhuungaa', 'रखूँगा']
['rakhuunga', 'रखूँगा']
['rakhunga', 'रखूँगा']
['rubaai', 'रुबाई']
['rubai', 'रुबाई']
['rubaayi', 'रुबाई']
['riishata', 'रीशता']
['rishata', 'रीशता']
['rangaraliyaan', 'रंगरलियाँ']
['rangaraliyaa', 'रंगरलियाँ']
['run', 'रुन']
['rhun', 'रुन']
['raazdaar', 'राज़दार']
['raazadaar', 'राज़दार']
['reh', 'रेह']
['rum', 'रुम']
['rangeeniyaan', 'रंगीनियां']
['ramta', 'रमता']
['ramata', 'रमता']
['ramataa', 'रमता']
['rivaaz', 'रिवाज़']
['royegaa', 'रोयेगा']
['royega', 'रोयेगा']
['raham', 'रहम']
['rahem', 'रहम']
['reham', 'रहम']
['rachi', 'रची']
['rachii', 'रची']
['ruhe', 'रूहें']
['ruhen', 'रूहें']
['ravaana', 'रवाना']
['rukh', 'रुख']
['rivaajon', 'रिवाज़ों']
['riwaajon', 'रिवाज़ों']
['rasmein', 'रस्में']
['rasmen', 'रस्में']
['rag', 'रग']
['rug', 'रग']
['raheem', 'रहीम']
['rahim', 'रहीम']
['rasoolallaah', 'रसूलल्लाह']
['rasoolallah', 'रसूलल्लह']
['ravivar', 'रविवर']
['roe', 'रोए']
['rishavat', 'रिशवत']
['ruko', 'रुको']
['rukoon', 'रुकूँ']
['rasamon', 'रसमों']
['rasmon', 'रसमों']
['rangane', 'रंगने']
['rangne', 'रंगने']
['roote', 'रूटे']
['rele', 'रेले']
['raile', 'रेले']
['rozaana', 'रोज़ाना']
['rakhwale', 'रख्वले']
['rupahali', 'रुपहली']
['raaniyaan', 'रानियाँ']
['raniya', 'रानियाँ']
['raaniya', 'रानियाँ']
['raliyaan', 'रलियाँ']
['raaket', 'राकेट']
['rukoge', 'रुकोगे']
['rachaai', 'रचाई']
['rachaayi', 'रचाई']
['rachai', 'रचाई']
['rakho', 'रखो']
['royi', 'रोई']
['roi', 'रोई']
['rakt', 'रक्त']
['raazadaan', 'राज़दाँ']
['raajadaan', 'राज़दाँ']
['raahazan', 'राहज़न']
['rom', 'रोम']
['rupahalaa', 'रुपहला']
['ruphalaa', 'रुपहला']
['raajadulaare', 'राज्दुलारे']
['rakhha', 'रख्ह']
['ranginiyon', 'रन्गीनियों']
['rokad', 'रोकड़']
['ragda', 'रगड़ा']
['ragada', 'रगड़ा']
['raaii', 'राई']
['raali', 'राई']
['raanjhe', 'राँझे']
['ranjhe', 'राँझे']
['ruki', 'रूखी']
['rukhi', 'रूखी']
['ruutho', 'रूठो']
['rutho', 'रूठो']
['raasata', 'रासता']
['raastaa', 'रासता']
['raasta', 'रासता']
['rukhsat', 'रुख्सत']
['ritu', 'रितु']
['rangile', 'रंगीले']
['rangeele', 'रंगीले']
['rukane', 'रुकने']
['rukne', 'रुकने']
['rahengin', 'रहेंगीं']
['raaheen', 'राहीं']
['rukeen', 'रुकीं']
['ruswa', 'रुस्वा']
['rusvaa', 'रुस्वा']
['rasaton', 'रसतों']
['rasata', 'रसता']
['rere', 'रेरे']
['rakhega', 'रखेगा']
['rakam', 'रकम']
['rulaate', 'रुलाते']
['rulatey', 'रुलाते']
['rahiyo', 'रहियो']
['rangrajva', 'रँगरजवा']
['rokoongi', 'रोकूँगी']
['raadhe', 'राधे']
['radhe', 'राधे']
['ranginiyaan', 'रंगीनियाँ']
['rangeeniyaan', 'रंगीनियाँ']
['rakshak', 'रक्षक']
['rob', 'रोब']
['raanaaiyaan', 'रानाइयाँ']
['raanaayiyaan', 'रानाइयाँ']
['rondi', 'रोंदी']
['roun', 'रोऊँ']
['rouun', 'रोऊँ']
['rokatii', 'रोकती']
['rudra', 'रुद्रा']
['rudra', 'रुद्र']
['rahegaa', 'रहेग']
['rekhaayen', 'रेखाएँ']
['rajnigandha', 'रजनीगंधा']
['rukvaa', 'रुकवा']
['rukva', 'रुकवा']
['rota', 'रोत']
['resh', 'रेश']
['rangiile', 'रँगीले']
['raar', 'रार']
['rachaaye', 'रचाए']
['rachaae', 'रचाए']
['ratiyan', 'रतियन']
['rakahana', 'रकहना']
['rubaab', 'रुबाब']
['rahengi', 'रहेंगी']
['rahenge', 'रहेंगी']
['raajaaji', 'राजाजी']
['raajaajii', 'राजाजी']
['rubaan', 'रुबां']
['rajaai', 'रजाई']
['rasate', 'रसते']
['raste', 'रसते']
['raaju', 'राजू']
['raju', 'राजू']
['raahul', 'राहुल']
['rahul', 'राहुल']
['rohit', 'रोहित']
['rukegi', 'रुकेगी']
['rukegee', 'रुकेगी']
['rahoonga', 'रहूंगा']
['rahuungaa', 'रहूंगा']
['rahuunga', 'रहूंगा']
['rahunga', 'रहूंगा']
['raamapur', 'रामपुर']
['risshte', 'रिस्श्ते']
['roega', 'रोएगा']
['royega', 'रोएगा']
['rangata', 'रंगता']
['raghuraai', 'रघुराई']
['raghuraaj', 'रघुराज']
['raamaraajy', 'रामराज्य']
['rukti', 'रुकतीं']
['roothega', 'रूठेगा']
['ruthega', 'रूठेगा']
['ruuthegaa', 'रूठेगा']
['rojaa', 'रोजा']
['rukmani', 'रुकमनी']
['raasate', 'रासते']
['raaste', 'रासते']
['rudraksham', 'रुद्राक्षम']
['rijhaayenge', 'रिझाएंगे']
['rachaata', 'रचाता']
['rup', 'रुप']
['roop', 'रुप']
['rupa', 'रुप']
['runjhun', 'रुनझुन']
['rahungi', 'रहूंगी']
['rahuungi', 'रहूंगी']
['rahoongi', 'रहूंगी']
['rachataa', 'रचता']
['ragade', 'रगड़े']
['rakhiya', 'रखिया']
['raaree', 'रारी']
['rasoi', 'रसोई']
['ruba', 'रुबा']
['rutabe', 'रुतबे']
['rulaayengi', 'रुलायेंगी']
['ruuthake', 'रूठके']
['ruuthate', 'रूठते']
['roothte', 'रूठते']
['rasm', 'रसम']
['rachaayen', 'रचाएं']
['rachaaen', 'रचाएं']
['rimakhim', 'रिमखिम']
['raliyaa', 'रलिया']
['raliya', 'रलिया']
['ri', 'रि']
['rikhab', 'रिखब']
['rivaajon', 'रिवाजों']
['riwaajon', 'रिवाजों']
['rabbaa', 'रब्बा']
['raajadulaare', 'राजदुलारे']
['ruukhaa', 'रूखा']
['ramaayenge', 'रमाएंगे']
['ramaaenge', 'रमाएंगे']
['rangavaayenge', 'रंगवायेंगे']
['raazadaan', 'राज़दां']
['ramata', 'रमाता']
['raajaabeti', 'राजाबेटी']
['rachirachi', 'रचिरचि']
['raajaabetaa', 'राजाबेटा']
['rase', 'रसे']
['raajabetike', 'राजबेटीके']
['raagi', 'रागी']
['ruhi', 'रूही']
['rulaayegaa', 'रुलायेगा']
['rahaa', 'राहा']
['raahaa', 'राहा']
['rahaguzara', 'रहगुज़रा']
['raavi', 'रावी']
['rahiye', 'रहिये']
['rakhenge', 'रखेंगे']
['rehguzaron', 'रहगुज़ारों']
['rehguzaaron', 'रहगुज़ारों']
['rahaguzaaron', 'रहगुज़ारों']
['rulaaye', 'रुलाये']
['rijhaauungi', 'रिझाऊँगी']
['rakhti', 'रखती']
['rago', 'रगों']
['ragon', 'रगों']
['roopahali', 'रूपहली']
['ruthane', 'रूठने']
['ruuthane', 'रूठने']
['rakhni', 'रखनी']
['rabad', 'रबड़']
['ragdoge', 'रगड़ोगे']
['rasagulle', 'रसगुल्ले']
['rachaaungi', 'रचाऊँगी']
['rabadi', 'रबड़ी']
['rusvaaiyaan', 'रुस्वाइयाँ']
['ruki', 'रूकी']
['rakhen', 'रखें']
['rahogi', 'रहोगी']
['roomaal', 'रूमाल']
['rumaal', 'रूमाल']
['ruumaal', 'रूमाल']
['ruh', 'रुह']
['rooh', 'रुह']
['rat', 'रत']
['ratt', 'रत']
['rafta', 'रफ़्ता']
['raftaa', 'रफ़्ता']
['rahit', 'रहित']
['rahat', 'रहट']
['rupayon', 'रुपयों']
['rokegi', 'रोकेगी']
['rokegee', 'रोकेगी']
['rasik', 'रसिक']
['riday', 'रिदय']
['raamanaaraayanam', 'रामनारायणम']
['raamachandram', 'रामचंद्रम']
['rahasyam', 'रहस्यम']
['rahabaron', 'रहबरों']
['rulaati', 'रुलाती']
['rulati', 'रुलाती']
['raabaadi', 'राबाड़ी']
['runu', 'रुनु']
['rajeshvar', 'रजेश्वर']
['rahet', 'रहेत']
['rahuungi', 'रहूँगि']
['rahungi', 'रहूँगि']
['raamaji', 'रामजी']
['raamajee', 'रामजी']
['raamji', 'रामजी']
['ruuthuungi', 'रूठूँगी']
['rakhanevaalon', 'रखनेवालों']
['roegi', 'रोएगी']
['royegi', 'रोएगी']
['raliyon', 'रलियों']
['rulaane', 'रुलाने']
['rakhata', 'रखता']
['rakhunga', 'रखूंगा']
['rakhuunga', 'रखूंगा']
['rokoon', 'रोकूं']
['rak', 'रख']
['rukiye', 'रुकिये']
['rukiya', 'रुकिये']
['roopamati', 'रूपमती']
['rupamati', 'रूपमती']
['rulaaengi', 'रुलाएंगी']
['rulaayengee', 'रुलाएंगी']
['rachnewali', 'रचनेवाली']
['rruten', 'रुतें']
['rangaraliyaa', 'रंगरेलियाँ']
['rulaaenge', 'रुलाएंगे']
['rulaayega', 'रुलाएगा']
['rove', 'रोवे']
['ritein', 'रीतें']
['rupaiya', 'रुपया']
['rupaya', 'रुपया']
['rupiya', 'रुपया']
['rafiqon', 'रफ़ीक़ो']
['ravaanagi', 'रवानगी']
['rakhongi', 'रखूँगी']
['rakhungi', 'रखूँगी']
['rishata', 'रिशता']
['ruuthanevaali', 'रूठनेवाली']
['remaga', 'रेमग']
['ramachandra', 'रमचन्द्र']
['riwaaz', 'रिवाज']
['reevaaj', 'रिवाज']
['rasiye', 'रसिये']
['razaamand', 'रज़ामन्द']
['rindaana', 'रिंदाना']
['ranginio', 'रंगीनियों']
['ranginiyon', 'रंगीनियों']
['rahat', 'रहत']
['rehane', 'रेहने']
['rachaao', 'रचाओ']
['rogon', 'रोगों']
['ramaayein', 'रमायें']
['raatin', 'रातीं']
['rondiyaan', 'रोंदियाँ']
['raataan', 'रातां']
['rangarut', 'रंगरूट']
['rangaruut', 'रंगरूट']
['rassi', 'रस्सी']
['romaani', 'रूमानी']
['ravaan', 'रवां']
['raataa', 'राता']
['raftaare', 'रफ़्तारें']
['rotiyaan', 'रोटियाँ']
