['badan', 'बदन']
['belen', 'बेलें']
['bulbule', 'बुलबुले']
['bujhte', 'बुझते']
['bujhate', 'बुझते']
['buzate', 'बुझते']
['bechaare', 'बेचारे']
['bechare', 'बेचारे']
['bante', 'बनते']
['banate', 'बनते']
['bole', 'बोले']
['bhole', 'बोले']
['bhoole', 'बोले']
['boley', 'बोले']
['bholey', 'बोले']
['bhed', 'भेद']
['ban', 'बन']
['bin', 'बन']
['bun', 'बन']
['bula', 'भुला']
['bhulaa', 'भुला']
['bhula', 'भुला']
['bhuul', 'भूल']
['bhul', 'भूल']
['bhula', 'भूल']
['bulaa', 'बुला']
['bula', 'बुला']
['bhula', 'बुला']
['begaanon', 'बेगानों']
['bas', 'बस']
['bus', 'बस']
['baas', 'बस']
['basa', 'बस']
['baar', 'बार']
['bar', 'बार']
['baat', 'बार']
['bada', 'बार']
['baad', 'बार']
['barr', 'बार']
['bata', 'बता']
['bataa', 'बता']
['btaa', 'बता']
['bujhaye', 'बुझाये']
['bujhaaye', 'बुझाये']
['buzaaye', 'बुझाये']
['behoshii', 'बेहोशी']
['behoshi', 'बेहोशी']
['behoshee', 'बेहोशी']
['baahon', 'बाहों']
['baaho', 'बाहों']
['baaahoin', 'बाहों']
['baahen', 'बाहों']
['baho', 'बाहों']
['bahon', 'बाहों']
['baaton', 'बाहों']
['baahoin', 'बाहों']
['baanhon', 'बाहों']
['bahoon', 'बाहों']
['baagon', 'बाहों']
['banhon', 'बाहों']
['bahaon', 'बाहों']
['bijali', 'बिजली']
['bijli', 'बिजली']
['bijalee', 'बिजली']
['bijlee', 'बिजली']
['bijalii', 'बिजली']
['bijlii', 'बिजली']
['baaten', 'बातें']
['baatein', 'बातें']
['baate', 'बातें']
['baithen', 'बातें']
['batein', 'बातें']
['beqaabu', 'बेक़ाबू']
['beqaaboo', 'बेक़ाबू']
['bekaabu', 'बेक़ाबू']
['beqaabuu', 'बेक़ाबू']
['banta', 'बनता']
['banata', 'बनता']
['banataa', 'बनता']
['bunataa', 'बनता']
['baithe', 'बैठे']
['baite', 'बैठे']
['badanaam', 'बदनाम']
['badnaam', 'बदनाम']
['badanaama', 'बदनाम']
['badnam', 'बदनाम']
['badanam', 'बदनाम']
['badh', 'बढ़']
['bad', 'बढ़']
['bade', 'बड़े']
['badhe', 'बड़े']
['batalaa', 'बतला']
['batla', 'बतला']
['batala', 'बतला']
['bataaenge', 'बताएंगे']
['bataayenge', 'बताएंगे']
['band', 'बन्द']
['bandh', 'बन्द']
['bataauun', 'बताऊँ']
['bataun', 'बताऊँ']
['bataayuun', 'बताऊँ']
['bataaoon', 'बताऊँ']
['bataon', 'बताऊँ']
['bathaaun', 'बताऊँ']
['bataaun', 'बताऊँ']
['bataaoo', 'बताऊँ']
['bataoo', 'बताऊँ']
['bataoon', 'बताऊँ']
['battaun', 'बताऊँ']
['badal', 'बदल']
['badul', 'बदल']
['bdal', 'बदल']
['bahakataa', 'बहकता']
['bahakata', 'बहकता']
['bahakta', 'बहकता']
['bahekta', 'बहकता']
['behekta', 'बहकता']
['behakta', 'बहकता']
['bachche', 'बच्चे']
['bacche', 'बच्चे']
['butaauun', 'बुताऊँ']
['buzadil', 'बुज़दिल']
['bebas', 'बेबस']
['bebass', 'बेबस']
['bebus', 'बेबस']
['barabaad', 'बरबाद']
['barbaad', 'बरबाद']
['barbad', 'बरबाद']
['barabad', 'बरबाद']
['barabaada', 'बरबाद']
['banduukon', 'बन्दूकों']
['bhala', 'वाला']
['badhta', 'बढ़ता']
['badta', 'बढ़ता']
['badhata', 'बढ़ता']
['badhataa', 'बढ़ता']
['badhtaa', 'बढ़ता']
['bisraa', 'बिसरा']
['bisara', 'बिसरा']
['bisra', 'बिसरा']
['bablu', 'बबलू']
['bholi', 'भोली']
['bholii', 'भोली']
['boli', 'भोली']
['bhole', 'भोली']
['banke', 'बनके']
['banake', 'बनके']
['beeta', 'बीता']
['beetaa', 'बीता']
['bita', 'बीता']
['biitaa', 'बीता']
['bitaa', 'बीता']
['bachpan', 'बचपन']
['bachapan', 'बचपन']
['bachchpan', 'बचपन']
['biwi', 'बीवी']
['bivi', 'बीवी']
['biivii', 'बीवी']
['beevi', 'बीवी']
['bail', 'बैल']
['bharosa', 'भरोसा']
['bharosaa', 'भरोसा']
['bithaye', 'बिठाये']
['bithaaye', 'बिठाये']
['bitaaye', 'बिठाये']
['baj', 'बज']
['bujhaa', 'बुझा']
['bujha', 'बुझा']
['buzaa', 'बुझा']
['booja', 'बुझा']
['bhuja', 'बुझा']
['buja', 'बुझा']
['bujaa', 'बुझा']
['bin', 'बिन']
['bina', 'बिन']
['bina', 'बिना']
['binaa', 'बिना']
['beshumaar', 'बेशुमार']
['baadalon', 'बादलों']
['baadlon', 'बादलों']
['badaalo', 'बादलों']
['badalo', 'बादलों']
['badalon', 'बादलों']
['baadalo', 'बादलों']
['barkhaa', 'बरखा']
['barkha', 'बरखा']
['barakha', 'बरखा']
['barakhaa', 'बरखा']
['bheege', 'भीगे']
['bhige', 'भीगे']
['bege', 'भीगे']
['bhiige', 'भीगे']
['bujhti', 'बुझती']
['bujhatii', 'बुझती']
['bujhati', 'बुझती']
['baaki', 'बाकी']
['baakii', 'बाकी']
['baakee', 'बाकी']
['baaqi', 'बाकी']
['bakii', 'बाकी']
['bakki', 'बाकी']
['baki', 'बाकी']
['baanhon', 'बाँहों']
['baahon', 'बाँहों']
['banho', 'बाँहों']
['baanhen', 'बाँहों']
['baaho', 'बाँहों']
['bahon', 'बाँहों']
['bhaali', 'भाली']
['bhali', 'भाली']
['bhaalii', 'भाली']
['bhulaana', 'भुलाना']
['bhulaanaa', 'भुलाना']
['bhulana', 'भुलाना']
['badale', 'बदले']
['badle', 'बदले']
['badley', 'बदले']
['bekhudi', 'बेखुदी']
['bekhudee', 'बेखुदी']
['bekhudii', 'बेखुदी']
['bekhudhi', 'बेखुदी']
['badla', 'बदला']
['badala', 'बदला']
['badalaa', 'बदला']
['badlaa', 'बदला']
['bola', 'बोला']
['bolaa', 'बोला']
['beete', 'बीते']
['bite', 'बीते']
['bete', 'बीते']
['biite', 'बीते']
['beeten', 'बीते']
['beetey', 'बीते']
['balam', 'बलम']
['baalam', 'बलम']
['beli', 'बेली']
['bada', 'वादा']
['bairan', 'बैरन']
['balama', 'बलमा']
['balamaa', 'बलमा']
['balmaa', 'बलमा']
['balma', 'बलमा']
['baalamaa', 'बलमा']
['balmaan', 'बलमा']
['baithi', 'बैठी']
['baiti', 'बैठी']
['bairiya', 'बैरिया']
['boond', 'बूँद']
['bund', 'बूँद']
['buund', 'बूँद']
['bache', 'बचे']
['baraf', 'बरफ़']
['banegi', 'बनेगी']
['banegii', 'बनेगी']
['banegee', 'बनेगी']
['bhola', 'भोला']
['bholaa', 'भोला']
['bura', 'बुरा']
['buraa', 'बुरा']
['bhura', 'बुरा']
['burraa', 'बुरा']
['boora', 'बुरा']
['begaana', 'बेगाना']
['begaanaa', 'बेगाना']
['begana', 'बेगाना']
['behgana', 'बेगाना']
['beghaanaa', 'बेगाना']
['bairi', 'बैरी']
['bhari', 'बैरी']
['bairii', 'बैरी']
['baitha', 'बैठा']
['baithaa', 'बैठा']
['baita', 'बैठा']
['beqaraar', 'बेक़रार']
['bekaraar', 'बेक़रार']
['beqraar', 'बेक़रार']
['bekarar', 'बेक़रार']
['beqarar', 'बेक़रार']
['bachi', 'बची']
['bachii', 'बची']
['bhaag', 'भाग']
['bhag', 'भाग']
['baag', 'भाग']
['baink', 'बैंक']
['boot', 'बूट']
['buut', 'बूट']
['botal', 'बोतल']
['bottle', 'बोतल']
['banjaaron', 'बंजारों']
['banjaron', 'बंजारों']
['banjaro', 'बंजारों']
['banaane', 'बनाने']
['banane', 'बनाने']
['baaton', 'बातों']
['baato', 'बातों']
['baton', 'बातों']
['bataoon', 'बातों']
['batoon', 'बातों']
['baatoon', 'बातों']
['bachaayoge', 'बचाओगे']
['bhulaayoge', 'भुलाओगे']
['bhulaoge', 'भुलाओगे']
['bhulaaoge', 'भुलाओगे']
['bandhan', 'बंधन']
['bandan', 'बंधन']
['bulaaya', 'बुलाया']
['bulaayaa', 'बुलाया']
['bulaya', 'बुलाया']
['betaab', 'बेताब']
['betab', 'बेताब']
['banaayenge', 'बनाएँगे']
['basaayenge', 'बसाएँगे']
['basayenge', 'बसाएँगे']
['bahaaron', 'बहारों']
['baharon', 'बहारों']
['baharoon', 'बहारों']
['baharo', 'बहारों']
['bahaaro', 'बहारों']
['bhaaron', 'बहारों']
['base', 'बसे']
['bekarari', 'बेक़रारी']
['beqaraari', 'बेक़रारी']
['beqarari', 'बेक़रारी']
['beqaraarii', 'बेक़रारी']
['beqraari', 'बेक़रारी']
['bekaraari', 'बेक़रारी']
['badalna', 'बदलना']
['badalana', 'बदलना']
['badalanaa', 'बदलना']
['bahalaye', 'बहलाए']
['bahalaae', 'बहलाए']
['behalaaye', 'बहलाए']
['bahalaaye', 'बहलाए']
['bahelaaye', 'बहलाए']
['bahlaaye', 'बहलाए']
['behlaave', 'बहलाए']
['behlaawe', 'बहलाए']
['baitho', 'बैठो']
['beato', 'बैठो']
['bheegi', 'भीगी']
['bhigi', 'भीगी']
['bhiigi', 'भीगी']
['beeigi', 'भीगी']
['bhuule', 'भूले']
['bhule', 'भूले']
['boliye', 'बोलिये']
['baaraha', 'बारहा']
['baarha', 'बारहा']
['bajne', 'बजने']
['bajane', 'बजने']
['basti', 'बस्ती']
['bastii', 'बस्ती']
['basthi', 'बस्ती']
['basegi', 'बसेगी']
['basegee', 'बसेगी']
['bolo', 'बोलो']
['boloe', 'बोलो']
['bemurawwat', 'बेमुरव्वत']
['bemuravvat', 'बेमुरव्वत']
['bismil', 'बिस्मिल']
['barasati', 'बरसती']
['barasatee', 'बरसती']
['barasti', 'बरसती']
['bujhataa', 'बुझता']
['buzataa', 'बुझता']
['bujhata', 'बुझता']
['bujhta', 'बुझता']
['bhuulataa', 'भूलता']
['bhuulata', 'भूलता']
['bhulataa', 'भूलता']
['bhulata', 'भूलता']
['bhuulaane', 'भूलाने']
['bhoolaane', 'भूलाने']
['bahaanaa', 'बहाना']
['bahaana', 'बहाना']
['bahana', 'बहाना']
['bahane', 'बहाना']
['baazii', 'बाज़ी']
['baazi', 'बाज़ी']
['bichhade', 'बिछड़े']
['bichhde', 'बिछड़े']
['bichade', 'बिछड़े']
['bichde', 'बिछड़े']
['bahaataa', 'बहाता']
['bahata', 'बहाता']
['bahaata', 'बहाता']
['bulaataa', 'बुलाता']
['bulaata', 'बुलाता']
['bulata', 'बुलाता']
['bhuliye', 'भूलिए']
['bhuuliye', 'भूलिए']
['bhuulie', 'भूलिए']
['basa', 'बसा']
['basaa', 'बसा']
['bo', 'बो']
['bekhabar', 'बेखबर']
['baad', 'बाद']
['bad', 'बाद']
['baaad', 'बाद']
['barso', 'बरसों']
['barason', 'बरसों']
['barson', 'बरसों']
['baraso', 'बरसों']
['barsoon', 'बरसों']
['bahaya', 'बहाया']
['behaya', 'बहाया']
['baddua', 'बद्दुआ']
['bhai', 'भाई']
['bhaai', 'भाई']
['baaraat', 'बारात']
['baraat', 'बारात']
['baarat', 'बारात']
['barat', 'बारात']
['barsaat', 'बारात']
['baaraata', 'बारात']
['barsaat', 'बरसात']
['barasaat', 'बरसात']
['barsat', 'बरसात']
['bangala', 'बंगला']
['bangla', 'बंगला']
['bangalaa', 'बंगला']
['baadi', 'बाड़ी']
['bhog', 'भोग']
['baadaam', 'बादाम']
['betaabi', 'बेताबी']
['betaabee', 'बेताबी']
['betaabii', 'बेताबी']
['beetabi', 'बेताबी']
['bikhare', 'बिखरे']
['bikhre', 'बिखरे']
['bhikre', 'बिखरे']
['baje', 'बजे']
['bajee', 'बजे']
['bachke', 'बचके']
['bachake', 'बचके']
['bramha', 'ब्रम्हा']
['bichhada', 'बिछड़ा']
['bichhda', 'बिछड़ा']
['bichhadaa', 'बिछड़ा']
['bichda', 'बिछड़ा']
['bahati', 'बहती']
['behti', 'बहती']
['behati', 'बहती']
['behethi', 'बहती']
['bahatii', 'बहती']
['baheti', 'बहती']
['band', 'बंद']
['bund', 'बंद']
['bandh', 'बंद']
['bulaana', 'बुलाना']
['bulaanaa', 'बुलाना']
['bhulana', 'बुलाना']
['bhigega', 'भीगेगा']
['bichhad', 'बिछड़']
['bichad', 'बिछड़']
['bichar', 'बिछड़']
['bhichar', 'बिछड़']
['bhichad', 'बिछड़']
['bitegi', 'बीतेगी']
['beetegi', 'बीतेगी']
['biitegii', 'बीतेगी']
['beetengi', 'बीतेगी']
['baja', 'बजा']
['bajaa', 'बजा']
['baaja', 'बजा']
['baansuri', 'बाँसुरी']
['bansuri', 'बाँसुरी']
['baasuree', 'बाँसुरी']
['baansurii', 'बाँसुरी']
['baansuree', 'बाँसुरी']
['baalam', 'बालम']
['balam', 'बालम']
['baalama', 'बालम']
['baantane', 'बाँतने']
['bhuula', 'भूला']
['bhulaa', 'भूला']
['bhula', 'भूला']
['bhuulaa', 'भूला']
['barf', 'बर्फ़']
['baraf', 'बर्फ़']
['bahata', 'बहता']
['behta', 'बहता']
['baheta', 'बहता']
['bahataa', 'बहता']
['behata', 'बहता']
['bhuumi', 'भूमि']
['bhumi', 'भूमि']
['bahut', 'बहुत']
['bohut', 'बहुत']
['biti', 'बीती']
['beeti', 'बीती']
['biitii', 'बीती']
['beete', 'बीती']
['beti', 'बीती']
['bithi', 'बीती']
['bite', 'बीती']
['bigad', 'बिगड़']
['bighad', 'बिगड़']
['bich', 'बीच']
['beech', 'बीच']
['biich', 'बीच']
['bichh', 'बीच']
['banaaye', 'बनाए']
['banaae', 'बनाए']
['banaye', 'बनाए']
['baahar', 'बाहर']
['bahar', 'बाहर']
['baahr', 'बाहर']
['banaayega', 'बनाएगा']
['banayega', 'बनाएगा']
['bichaari', 'बिचारी']
['bichaaree', 'बिचारी']
['baji', 'बजी']
['bajii', 'बजी']
['beqaraar', 'बेकरार']
['bekarar', 'बेकरार']
['bekaraar', 'बेकरार']
['bekraar', 'बेकरार']
['beqarar', 'बेकरार']
['bolti', 'बोलती']
['bolati', 'बोलती']
['bolatee', 'बोलती']
['bolatii', 'बोलती']
['bechainiyaan', 'बेचैनियां']
['badata', 'बढ़ाता']
['badhaata', 'बढ़ाता']
['badhata', 'बढ़ाता']
['banayi', 'बनाई']
['banaai', 'बनाई']
['banaayi', 'बनाई']
['banai', 'बनाई']
['banaaii', 'बनाई']
['buraai', 'बुराई']
['burayi', 'बुराई']
['buraayi', 'बुराई']
['buraaii', 'बुराई']
['baheki', 'बहकी']
['behki', 'बहकी']
['bahaki', 'बहकी']
['bahakii', 'बहकी']
['behaki', 'बहकी']
['bahki', 'बहकी']
['beheki', 'बहकी']
['bhekhi', 'बहकी']
['bikhraaye', 'बिखराये']
['bikhrayee', 'बिखराये']
['bikharaaye', 'बिखराये']
['banaaye', 'बनाये']
['banaye', 'बनाये']
['baarish', 'बारिश']
['barish', 'बारिश']
['baithen', 'बैठें']
['baithein', 'बैठें']
['bolna', 'बोलना']
['bolana', 'बोलना']
['bolein', 'बोलें']
['bolen', 'बोलें']
['bole', 'बोलें']
['bichhadte', 'बिछड़ते']
['bichadte', 'बिछड़ते']
['bichhadate', 'बिछड़ते']
['bikhri', 'बिखरी']
['bikhari', 'बिखरी']
['bihkri', 'बिखरी']
['bhuje', 'बुझे']
['bhuj', 'बुझे']
['bujhe', 'बुझे']
['bujhey', 'बुझे']
['buze', 'बुझे']
['bahaaren', 'बहारें']
['bahaare', 'बहारें']
['bahaarein', 'बहारें']
['baharein', 'बहारें']
['baharen', 'बहारें']
['badhate', 'बढ़ते']
['badhte', 'बढ़ते']
['badthe', 'बढ़ते']
['badte', 'बढ़ते']
['binati', 'बिनती']
['binatii', 'बिनती']
['binti', 'बिनती']
['bolungi', 'बोलूँगी']
['boloongi', 'बोलूँगी']
['boluungi', 'बोलूँगी']
['bekasi', 'बेकसी']
['bhulaane', 'भुलाने']
['bhulane', 'भुलाने']
['bande', 'बन्दे']
['bhes', 'भेस']
['bansi', 'बंसी']
['bansee', 'बंसी']
['bansii', 'बंसी']
['barabaadiyon', 'बरबादियों']
['barbaadiyon', 'बरबादियों']
['bhuli', 'भूली']
['bhuuli', 'भूली']
['basaayaa', 'बसाया']
['basaaya', 'बसाया']
['basaya', 'बसाया']
['bisaraai', 'बिसराई']
['bisaraayi', 'बिसराई']
['bulabuliya', 'बुलबुलिया']
['bikata', 'बिकता']
['bikataa', 'बिकता']
['bikta', 'बिकता']
['boli', 'बोली']
['bolii', 'बोली']
['bole', 'बोली']
['bolee', 'बोली']
['bandon', 'बन्दों']
['bike', 'बिके']
['bij', 'बीज']
['beej', 'बीज']
['bichha', 'बिछा']
['bichhaa', 'बिछा']
['bicha', 'बिछा']
['bichhaaye', 'बिछाये']
['bichhaye', 'बिछाये']
['bichaaye', 'बिछाये']
['bichayen', 'बिछाये']
['bujhegi', 'बुझेगी']
['bhujegi', 'बुझेगी']
['baavariya', 'बावरिया']
['baawariyaa', 'बावरिया']
['baavariyaa', 'बावरिया']
['bavariyaa', 'बावरिया']
['bainyaan', 'बैंयां']
['baiyan', 'बैंयां']
['bol', 'बोल']
['bola', 'बोल']
['bole', 'बोल']
['bolu', 'बोल']
['bhoole', 'बोल']
['bolo', 'बोल']
['banana', 'बनाना']
['banaana', 'बनाना']
['banaanaa', 'बनाना']
['bahana', 'बनाना']
['besabab', 'बेसबब']
['bankar', 'बनकर']
['banakar', 'बनकर']
['bithaake', 'बिठाके']
['baalon', 'बालों']
['baalo', 'बालों']
['bindiya', 'बिंदिया']
['bindiyaa', 'बिंदिया']
['bindia', 'बिंदिया']
['beet', 'बीत']
['biit', 'बीत']
['bit', 'बीत']
['bhee', 'बीत']
['balam', 'बालाम']
['baalam', 'बालाम']
['bharose', 'भरोसे']
['bastiyaan', 'बस्तियाँ']
['badha', 'बढ़ा']
['bada', 'बढ़ा']
['badhaa', 'बढ़ा']
['bezabaan', 'बेज़बाँ']
['behalaana', 'बहलाना']
['bahalaana', 'बहलाना']
['behlaana', 'बहलाना']
['behelana', 'बहलाना']
['bulbul', 'बुलबुल']
['bulabul', 'बुलबुल']
['bolat', 'बोलत']
['baaje', 'बाजे']
['bajane', 'बाजे']
['baje', 'बाजे']
['bhagwan', 'भगवान']
['bhagavaan', 'भगवान']
['bhagawaan', 'भगवान']
['bhagvaan', 'भगवान']
['bhagwaan', 'भगवान']
['baap', 'बाप']
['baapu', 'बाप']
['baithke', 'बैठके']
['bataana', 'बताना']
['bataanaa', 'बताना']
['batana', 'बताना']
['bunti', 'बुनती']
['bunati', 'बुनती']
['bujurgon', 'बुजुर्गों']
['buzurgon', 'बुजुर्गों']
['baantate', 'बाँटते']
['bachaaye', 'बचाए']
['bachaye', 'बचाए']
['bachaae', 'बचाए']
['bevafaai', 'बेवफ़ाई']
['bewafaai', 'बेवफ़ाई']
['bewafaee', 'बेवफ़ाई']
['bewafai', 'बेवफ़ाई']
['bewafaayi', 'बेवफ़ाई']
['bewafayi', 'बेवफ़ाई']
['bevafaaii', 'बेवफ़ाई']
['bevafaayi', 'बेवफ़ाई']
['baaba', 'बाबा']
['baba', 'बाबा']
['baabaa', 'बाबा']
['badhi', 'बढ़ी']
['badi', 'बढ़ी']
['bekraari', 'बेकरारी']
['bekaraari', 'बेकरारी']
['beqaraari', 'बेकरारी']
['bekarari', 'बेकरारी']
['bekaaraari', 'बेकरारी']
['bekaraarii', 'बेकरारी']
['beqaraarii', 'बेकरारी']
['beqaabu', 'बेकाबू']
['bekaabu', 'बेकाबू']
['bekaaboo', 'बेकाबू']
['bulaane', 'बुलाने']
['bulane', 'बुलाने']
['bootaa', 'बूटा']
['boota', 'बूटा']
['butaa', 'बूटा']
['baandhege', 'बाँधेंगे']
['baandhenge', 'बाँधेंगे']
['bichhaye', 'बिछाए']
['bichaaye', 'बिछाए']
['bichhaaye', 'बिछाए']
['bichhaae', 'बिछाए']
['bekararon', 'बेक़रारों']
['beqaraaron', 'बेक़रारों']
['beqararon', 'बेक़रारों']
['bade', 'बढ़े']
['badhe', 'बढ़े']
['banavaari', 'बनवारी']
['banawaari', 'बनवारी']
['banawaarii', 'बनवारी']
['baanhen', 'बाँहें']
['baahein', 'बाँहें']
['baanhein', 'बाँहें']
['baahe', 'बाँहें']
['baahen', 'बाँहें']
['bahen', 'बाँहें']
['bhaage', 'भागे']
['bujhaaya', 'बुझाया']
['bujhaayaa', 'बुझाया']
['bekaar', 'बेकार']
['baykar', 'बेकार']
['bekar', 'बेकार']
['bhulaayaa', 'भुलाया']
['bhulaaya', 'भुलाया']
['bhulaya', 'भुलाया']
['bigadtee', 'बिगड़ती']
['bigadatii', 'बिगड़ती']
['bigadati', 'बिगड़ती']
['bigadti', 'बिगड़ती']
['behad', 'बेहद']
['bataaye', 'बताये']
['baali', 'बाली']
['balee', 'बाली']
['baalii', 'बाली']
['baalee', 'बाली']
['bali', 'बाली']
['baamulaahija', 'बामुलाहिजा']
['bararue', 'बररुए']
['bala', 'बला']
['balaa', 'बला']
['bhalaa', 'बला']
['bhala', 'बला']
['bujhaakar', 'बुझाकर']
['bujhakar', 'बुझाकर']
['bhaarat', 'भारत']
['baat', 'भारत']
['bharat', 'भारत']
['bahrat', 'भारत']
['bhaagy', 'भाग्य']
['bang', 'बंग']
['begunaahee', 'बेगुनाही']
['begunaahi', 'बेगुनाही']
['be', 'बे']
['baha', 'बहा']
['bahaa', 'बहा']
['beemaar', 'बीमार']
['biimaar', 'बीमार']
['bimaar', 'बीमार']
['baarood', 'बारूद']
['baaruud', 'बारूद']
['barood', 'बारूद']
['baisaakhi', 'बैसाखी']
['baisakhi', 'बैसाखी']
['baazaaron', 'बाज़ारों']
['bazaaron', 'बाज़ारों']
['bik', 'बिक']
['baandhe', 'बाँधे']
['bandhe', 'बाँधे']
['bata', 'बत']
['bulaaye', 'बुलाए']
['bulaye', 'बुलाए']
['bulaae', 'बुलाए']
['bulae', 'बुलाए']
['banaatii', 'बनाती']
['banaati', 'बनाती']
['badhati', 'बढ़ती']
['badhti', 'बढ़ती']
['badti', 'बढ़ती']
['bigade', 'बिगड़े']
['bigde', 'बिगड़े']
['bachaake', 'बचाके']
['badhakar', 'बढ़कर']
['badhkar', 'बढ़कर']
['bachoge', 'बचोगे']
['badon', 'बड़ों']
['bado', 'बड़ों']
['bhaari', 'भारी']
['bari', 'भारी']
['bhari', 'भारी']
['bhaarii', 'भारी']
['baari', 'भारी']
['baati', 'बाती']
['baatii', 'बाती']
['bati', 'बाती']
['baatee', 'बाती']
['banti', 'बनती']
['banati', 'बनती']
['banatii', 'बनती']
['bujhaae', 'बुझाए']
['bujhaaye', 'बुझाए']
['badgumaan', 'बदगुमां']
['buri', 'बुरी']
['buree', 'बुरी']
['burri', 'बुरी']
['burii', 'बुरी']
['baandhe', 'बांधे']
['baandhee', 'बांधे']
['banaake', 'बनाके']
['banake', 'बनाके']
['batiyaan', 'बतियाँ']
['batiyaa', 'बतियाँ']
['batiyan', 'बतियाँ']
['bateyaan', 'बतियाँ']
['banaay', 'बनाय']
['bhole', 'भोले']
['badalne', 'भोले']
['bhaale', 'भाले']
['bhale', 'भाले']
['bainya', 'बैंया']
['bainyaa', 'बैंया']
['baiya', 'बैंया']
['baiyaa', 'बैंया']
['baaiya', 'बैंया']
['bainyya', 'बैंया']
['baag', 'बाग़']
['baras', 'बरस']
['barasein', 'बरसें']
['barasen', 'बरसें']
['barse', 'बरसें']
['bhaadon', 'भादों']
['bhaado', 'भादों']
['biraaje', 'बिराजे']
['bahaaye', 'बहाये']
['bahalaayuun', 'बहलाऊँ']
['bahlaaoon', 'बहलाऊँ']
['bahalaaoon', 'बहलाऊँ']
['but', 'बुत']
['badlane', 'बदलने']
['badalane', 'बदलने']
['badalne', 'बदलने']
['buund', 'बूंद']
['boond', 'बूंद']
['beti', 'बेटी']
['betii', 'बेटी']
['bhulaaye', 'भुलाए']
['bhulaae', 'भुलाए']
['bhagiyan', 'बगियन']
['bagiyan', 'बगियन']
['barasegi', 'बरसेगी']
['barasegee', 'बरसेगी']
['barsegi', 'बरसेगी']
['baagon', 'बाग़ों']
['baaghon', 'बाग़ों']
['bhanvaron', 'भँवरों']
['bahnwaron', 'भँवरों']
['bhanwaron', 'भँवरों']
['baandh', 'बाँध']
['bandh', 'बाँध']
['baand', 'बाँध']
['bhand', 'बाँध']
['band', 'बाँध']
['bhuulega', 'भूलेगा']
['bhoolega', 'भूलेगा']
['bhulega', 'भूलेगा']
['banaakar', 'बनाकर']
['banakar', 'बनाकर']
['banaayaa', 'बनाया']
['banaya', 'बनाया']
['banaaya', 'बनाया']
['banayaaa', 'बनाया']
['bhaayaa', 'बनाया']
['begaana', 'बेगान']
['bhanvar', 'भँवर']
['bhanwar', 'भँवर']
['bigadi', 'बिगड़ी']
['bigadii', 'बिगड़ी']
['bighdi', 'बिगड़ी']
['bigdi', 'बिगड़ी']
['bigde', 'बिगड़ी']
['bhigdi', 'बिगड़ी']
['bekas', 'बेकस']
['bikhraa', 'बिखरा']
['bikhara', 'बिखरा']
['bhikra', 'बिखरा']
['bikhra', 'बिखरा']
['bikharaa', 'बिखरा']
['boondo', 'बूँदों']
['boondon', 'बूँदों']
['buundon', 'बूँदों']
['bundon', 'बूँदों']
['bekhudi', 'बेख़ुदी']
['bekudi', 'बेख़ुदी']
['bekudii', 'बेख़ुदी']
['basaaye', 'बसाएँ']
