['ghula', 'घुला']
['ghabaraye', 'घबराये']
['gunaah', 'गुनाह']
['gunaaha', 'गुनाह']
['gunah', 'गुनाह']
['gul', 'गुल']
['gool', 'गुल']
['giraye', 'गिराए']
['giraaye', 'गिराए']
['giraae', 'गिराए']
['giridhar', 'गिरिधर']
['garebaan', 'गरेबाँ']
['ghadiyaan', 'घड़ियाँ']
['ghadiyan', 'घड़ियाँ']
['ghadiya', 'घड़ियाँ']
['gadiyan', 'घड़ियाँ']
['gadiyaan', 'घड़ियाँ']
['garadan', 'गरदन']
['gardan', 'गरदन']
['gardn', 'गरदन']
['gusse', 'ग़ुस्से']
['guzar', 'गुज़र']
['guzaare', 'गुज़ारे']
['guzare', 'गुज़ारे']
['guzaaren', 'गुज़ारे']
['gariib', 'ग़रीब']
['garib', 'ग़रीब']
['gairon', 'ग़ैरों']
['gairo', 'ग़ैरों']
['ghairon', 'ग़ैरों']
['gaana', 'गाना']
['gana', 'गाना']
['gaanaa', 'गाना']
['gawaara', 'गवारा']
['gavaaraa', 'गवारा']
['gawaaraa', 'गवारा']
['gavara', 'गवारा']
['gavaara', 'गवारा']
['gawara', 'गवारा']
['ganwaaraa', 'गवारा']
['ganwara', 'गवारा']
['gair', 'ग़ैर']
['gujaraat', 'गुजरात']
['gujarat', 'गुजरात']
['gumaan', 'ग़ुमां']
['gharon', 'घरों']
['guzarata', 'गुज़रता']
['guzarataa', 'गुज़रता']
['guzarta', 'गुज़रता']
['guzartha', 'गुज़रता']
['goli', 'गोली']
['golii', 'गोली']
['gussaa', 'गुस्सा']
['gussa', 'गुस्सा']
['gudagudaae', 'गुदगुदाए']
['gudagudaaye', 'गुदगुदाए']
['gussa', 'ग़ुस्सा']
['gussaa', 'ग़ुस्सा']
['gir', 'गिर']
['gira', 'गिर']
['ghir', 'गिर']
['gin', 'गिन']
['gaddaaron', 'गद्दारों']
['gaddaro', 'गद्दारों']
['gulmohar', 'गुलमोहर']
['gulamohar', 'गुलमोहर']
['ghabaraaya', 'घबराया']
['ghabaraayaa', 'घबराया']
['ghabaraya', 'घबराया']
['gaaya', 'गाया']
['gaayaa', 'गाया']
['gaya', 'गाया']
['gher', 'घेर']
['giraay', 'गिराय']
['gulasitaan', 'गुलसिताँ']
['gulsitan', 'गुलसिताँ']
['gulsita', 'गुलसिताँ']
['gaao', 'गाओ']
['gaawo', 'गाओ']
['gaafil', 'गाफ़िल']
['guunje', 'गूंजे']
['gunje', 'गूंजे']
['gopiyon', 'गोपियों']
['gala', 'गला']
['ga', 'ग']
['g', 'ग']
['geeton', 'गीतों']
['giton', 'गीतों']
['giiton', 'गीतों']
['geeto', 'गीतों']
['ghataaon', 'घटाओं']
['ghataoon', 'घटाओं']
['ghataon', 'घटाओं']
['gataon', 'घटाओं']
['gaharaaiyaan', 'गहराइयाँ']
['gulaab', 'गुलाब']
['gulab', 'गुलाब']
['guzarati', 'गुज़रती']
['guzaratii', 'गुज़रती']
['guzarti', 'गुज़रती']
['guzarthi', 'गुज़रती']
['gaafil', 'ग़ाफ़िल']
['ghirakar', 'गिरकर']
['girakar', 'गिरकर']
['ghabaraataa', 'घबराता']
['ghabaraata', 'घबराता']
['ghabraata', 'घबराता']
['ghabraataa', 'घबराता']
['ghabrata', 'घबराता']
['guladasta', 'गुलदस्ता']
['guladastaa', 'गुलदस्ता']
['guldasta', 'गुलदस्ता']
['gaad', 'गाड़']
['gholiya', 'घोलिया']
['gholiyaa', 'घोलिया']
['gulsitaan', 'गुल्सिताँ']
['gulabadan', 'गुलबदन']
['gulbadan', 'गुलबदन']
['guzarengi', 'गुज़रेंगी']
['guzrengi', 'गुज़रेंगी']
['ganda', 'गंदा']
['ghutne', 'घुटने']
['ghutane', 'घुटने']
['gusse', 'गुस्से']
['gilaas', 'गिलास']
['guzaari', 'गुज़ारी']
['guzari', 'गुज़ारी']
['goriya', 'गोरिया']
['goriyaa', 'गोरिया']
['ghuma', 'घुमा']
['guru', 'गुरु']
['ghut', 'घुट']
['goriye', 'गोरिये']
['gareebon', 'गरीबों']
['garibon', 'गरीबों']
['gariibon', 'गरीबों']
['girata', 'गिरता']
['girthaa', 'गिरता']
['girtaa', 'गिरता']
['girta', 'गिरता']
['girataa', 'गिरता']
['gunhaagaar', 'गुनहगार']
['gunahagaar', 'गुनहगार']
['gumaan', 'गुमां']
['ghumaan', 'गुमां']
['gumaa', 'गुमां']
['garam', 'गरम']
['garm', 'गरम']
['garami', 'गरमी']
['garmi', 'गरमी']
['garamii', 'गरमी']
['gujaraati', 'गुजराती']
['gujrati', 'गुजराती']
['gharavaalon', 'घरवालों']
['gharawalon', 'घरवालों']
['gharwaalon', 'घरवालों']
['ghus', 'घुस']
['gholo', 'घोलो']
['ghaav', 'घाव']
['ghanashyaam', 'घनश्याम']
['ghanashyam', 'घनश्याम']
['ghanshaam', 'घनश्याम']
['gairon', 'गैरों']
['garm', 'गर्म']
['garma', 'गर्म']
['garam', 'गर्म']
['gadi', 'गड़ी']
['gadabad', 'गड़बड़']
['gadbad', 'गड़बड़']
['gudagudi', 'गुदगुदी']
['galiyan', 'गलियन']
['gharvaale', 'घर्वाले']
['gita', 'गीता']
['geeta', 'गीता']
['gitaa', 'गीता']
['gaaye', 'गाए']
['gaye', 'गाए']
['gaae', 'गाए']
['guzri', 'गुज़री']
['guzari', 'गुज़री']
['guzarii', 'गुज़री']
['gubaar', 'ग़ुबार']
['ghobaar', 'ग़ुबार']
['guzaraa', 'गुज़रा']
['guzra', 'गुज़रा']
['guzara', 'गुज़रा']
['gum', 'गुम']
['goom', 'गुम']
['gumn', 'गुम']
['garbe', 'गरबे']
['gaayenge', 'जायेंगे']
['giraana', 'गिराना']
['girana', 'गिराना']
['gaate', 'गाते']
['gate', 'गाते']
['gahtey', 'गाते']
['gesu', 'गेसु']
['girati', 'गिरती']
['girti', 'गिरती']
['gulaabon', 'गुलाबों']
['gulabo', 'गुलाबों']
['guzaaruun', 'ग़ुज़ारूँ']
['giilaa', 'गीला']
['geela', 'गीला']
['gila', 'गीला']
['gizaa', 'गिज़ा']
['ginakar', 'गिनकर']
['gehna', 'गहना']
['gahanaa', 'गहना']
['gahana', 'गहना']
['gehanaa', 'गहना']
['gehnaa', 'गहना']
['ganvaana', 'गँवाना']
['ganvaanaa', 'गँवाना']
['gawaana', 'गँवाना']
['ganvana', 'गँवाना']
['ghabara', 'घबरा']
['ghabhra', 'घबरा']
['giraaye', 'गिराये']
['gurbat', 'गुरबत']
['gulloo', 'गुलों']
['gulon', 'गुलों']
['garibi', 'ग़रीबी']
['gherti', 'घेरती']
['gehraiyon', 'गहराइयों']
['gaharaaiyon', 'गहराइयों']
['gaharaeeyon', 'गहराइयों']
['gulazaar', 'गुलज़ार']
['gulzaar', 'गुलज़ार']
['gulzar', 'गुलज़ार']
['gulazaara', 'गुलज़ार']
['gahare', 'गहरे']
['gaihre', 'गहरे']
['gehre', 'गहरे']
['gehare', 'गहरे']
['ghota', 'गोता']
['girayi', 'गिराईं']
['giraayi', 'गिराईं']
['gheraav', 'घेराव']
['gard', 'गर्द']
['ghutan', 'घुटन']
['gaagar', 'गागर']
['gaaun', 'गाऊँ']
['gaauun', 'गाऊँ']
['gaayuun', 'गाऊँ']
['gaaoon', 'गाऊँ']
['gaoon', 'गाऊँ']
['gaaoun', 'गाऊँ']
['guzare', 'ग़ुज़रे']
['guzre', 'ग़ुज़रे']
['guzarate', 'गुज़रते']
['guzarte', 'गुज़रते']
['gagari', 'गगरी']
['ghagri', 'गगरी']
['gaave', 'गावे']
['guzar', 'ग़ुज़र']
['gam', 'गम']
['ghatiya', 'घटिया']
['gananaayak', 'गणनायक']
['gaavo', 'गावो']
['giraaya', 'गिराया']
['giraya', 'गिराया']
['ghataaen', 'घटाएं']
['ganimat', 'गनीमत']
['goomsum', 'गुमसुम']
['gumasum', 'गुमसुम']
['gumsum', 'गुमसुम']
['ghumsum', 'गुमसुम']
['ghulami', 'ग़ुलामी']
['gulaami', 'ग़ुलामी']
['ghulaami', 'ग़ुलामी']
['gaaunga', 'गाऊँगा']
['gaayuunga', 'गाऊँगा']
['gaayen', 'गाएं']
['gaaen', 'गाएं']
['gubbaara', 'गुब्बारा']
['ghuumen', 'घूमें']
['ghutataa', 'घुटता']
['ghutata', 'घुटता']
['ghuthta', 'घुटता']
['gagariya', 'गगरिया']
['ghagariyaa', 'गगरिया']
['gagariyaa', 'गगरिया']
['girahbaan', 'गिरह्बां']
['ghol', 'घोल']
['gesu', 'गेसू']
['gesuu', 'गेसू']
['gesoo', 'गेसू']
['gul', 'ग़ुल']
['gajre', 'गजरे']
['gajare', 'गजरे']
['ghabaraae', 'घबराए']
['gun', 'गुन']
['gaaun', 'गुन']
['guun', 'गुन']
['gholen', 'घोलें']
['ghabaraoo', 'घबराऊँ']
['ghabaraauun', 'घबराऊँ']
['ghabaraaun', 'घबराऊँ']
['gaandhi', 'गाँधी']
['gandhi', 'गाँधी']
['gardan', 'गर्दन']
['garadan', 'गर्दन']
['garazane', 'गरज़ने']
['gahane', 'गहने']
['gahene', 'गहने']
['gehane', 'गहने']
['galiyaam', 'गलियां']
['galiyaan', 'गलियां']
['galiyaa', 'गलियां']
['galiyan', 'गलियां']
['gunii', 'गुनी']
['guni', 'गुनी']
['guri', 'गुरी']
['gauri', 'गुरी']
['gopaal', 'गोपाल']
['gopaala', 'गोपाल']
['gaay', 'गाय']
['gammat', 'गम्मत']
['gaayenge', 'गायेंगे']
['gaaenge', 'गायेंगे']
['gustaakh', 'गुस्ताख']
['gino', 'गिनो']
['garaje', 'गरजे']
['garajke', 'गरजे']
['garje', 'गरजे']
['girah', 'गिरह']
['giraha', 'गिरह']
['gungunaane', 'गुनगुनाने']
['gunagunaane', 'गुनगुनाने']
['gunaane', 'गुनगुनाने']
['gungunaate', 'गुनगुनाते']
['gungunate', 'गुनगुनाते']
['gunagunaate', 'गुनगुनाते']
['gaayein', 'गायें']
['gaayen', 'गायें']
['gayen', 'गायें']
['gaaye', 'गायें']
['gaaein', 'गायें']
['gajar', 'गजर']
['gungunati', 'गुनगुनाती']
['gungunaati', 'गुनगुनाती']
['gunagunaati', 'गुनगुनाती']
['gunaati', 'गुनगुनाती']
['goongunati', 'गुनगुनाती']
['gunati', 'गुनगुनाती']
['galiyaan', 'गलियाँ']
['galiya', 'गलियाँ']
['galiyan', 'गलियाँ']
['gumaan', 'ग़ुमाँ']
['ghumaan', 'ग़ुमाँ']
['gaaein', 'गाएँ']
['gaaye', 'गाएँ']
['gaayen', 'गाएँ']
['gaaen', 'गाएँ']
['gaauungaa', 'गाऊंगा']
['gaaungaa', 'गाऊंगा']
['gaanam', 'गानम']
['garib', 'गरीब']
['gareeb', 'गरीब']
['gariib', 'गरीब']
['gharbaar', 'घरबार']
['gharabaar', 'घरबार']
['ghatega', 'घटेगा']
['gali', 'गाली']
['gaali', 'गाली']
['gaalii', 'गाली']
['gile', 'गिले']
['gaaliyaan', 'गालियाँ']
['gudgudaake', 'गुदगुदाके']
['gumshuda', 'गुमशुदा']
['guftagu', 'गुफ्तगू']
['get', 'गेट']
['gujarata', 'गुजरता']
['gum', 'घूम']
['go', 'गो']
['ghunt', 'घूँट']
['ghoont', 'घूँट']
['ganj', 'गंज']
['garaj', 'गरज']
['ghaanv', 'घानव']
['galiyonme', 'गलियोनमे']
['gujar', 'गुजर']
['guzar', 'गुजर']
['girl', 'गर्ल']
['ghana', 'घाना']
['ganah', 'घाना']
['gawacha', 'गवाचा']
['gavaacha', 'गवाचा']
['gallaan', 'गल्लां']
['gallan', 'गल्लां']
['gur', 'गुर']
['ganne', 'गन्ने']
['gidha', 'गिधा']
['ghadri', 'घाद्री']
['girade', 'गिरादे']
['gham', 'घाम']
['ghaam', 'घाम']
['gunjate', 'गूंजते']
['goonjte', 'गूंजते']
['gaath', 'गात']
['gaat', 'गात']
['guhaar', 'गुहार']
['gaayab', 'गायब']
['gunjengi', 'गूंजेंगी']
['girti', 'गिर्ति']
['giraakar', 'गिराकर']
['girakar', 'गिराकर']
['gesuon', 'गेसुओं']
['gungunayegi', 'गुनगुनायेगी']
['gaz', 'गज़']
['gulaab', 'ग़ुलाब']
['gardishen', 'गर्दिशें']
['gardishein', 'गर्दिशें']
['goyaa', 'गोया']
['goya', 'गोया']
['gaar', 'गार']
['gajaron', 'गजरों']
['gareebon', 'ग़रीबों']
['gariibon', 'ग़रीबों']
['garibon', 'ग़रीबों']
['gharibon', 'ग़रीबों']
['garajtaa', 'गरजता']
['garajataa', 'गरजता']
['ghabaraanaa', 'घबराना']
['ghabrana', 'घबराना']
['ghabraanaa', 'घबराना']
['ghabaraana', 'घबराना']
['ghabarana', 'घबराना']
['gabrana', 'घबराना']
['gol', 'गोल']
['ghera', 'घेरा']
['gheraa', 'घेरा']
['ghoda', 'घोड़ा']
['ghodaa', 'घोड़ा']
['goda', 'घोड़ा']
['gayiin', 'गयीं']
['gayin', 'गयीं']
['goonjegi', 'गूंजेगी']
['ghulaam', 'ग़ुलाम']
['gulaam', 'ग़ुलाम']
['guzaare', 'ग़ुज़ारे']
['galavaa', 'गलवा']
['girate', 'गिरते']
['girte', 'गिरते']
['gokul', 'गोकुल']
['guzaaren', 'गुज़ारें']
['guzaarein', 'गुज़ारें']
['guzarana', 'गुज़रना']
['gurzarna', 'गुज़रना']
['guzarna', 'गुज़रना']
['guzaranaa', 'गुज़रना']
['garmaatii', 'गर्माती']
['garmaati', 'गर्माती']
['ghum', 'घुम']
['gangaajal', 'गंगाजल']
['ghotaala', 'घोटाला']
['ghotaalaa', 'घोटाला']
['ghotala', 'घोटाला']
['gvaalaa', 'ग्वाला']
['gudiyaan', 'गुड़ियाँ']
['gudiya', 'गुड़ियाँ']
['gunjan', 'गुंजन']
['ganvaai', 'गँवाई']
['ganwaai', 'गँवाई']
['ghabaraavat', 'घबरावत']
['gulabon', 'ग़ुलाबों']
['guzari', 'ग़ुज़री']
['guruuji', 'गुरूजी']
['ghabadaana', 'घबड़ाना']
['gavaayen', 'गवायेँ']
['gaariyaan', 'गारियाँ']
['gavaalin', 'गवालिन']
['gulaabi', 'गुलाबि']
['gayo', 'गयो']
['gujare', 'गुजरे']
['giraayen', 'गिराएं']
['galat', 'गलत']
['gudiyo', 'गुड़ियों']
['gudiyon', 'गुड़ियों']
['gurur', 'गुरुर']
['gulu', 'गुलू']
['gumaan', 'गुमाँ']
['ghumaan', 'गुमाँ']
['gulfaam', 'गुल्फ़ाम']
['gup', 'गुप']
['gulfaam', 'गुलफ़ाम']
['gulafaam', 'गुलफ़ाम']
['garaza', 'गरज़ा']
['gulistaan', 'गुलिस्तां']
['gosheeda', 'गोशीदा']
['gautam', 'गौतम']
['gunaahon', 'गुनाहों']
['gunahon', 'गुनाहों']
['guzarenge', 'गुज़रेंगे']
['guruur', 'ग़ुरूर']
['ghurur', 'ग़ुरूर']
['gurur', 'ग़ुरूर']
['gharavaali', 'घरवाली']
['gharvaali', 'घरवाली']
['gharwali', 'घरवाली']
['gharwaali', 'घरवाली']
['garmiyon', 'गर्मियों']
['gharmiyon', 'गर्मियों']
['ghup', 'घुप']
['giraftaar', 'गिरफ़्तार']
['gunzaar', 'गुन्ज़ार']
['galla', 'गल्ला']
['ghungharaali', 'घुँघराली']
['guzaaruun', 'गुज़ारूँ']
['guzaroon', 'गुज़ारूँ']
['ghabaraake', 'घबराके']
['ghabraake', 'घबराके']
['ghabhraake', 'घबराके']
['ghabaraayega', 'घबराएगा']
['ghabarayegaa', 'घबराएगा']
['garaz', 'गरज़']
['gunehagaar', 'गुनेहगार']
['ghanere', 'घनेरे']
['gaayi', 'गाई']
['gaai', 'गाई']
['guzaregi', 'गुज़रेगी']
['guzregi', 'गुज़रेगी']
['gujaregi', 'गुज़रेगी']
['guzaregii', 'गुज़रेगी']
['guncha', 'ग़ुँचा']
['gunchaa', 'ग़ुँचा']
['gaale', 'गाले']
['gubar', 'गुबार']
['ghubaar', 'गुबार']
['gubaar', 'गुबार']
['ghobaar', 'गुबार']
['gaaz', 'गाज़']
['ghule', 'घुले']
['ghuley', 'घुले']
['giraje', 'गिरजे']
['gairaaj', 'गैराज']
['gobhi', 'गोभी']
['gobi', 'गोभी']
['ganvaaye', 'गँवाये']
['gungaa', 'गूंगा']
['gila', 'गिल']
['ghuti', 'घुटी']
['gaaun', 'गाऊं']
['gulsita', 'गुल्सिता']
['gulsitaan', 'गुल्सिता']
['gudgudi', 'गुद्गुदी']
['ghabaraane', 'घबराने']
['gay', 'गय']
['gunaahon', 'ग़ुनाहों']
['gunchaa', 'गुंचा']
['guncha', 'गुंचा']
['ghumana', 'घुमाना']
['guzarin', 'गुज़रीं']
['guzareen', 'गुज़रीं']
['ganvaaya', 'गंवाया']
['gajab', 'गजब']
['gal', 'गल']
['gavaan', 'गवां']
['gaam', 'गाम']
['ghaneri', 'घनेरी']
['ghanerii', 'घनेरी']
['garadish', 'गरदिश']
['gardhish', 'गरदिश']
['galti', 'गलती']
['galati', 'गलती']
['ghoomate', 'घूमते']
['ghoomte', 'घूमते']
['ghumte', 'घूमते']
['goomte', 'घूमते']
['gata', 'घटा']
['guzrenge', 'गुजरेंगे']
['ghulenge', 'घुलेंगे']
['gavaahi', 'गवाही']
['gawaahi', 'गवाही']
['gavaahii', 'गवाही']
['ghusat', 'घुसत']
['ghodi', 'घोड़ी']
['ghar', 'घोड़ी']
['ghas', 'घास']
['ganvaaya', 'गँवाया']
['gungunaoge', 'गुनगुनाओगे']
['gunagunaoge', 'गुनगुनाओगे']
['ghaaten', 'घातें']
['gopala', 'गोपाला']
['gopaalaa', 'गोपाला']
['gopaala', 'गोपाला']
['gulami', 'गुलामी']
['ghulami', 'गुलामी']
['gulaami', 'गुलामी']
['gulaamii', 'गुलामी']
['ghulaami', 'गुलामी']
['gum', 'ग़ुम']
['ghum', 'ग़ुम']
['girjon', 'गिर्जों']
['ghute', 'घुटे']
['gava', 'गवा']
['gavaa', 'गवा']
['gorie', 'गोरिए']
['goriye', 'गोरिए']
['goroor', 'गरूर']
['gurur', 'गरूर']
['guroor', 'गुरूर']
['guruur', 'गुरूर']
['gurur', 'गुरूर']
['gunchaa', 'गुँचा']
['guncha', 'गुँचा']
['gharaana', 'घराना']
['ganpati', 'गणपति']
['gupachup', 'गुपचुप']
['gupchup', 'गुपचुप']
['gumaan', 'ग़ुमान']
['gagar', 'गगर']
['gujariya', 'गुजरिया']
['gujariyaa', 'गुजरिया']
['gaandi', 'गांदी']
['gidde', 'गिद्दे']
['ghun', 'घुन']
['gaaega', 'गाएगा']
['gaayega', 'गाएगा']
['gaaenge', 'गाएंगे']
['gaayenge', 'गाएंगे']
['gaaje', 'गाजे']
['gulzaaron', 'गुलज़ारों']
['gulazaaron', 'गुलज़ारों']
['ghabraati', 'घबराती']
['ghabrati', 'घबराती']
['gabrati', 'घबराती']
['gulsitaan', 'गुलसितां']
['gulasitaan', 'गुलसितां']
['gulsitan', 'गुलसितां']
['ganj', 'गन्ज']
['gharavaalaa', 'घरवाला']
['gurabat', 'ग़ुरबत']
['gullu', 'गुल्लु']
['gamazadon', 'ग़मज़दों']
['girana', 'गिरना']
['giranaa', 'गिरना']
['girna', 'गिरना']
['gangoli', 'गंगोली']
['gudaguda', 'गुदगुदा']
['gehraiyaan', 'गहराईयां']
['gehrayi', 'गहराई']
['gaharaai', 'गहराई']
['gehrai', 'गहराई']
['gehraai', 'गहराई']
['gaharaayi', 'गहराई']
['gaharai', 'गहराई']
['ghuumenge', 'घूमेंगे']
['ghoomenge', 'घूमेंगे']
['ghumenge', 'घूमेंगे']
['garmiyaan', 'गर्मियां']
['guzaroge', 'गुज़रोगे']
['gufa', 'गुफ़ा']
['gurraaya', 'गुर्राया']
['guzaarish', 'गुज़ारिश']
['guzarish', 'गुज़ारिश']
['giriin', 'गिरीं']
['ganva', 'गंवा']
['ganvaa', 'गंवा']
['ganwa', 'गंवा']
['gaurav', 'गौरव']
['gaatha', 'गाथा']
['govind', 'गोविन्द']
['govinda', 'गोविन्द']
['galin', 'गलिन']
['gine', 'गिने']
['giney', 'गिने']
['ginate', 'गिनते']
['ginte', 'गिनते']
['ganvaayega', 'गँवाएगा']
['gunon', 'गुणों']
['ginta', 'गिनता']
['ginataa', 'गिनता']
['guunge', 'गूँगे']
['garajaye', 'गरजाए']
['ghola', 'घोला']
['golaa', 'गोला']
['gola', 'गोला']
['guzaara', 'ग़ुज़ारा']
['guzaar', 'ग़ुज़ार']
['gulsitaan', 'गुलसितान']
['gilaaf', 'गिलाफ़']
['gairat', 'ग़ैरत']
['ghoomata', 'घूमता']
['ghumta', 'घूमता']
['ghoomta', 'घूमता']
['garajega', 'गरजेगा']
['gunche', 'गुंचे']
['gaeyaa', 'गैया']
['gulnar', 'गुलनार']
['gulanaar', 'गुलनार']
['ghurbat', 'गुर्बत']
['ghutana', 'घुटना']
['goro', 'गोरो']
['ghulata', 'घुलता']
['gavaan', 'गवाँ']
['gunagunaayenge', 'गुनगुनाएंगे']
['ghabaraayo', 'घबरायो']
['gaayega', 'गायेगा']
['gaayegaa', 'गायेगा']
['guzarun', 'गुज़रूँ']
['guzaroon', 'गुज़रूँ']
['gaavat', 'गावत']
['graam', 'ग्राम']
['gunijan', 'गुनिजन']
['gunan', 'गुनन']
['gili', 'गीली']
['geeli', 'गीली']
['giraayenge', 'गिराएंगे']
['guunj', 'गूंज']
['gunj', 'गूंज']
['gunagunaanaa', 'गुनगुनाना']
['gunagunaana', 'गुनगुनाना']
['gunana', 'गुनगुनाना']
['giraao', 'गिराओ']
['ghulegaa', 'घुलेगा']
['gunagaan', 'गुनगान']
['gendaa', 'गेंदा']
['gavaai', 'गवाई']
['gungunayein', 'गुनगुनाएं']
['gaake', 'गाके']
['gumti', 'घूमती']
['ghoomti', 'घूमती']
['gitamen', 'गीतमें']
['gaanvake', 'गांवके']
['ganvaar', 'गंवार']
['gohaar', 'गोहार']
['giraaoge', 'गिराओगे']
['giraawoge', 'गिराओगे']
['ghabaraao', 'घबराओ']
['gabhrao', 'घबराओ']
['ghabhraao', 'घबराओ']
['ghiraa', 'घीरा']
['ghira', 'घीरा']
['gulakaari', 'गुलकारी']
['gudaayengi', 'गुदगुदायेंगी']
['gulzaar', 'गुल्ज़ार']
['gurbon', 'गुर्बों']
['gunche', 'ग़ुंचे']
['gaaoongi', 'गाऊँगी']
['gaauungi', 'गाऊँगी']
['ghatne', 'घटने']
['gungunaaun', 'गुनगुनाऊँ']
['gunagunaayuun', 'गुनगुनाऊँ']
['girahagiir', 'गिरहगीर']
